response_id,jobs_displaced,jobs_created
452,430,725
453,1216,917
455,992,915
456,479,651
457,914,1278
458,1131,880
459,720,656
460,650,1096
461,805,515
462,1039,1219
463,1002,1089
465,1,1
466,0,1
467,0,0
468,1,1
469,0,1
470,1,1
471,0,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,0
480,1,1
481,157,173
482,135,154
483,130,93
484,143,135
485,113,128
486,11,128
488,199,174
489,129,128
490,151,154
491,133,171
492,98,129
493,67,122
494,147,148
495,114,152
496,149,136
498,3,3
499,4,3
500,2,5
501,3,3
502,1,4
503,0,4
504,4,3
505,5,4
506,2,3
507,4,4
509,5,6
510,4,4
511,3,3
512,3,5
513,0,1
514,1,1
515,1,1
517,0,1
518,1,1
519,2,1
520,1,1
521,1,1
522,2,1
523,1,0
524,1,1
525,1,1
526,1,1
528,2,1
529,9,20
530,40,16
531,34,26
532,29,23
533,47,27
534,0,10
536,10,21
537,65,25
538,61,56
539,31,5
540,25,51
541,19,31
542,33,26
543,18,20
544,35,37
545,42,80
546,79,85
547,170,149
548,101,135
549,34,66
550,81,83
551,100,143
552,111,82
553,58,72
554,52,114
555,138,149
556,61,100
557,161,120
558,156,120
559,98,164
561,37,25
562,35,25
563,13,36
564,24,16
565,25,15
566,29,27
567,44,26
568,20,15
569,65,66
571,54,41
572,35,41
573,30,38
574,43,32
575,41,25
576,34,13
577,36,44
578,26,31
579,14,32
580,31,20
581,45,46
582,28,34
583,20,36
584,29,42
585,33,38
586,51,59
587,48,37
589,42,38
590,39,54
591,27,20
592,48,45
593,11,19
594,13,20
595,23,19
597,10,16
598,27,19
599,20,21
600,12,9
601,14,22
602,11,12
603,18,18
604,18,17
605,22,17
606,20,23
607,13,20
608,16,18
609,248,195
610,133,148
611,117,171
612,77,161
613,172,138
614,93,112
615,176,159
616,201,173
617,170,162
618,127,112
619,76,161
620,150,191
621,157,158
622,158,176
623,272,228
624,204,197
625,24,24
626,10,7
627,17,21
628,2,16
629,13,20
630,10,17
631,16,12
632,11,6
633,14,12
634,15,15
635,6,17
636,12,14
637,11,5
638,17,11
639,12,13
640,8,19
641,5,3
642,4,4
643,4,4
644,4,4
645,5,3
646,5,4
647,4,4
648,3,4
649,3,3
650,4,6
651,4,4
652,3,2
653,4,4
654,4,4
656,3,3
657,0,1
658,1,1
659,1,0
660,1,1
661,1,0
663,1,1
664,1,0
665,1,1
666,1,1
667,1,0
668,1,1
669,1,1
670,1,0
671,1,1
672,1,1
673,1,0
674,1,1
675,1,1
676,1,1
677,1,1
678,1,1
679,1,1
680,1,1
681,1,1
682,1,1
683,1,1
684,1,1
685,0,1
686,1,1
687,0,0
688,0,1
689,296,267
690,299,321
691,125,222
692,472,270
693,323,303
694,362,387
696,294,349
697,222,350
698,403,371
699,467,477
700,494,330
701,428,397
702,428,367
703,470,381
704,380,432
705,537,263
706,273,247
707,254,230
708,346,206
709,326,344
710,259,388
711,170,130
712,431,427
713,107,221
714,404,430
715,309,271
716,419,160
717,273,296
719,81,367
720,362,384
721,941,1142
722,662,1046
723,1373,1265
724,748,790
725,774,1344
726,860,781
727,1148,1088
729,698,1253
730,422,869
731,1030,848
733,150,706
734,572,725
735,893,1009
736,1507,1282
737,251,193
738,246,210
739,417,370
740,384,243
741,318,324
742,338,353
743,392,280
744,394,191
745,334,306
746,146,267
747,264,329
748,198,204
749,98,212
750,252,240
751,296,233
752,228,244
753,3,3
754,5,1
755,3,2
756,5,4
757,4,4
758,6,3
759,3,2
760,3,3
761,3,5
762,3,4
763,3,3
764,3,3
765,4,2
766,3,3
767,3,3
769,573,453
771,326,370
772,662,549
773,818,633
774,399,717
775,420,451
776,732,732
777,482,521
778,395,691
779,295,609
780,805,1110
781,492,650
783,675,787
784,457,740
785,3,2
786,3,4
787,5,2
788,6,2
789,0,3
790,1,2
791,6,5
792,3,3
793,5,3
794,1,2
795,2,2
796,9,5
797,5,5
798,0,2
799,3,5
801,0,0
803,2,1
804,2,1
805,1,2
806,2,1
807,0,1
808,1,1
809,2,2
810,2,1
811,2,2
812,0,1
813,2,1
814,2,1
815,2,1
816,1,1
817,651,699
818,585,591
819,1079,143
820,985,753
821,452,214
822,320,281
823,629,438
824,430,379
825,506,336
826,574,632
827,675,466
828,365,635
829,587,617
830,408,445
831,532,296
832,462,584
833,1,1
834,2,2
836,3,2
837,1,1
838,2,3
839,1,2
840,2,1
842,2,2
843,1,2
844,1,2
845,2,2
846,2,2
848,2,2
849,0,0
850,2,1
851,1,1
852,1,1
853,3,2
854,0,0
855,1,1
856,0,0
857,2,1
858,2,2
859,3,1
860,0,3
861,1,2
862,1,2
863,0,1
864,1,2
865,296,341
866,420,297
867,183,284
868,93,326
869,239,221
871,148,153
872,394,360
873,271,338
874,179,175
875,363,494
876,272,184
877,345,227
878,350,516
879,242,217
880,359,468
881,1,1
882,1,1
884,2,1
885,1,1
886,1,1
887,2,1
889,1,1
890,0,1
891,1,1
892,1,1
893,1,1
894,1,1
895,1,1
896,1,1
897,0,1
898,2,1
899,0,1
900,1,1
901,2,2
903,1,1
904,1,1
905,2,1
906,1,1
907,1,0
908,0,2
909,2,1
911,0,1
912,1,0
913,64,47
914,79,46
915,65,40
916,36,51
919,48,37
920,75,52
921,88,50
922,64,57
923,40,64
924,36,46
926,43,59
927,55,61
928,68,66
929,28,41
930,8,31
931,38,41
932,50,45
933,27,27
934,52,45
935,40,32
936,77,43
937,33,24
938,27,39
939,46,33
940,46,49
941,28,31
942,21,44
943,43,39
944,46,34
945,3,3
946,3,3
947,4,3
948,3,1
949,3,3
950,3,2
951,3,2
952,2,3
953,4,4
954,3,3
955,1,2
956,2,3
957,2,3
958,3,5
959,2,2
960,3,2
961,51,68
962,6,35
963,63,63
964,29,52
965,61,33
966,47,46
967,31,38
968,69,77
969,80,67
970,31,44
971,33,49
972,57,44
973,85,53
974,17,37
975,56,67
976,96,75
977,1,0
978,2,2
979,1,1
980,0,0
981,2,1
982,3,1
983,3,2
984,2,1
985,1,1
986,0,1
987,2,0
988,2,3
989,0,2
990,3,2
991,2,2
992,2,2
994,23,21
995,11,21
996,16,15
997,16,19
998,7,12
999,27,22
1000,16,20
1001,23,27
1002,25,25
1003,31,26
1004,9,15
1005,18,23
1006,21,17
1007,19,25
1008,39,31
1009,4,4
1010,5,5
1011,4,3
1012,5,3
1013,5,3
1014,4,4
1018,3,5
1019,4,5
1020,6,5
1021,7,4
1022,5,5
1023,6,5
1024,4,4
1025,1,1
1026,0,1
1027,1,1
1028,0,1
1029,1,1
1030,1,1
1031,1,1
1032,1,0
1033,0,0
1034,1,1
1035,1,1
1036,0,1
1037,0,1
1038,1,1
1039,1,1
1040,1,1
1041,0,1
1042,1,1
1043,1,1
1044,1,1
1046,0,1
1047,1,1
1048,1,1
1049,0,0
1050,1,1
1051,0,1
1053,1,1
1054,1,1
1055,1,1
1057,11,12
1058,23,32
1059,21,16
1060,18,35
1061,28,29
1062,8,12
1064,30,41
1065,29,29
1066,23,18
1067,13,14
1068,20,32
1069,21,35
1070,33,44
1071,39,29
1072,12,13
1073,32,23
1076,19,10
1077,19,22
1078,23,23
1079,39,22
1080,33,23
1081,27,27
1082,5,21
1083,16,21
1084,23,19
1085,25,16
1086,27,23
1087,10,13
1088,24,19
1089,32,13
1090,8,0
1091,0,2
1092,23,24
1093,6,14
1094,8,8
1095,30,17
1097,18,7
1098,14,8
1099,25,7
1100,24,0
1101,49,31
1102,28,18
1104,19,35
1105,12,12
1106,15,8
1107,3,10
1108,17,12
1109,17,9
1110,3,7
1111,10,6
1112,10,10
1113,4,5
1114,14,15
1115,18,12
1117,12,16
1118,18,14
1119,19,13
1120,11,9
1121,36,31
1122,17,21
1123,26,32
1124,23,14
1125,24,25
1126,39,21
1127,34,25
1128,28,36
1129,47,43
1130,39,47
1131,5,19
1132,36,21
1134,24,48
1135,57,31
1136,36,30
1137,183,64
1138,183,153
1139,167,186
1140,99,156
1141,85,76
1142,147,128
1143,121,44
1144,186,210
1145,161,130
1146,81,168
1147,149,94
1148,156,135
1149,72,89
1150,66,49
1151,211,261
1152,413,201
1153,0,475
1154,63,577
1155,698,544
1156,752,823
1157,509,624
1158,443,492
1159,645,866
1160,386,721
1161,705,891
1162,476,519
1163,889,541
1164,534,851
1165,1247,870
1166,706,763
1167,302,335
1168,586,605
1170,18,27
1171,24,31
1172,50,39
1173,21,24
1174,22,17
1175,48,32
1176,37,47
1177,19,25
1179,24,17
1180,0,20
1181,42,19
1182,16,41
1183,26,31
1184,32,37
1186,2,2
1187,2,1
1188,0,1
1189,1,2
1190,2,0
1191,2,1
1192,0,1
1193,2,2
1194,2,1
1195,2,1
1196,3,1
1197,2,2
1198,2,1
1199,3,2
1200,2,2
1201,6,5
1202,2,3
1203,1,3
1204,2,3
1205,3,3
1206,5,4
1207,4,5
1208,7,6
1209,7,6
1210,5,4
1211,4,6
1212,6,3
1214,4,3
1216,6,5
1217,2,2
1218,2,2
1219,2,1
1220,0,2
1221,3,1
1222,2,1
1223,2,1
1224,2,1
1225,2,2
1226,3,1
1227,2,1
1228,1,2
1229,2,1
1230,3,2
1231,3,2
1232,1,2
1233,435,486
1234,373,399
1235,484,118
1236,464,556
1237,172,213
1238,378,294
1239,306,632
1240,676,404
1241,281,473
1242,642,531
1243,46,272
1244,536,263
1245,53,448
1247,458,908
1248,454,388
1249,1,1
1250,1,1
1251,1,1
1252,0,0
1254,1,0
1255,1,1
1256,2,1
1257,1,0
1258,1,1
1259,1,1
1260,1,1
1261,1,1
1262,2,2
1263,1,1
1264,1,1
1265,131,107
1266,96,94
1267,81,75
1268,130,117
1269,110,127
1270,110,124
1271,98,91
1272,111,94
1273,129,93
1274,126,154
1275,165,133
1276,123,117
1277,72,92
1278,95,91
1279,113,117
1280,129,132
1281,0,0
1282,0,1
1283,2,1
1285,1,3
1286,1,0
1287,2,1
1288,1,1
1289,2,1
1290,1,0
1291,1,1
1292,3,1
1293,1,1
1294,2,2
1295,1,0
1296,1,1
1297,3,3
1298,6,6
1299,9,6
1300,2,4
1301,2,2
1303,6,3
1304,3,5
1305,6,5
1306,5,4
1308,3,6
1309,6,3
1310,4,5
1311,6,4
1312,2,1
1314,1,1
1315,0,0
1316,0,0
1317,0,1
1318,1,0
1319,1,1
1320,2,0
1321,1,1
1322,1,0
1323,1,1
1324,1,0
1325,0,1
1326,0,0
1327,1,1
1328,1,1
1329,1,2
1330,3,2
1331,4,4
1332,3,5
1333,1,2
1334,4,4
1335,4,3
1336,2,4
1337,3,3
1338,2,3
1339,4,3
1340,1,2
1341,5,4
1342,4,3
1343,3,4
1344,4,3
1345,0,0
1346,0,1
1347,0,1
1348,1,0
1349,1,2
1350,1,1
1351,1,1
1352,1,0
1353,2,1
1354,3,0
1355,1,2
1356,0,0
1357,0,1
1358,0,1
1359,1,0
1361,516,353
1362,451,611
1363,494,434
1364,526,481
1365,212,399
1366,528,501
1367,685,571
1368,592,522
1369,453,423
1370,203,597
1371,482,367
1372,745,474
1373,473,439
1374,341,475
1375,356,616
1376,348,454
1377,20,32
1378,26,17
1379,26,27
1381,24,23
1382,63,39
1383,27,35
1384,32,19
1385,25,44
1386,48,43
1387,43,31
1388,13,29
1389,14,31
1390,41,47
1391,34,19
1393,731,696
1394,844,865
1395,225,646
1396,528,607
1397,831,880
1398,514,691
1399,562,643
1400,605,717
1401,456,717
1402,530,564
1403,635,630
1404,281,485
1405,874,1025
1406,843,955
1407,335,530
1409,0,0
1410,0,1
1411,1,2
1412,0,1
1413,3,0
1414,1,3
1415,1,1
1416,0,2
1417,2,3
1418,2,1
1419,3,2
1420,0,1
1421,2,3
1422,4,2
1423,2,1
1424,4,1
1425,22,8
1426,17,23
1427,14,23
1428,24,21
1429,29,22
1430,18,19
1431,28,28
1432,6,19
1433,1,22
1434,36,27
1435,27,16
1437,29,25
1438,31,16
1439,5,21
1440,28,24
1441,45,54
1442,66,24
1443,35,27
1444,15,36
1445,53,48
1446,27,31
1447,41,27
1448,14,32
1449,38,23
1450,36,38
1451,49,35
1452,60,21
1453,41,44
1454,19,45
1455,43,31
1456,42,25
1457,5,4
1458,3,2
1459,3,2
1460,2,2
1461,0,1
1462,0,3
1464,3,1
1465,4,3
1466,4,2
1468,4,2
1470,1,2
1471,1,2
1472,4,3
1473,3,3
1474,4,2
1475,1,3
1476,4,4
1477,2,1
1478,2,3
1479,1,2
1480,2,2
1481,6,4
1483,2,2
1484,2,4
1485,5,5
1486,3,4
1487,4,2
1488,3,5
1489,1,2
1490,2,2
1491,2,2
1492,3,3
1493,2,2
1494,3,3
1495,2,3
1496,2,2
1497,3,2
1498,3,2
1499,2,2
1500,2,3
1501,3,3
1502,3,3
1503,2,2
1504,2,2
1505,18,13
1506,36,13
1507,23,13
1508,47,17
1509,46,19
1511,22,18
1512,18,21
1513,37,20
1514,22,28
1515,22,29
1517,22,23
1518,14,7
1519,40,20
1520,39,12
1521,15,18
1522,20,6
1523,14,20
1524,26,12
1525,33,16
1526,28,18
1527,18,19
1528,5,3
1529,17,15
1530,22,15
1531,34,24
1532,15,21
1533,35,14
1534,16,7
1535,0,13
1536,26,30
1537,1,3
1539,6,3
1541,3,4
1544,5,6
1545,7,4
1546,5,5
1547,4,6
1548,8,5
1549,6,5
1550,3,4
1551,5,3
1552,2,5
1553,10,13
1554,9,10
1555,11,12
1556,8,8
1557,13,18
1558,9,11
1559,14,12
1560,14,7
1561,10,8
1562,15,16
1563,4,11
1564,7,7
1565,21,8
1566,14,13
1567,12,11
1568,19,14
1569,2,2
1570,0,3
1571,3,3
1572,3,3
1573,3,1
1574,0,1
1575,1,3
1576,4,2
1577,2,3
1579,2,3
1580,6,3
1581,2,4
1582,3,2
1583,2,4
1584,3,3
1585,2,2
1586,2,1
1587,1,0
1588,1,2
1589,1,1
1590,0,0
1591,1,0
1592,2,1
1593,1,0
1594,2,1
1595,0,1
1596,1,0
1597,1,1
1598,3,1
1599,0,1
1600,1,2
1601,3,2
1602,6,4
1603,0,3
1604,2,6
1605,3,5
1607,3,3
1608,6,5
1609,3,5
1610,3,5
1611,4,5
1612,2,2
1613,1,2
1614,5,5
1615,5,4
1616,2,4
1617,582,457
1618,907,622
1619,744,527
1620,185,493
1622,281,587
1624,594,574
1625,216,348
1626,475,673
1627,567,577
1628,813,996
1629,595,550
1630,35,356
1631,276,581
1632,355,468
1633,0,8
1634,9,4
1635,6,10
1636,13,9
1637,10,8
1638,2,8
1639,10,3
1640,16,5
1641,14,16
1642,13,7
1643,1,7
1644,20,12
1645,16,14
1646,7,2
1647,20,18
1648,7,8
1649,862,423
1650,670,691
1651,782,640
1652,645,503
1653,742,833
1654,229,951
1655,443,677
1656,1082,623
1657,848,806
1659,601,956
1660,392,460
1661,879,860
1662,653,602
1663,756,836
1664,893,780
1665,4,3
1666,1,4
1667,2,4
1668,0,0
1669,2,1
1670,6,4
1671,2,1
1672,5,4
1673,4,3
1674,4,3
1675,2,3
1676,1,1
1677,2,1
1678,3,4
1679,8,4
1680,4,3
1681,38,29
1682,34,17
1683,21,24
1684,32,36
1685,27,28
1686,23,2
1687,8,9
1688,21,10
1689,7,29
1690,32,25
1691,26,29
1692,24,32
1693,40,23
1694,25,36
1695,34,23
1696,40,29
1697,1035,776
1698,660,1076
1699,553,799
1700,51,973
1702,113,703
1703,1092,414
1704,631,487
1705,1169,927
1706,947,939
1707,559,478
1708,1012,1098
1710,795,1048
1711,1004,1025
1712,507,1092
1713,846,887
1714,619,662
1715,639,767
1716,633,780
1717,836,745
1718,818,873
1719,874,829
1720,628,773
1721,168,490
1722,691,852
1723,452,798
1724,950,812
1725,1004,1110
1726,474,892
1727,659,609
1728,1022,822
1729,2,1
1730,0,2
1731,1,1
1732,1,2
1733,2,1
1734,0,1
1735,0,1
1736,2,2
1737,2,1
1739,2,2
1740,1,2
1741,2,1
1742,1,2
1743,2,1
1744,1,1
1745,5,3
1746,0,2
1747,2,5
1748,2,6
1749,2,6
1750,6,5
1752,4,4
1753,4,4
1754,7,6
1755,5,4
1756,5,3
1757,7,4
1758,4,6
1759,8,5
1761,1,1
1762,1,2
1763,1,1
1764,1,1
1765,2,1
1766,1,1
1767,2,2
1768,1,2
1769,1,1
1770,1,1
1771,1,2
1772,2,1
1773,2,1
1774,2,1
1775,1,1
1776,2,2
1777,46,19
1778,42,27
1779,34,43
1780,64,23
1781,49,43
1782,42,40
1783,42,33
1784,52,12
1785,40,11
1786,39,55
1787,40,18
1788,51,32
1789,54,52
1791,61,40
1792,53,49
1793,301,364
1794,393,362
1795,418,453
1796,532,463
1797,200,344
1798,428,462
1799,300,320
1800,225,410
1801,228,300
1802,362,412
1803,411,426
1804,289,314
1805,408,412
1806,549,378
1807,288,579
1808,270,455
1809,34,46
1810,95,58
1811,201,160
1812,205,104
1813,126,151
1815,232,97
1816,41,128
1817,0,53
1818,67,41
1819,209,38
1820,62,0
1821,0,73
1822,293,72
1823,163,159
1824,97,21
1825,17,42
1826,43,29
1827,13,42
1828,53,33
1830,27,52
1831,25,27
1832,10,25
1833,44,27
1834,39,49
1835,32,39
1836,0,41
1837,22,21
1838,40,23
1839,62,31
1840,25,61
1841,2,0
1842,1,2
1843,0,2
1844,1,2
1845,1,2
1846,2,1
1847,1,1
1848,1,1
1849,2,1
1850,2,1
1851,1,1
1852,2,2
1853,1,1
1854,2,1
1855,1,2
1856,1,1
1857,757,679
1858,997,823
1859,245,694
1860,320,567
1861,538,596
1862,416,321
1863,522,656
1864,68,626
1865,482,717
1866,811,889
1867,646,707
1868,998,922
1870,1057,884
1871,976,646
1872,542,703
1873,8,9
1874,4,12
1875,3,9
1877,10,11
1878,7,5
1879,14,12
1880,12,8
1881,2,7
1883,12,12
1884,10,10
1885,9,12
1886,13,14
1887,14,16
1888,13,14
1889,1,0
1890,3,1
1891,1,1
1892,2,2
1893,2,1
1896,2,0
1897,2,2
1898,1,1
1899,1,1
1900,1,2
1901,1,1
1902,2,2
1903,2,2
1904,1,1
1905,1,2
1906,0,1
1908,2,2
1909,2,2
1911,1,0
1912,2,2
1913,2,2
1914,4,3
1915,0,1
1916,3,1
1917,1,2
1919,5,2
1920,2,3
1922,34,11
1923,40,51
1924,29,31
1925,31,27
1926,31,30
1927,23,45
1928,26,53
1929,43,32
1930,38,33
1931,28,8
1932,43,28
1933,40,41
1934,51,36
1935,26,37
1936,27,20
1938,1,0
1939,0,0
1940,1,0
1941,0,0
1942,1,1
1943,1,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1952,0,1
1953,8,23
1954,11,21
1955,37,16
1956,18,14
1957,23,32
1958,40,25
1959,42,39
1960,35,22
1961,28,15
1963,32,10
1964,27,24
1965,23,10
1966,36,33
1967,50,45
1968,34,12
1969,0,1
1971,1,1
1972,2,2
1973,2,1
1974,1,1
1975,1,1
1976,4,3
1977,1,1
1978,1,2
1979,3,3
1980,3,2
1981,1,0
1982,2,3
1983,1,2
1984,1,1
1985,0,0
1986,0,0
1988,1,1
1989,0,0
1990,1,1
1991,1,0
1992,1,1
1993,1,1
1994,0,0
1995,0,1
1998,0,1
1999,1,0
2000,0,1
2001,1006,732
2002,876,687
2003,877,1137
2004,272,601
2005,688,900
2006,1121,881
2007,569,741
2008,1174,778
2009,776,603
2010,475,709
2011,933,748
2013,829,744
2014,1049,1254
2015,904,978
2017,74,107
2018,143,156
2019,71,139
2020,79,125
2021,122,170
2022,92,123
2023,36,84
2025,130,145
2026,138,132
2027,91,130
2028,188,141
2029,90,145
2030,111,130
2031,146,129
2032,140,149
2033,379,329
2034,378,185
2035,514,296
2037,415,424
2038,202,292
2039,326,229
2040,317,374
2041,0,273
2042,184,229
2043,319,302
2044,363,291
2045,149,173
2046,264,325
2047,173,261
2048,472,335
2049,23,12
2050,26,36
2052,47,48
2053,0,28
2054,19,34
2055,22,44
2056,24,21
2057,23,28
2058,34,13
2059,37,41
2060,19,27
2061,51,35
2062,31,27
2063,57,26
2064,14,32
2065,3,4
2066,2,3
2067,3,3
2068,5,3
2069,4,4
2070,4,3
2071,8,5
2072,5,4
2073,1,3
2074,4,6
2075,5,3
2076,4,3
2077,6,3
2078,3,2
2079,5,8
2081,12,22
2082,19,7
2083,27,30
2084,30,17
2085,14,21
2086,17,28
2087,21,18
2088,10,22
2089,34,27
2090,17,24
2091,13,10
2092,28,25
2093,44,22
2095,14,22
2096,13,18
2097,1,0
2098,0,0
2099,0,0
2100,1,1
2101,0,0
2102,1,1
2103,1,0
2104,1,1
2105,0,1
2106,1,1
2107,1,0
2108,1,0
2109,0,1
2110,1,1
2111,1,0
2112,1,1
2113,15,19
2114,6,12
2115,20,20
2116,16,22
2117,17,18
2118,22,22
2119,21,20
2120,9,18
2121,12,22
2122,15,13
2123,13,21
2124,13,19
2125,19,21
2126,22,14
2127,12,15
2128,16,21
2129,1,2
2130,2,1
2131,1,1
2132,2,1
2133,2,2
2134,1,1
2135,1,0
2136,2,1
2137,2,1
2138,2,2
2139,3,1
2140,2,1
2141,1,1
2142,3,2
2143,1,1
2144,1,1
2145,2,3
2146,3,4
2147,1,3
2149,0,3
2150,2,3
2151,2,2
2152,0,2
2153,1,2
2154,4,3
2155,3,1
2156,5,3
2157,1,3
2158,1,2
2159,1,4
2161,0,0
2162,0,0
2163,0,0
2164,0,0
2165,0,0
2166,0,0
2167,0,0
2168,1,0
2169,1,0
2170,0,0
2171,0,0
2172,1,0
2173,0,0
2174,0,0
2175,0,0
2176,0,0
2178,33,41
2179,37,21
2180,22,16
2181,18,37
2182,7,30
2183,44,37
2184,17,25
2185,32,34
2186,19,29
2187,0,29
2189,18,40
2190,45,46
2191,32,42
2192,49,56
2193,880,805
2194,977,769
2195,1037,649
2196,734,436
2197,630,896
2198,632,833
2200,1036,866
2201,1175,854
2202,1223,1227
2203,1150,1120
2204,411,864
2206,1250,999
2207,1485,1216
2208,677,918
2209,7,11
2210,19,19
2211,20,16
2212,35,18
2213,23,23
2214,4,13
2215,3,11
2216,21,13
2217,16,16
2218,15,33
2219,28,18
2220,17,23
2221,16,17
2222,23,14
2223,20,24
2224,18,16
2225,13,17
2226,11,15
2227,20,25
2228,12,20
2229,23,18
2230,20,23
2231,8,15
2232,12,17
2233,25,13
2234,22,23
2235,29,29
2236,32,31
2237,15,16
2238,0,13
2239,31,22
2240,15,7
2241,441,418
2242,614,662
2243,291,530
2244,185,556
2245,497,330
2246,627,606
2247,510,410
2248,10,277
2249,353,545
2250,663,552
2251,308,506
2253,296,387
2254,396,486
2255,513,541
2256,372,507
2257,252,214
2259,233,193
2260,43,137
2261,182,166
2263,78,158
2264,249,227
2265,250,209
2266,361,227
2267,202,220
2268,160,256
2269,340,267
2270,158,204
2271,160,188
2272,178,197
