response_id,ai_projects_active,ai_training_hours,time_saved_per_week,task_automation_rate
82,2,23.43,7.08,23.31
83,9,21.92,5.91,23.53
84,0,15.68,7.11,18.72
85,9,33.19,9.1,32.6
86,8,33.1,7.97,35.42
87,10,50.61,12.93,42.11
88,6,38.81,9.38,32.07
89,9,31.8,6.76,17.93
90,5,20.36,7.92,31.09
91,7,29.68,5.84,21.13
92,10,18.3,6.44,13.14
93,0,41.13,5.98,25.25
94,6,37.18,7.81,25.21
95,3,33.82,5.1,13.91
96,12,53.44,14.17,30.48
97,0,7.88,1.7,9.75
98,2,0.0,4.43,7.48
99,0,6.47,1.0,0.0
100,6,19.06,1.18,6.1
101,0,4.26,3.57,5.05
102,2,2.94,0.87,13.0
103,7,1.08,2.39,9.8
104,3,0.0,4.58,13.63
105,8,18.97,6.0,18.84
106,5,0.0,3.49,16.48
107,5,11.98,2.06,14.99
108,2,13.6,2.64,7.64
109,0,19.68,3.14,16.8
110,7,24.57,6.93,20.13
111,2,3.89,1.02,0.42
112,0,0.0,2.96,5.76
113,7,12.03,11.15,36.4
114,4,9.19,3.46,14.65
115,4,25.33,7.1,15.71
116,4,28.92,0.43,0.0
117,9,30.35,5.51,16.12
118,6,9.96,7.29,14.09
119,3,9.79,2.16,11.42
120,7,50.08,7.16,23.59
121,1,26.93,1.96,9.3
122,9,40.59,7.74,23.89
123,5,23.93,4.05,11.57
124,3,26.23,6.02,19.0
125,9,36.19,5.13,16.65
126,5,32.4,6.47,24.58
128,8,31.73,4.3,26.91
129,5,9.41,7.12,20.06
130,0,13.37,3.44,15.87
131,8,33.93,8.37,16.26
132,8,38.47,4.16,21.54
133,6,13.33,3.49,12.02
134,13,22.08,5.7,16.47
135,10,25.63,5.31,17.2
136,11,28.89,6.81,27.13
137,9,28.67,6.55,20.82
138,8,30.7,8.03,23.47
140,5,14.39,1.33,9.94
141,9,19.4,2.8,11.42
142,8,5.67,5.39,16.13
143,0,25.38,1.03,7.61
144,11,25.22,5.89,24.48
145,0,2.64,2.57,5.51
146,0,7.68,1.86,8.71
147,0,39.06,5.84,16.17
148,0,0.0,0.0,3.18
150,0,19.45,3.89,13.47
151,5,22.54,6.74,15.19
152,6,8.3,4.63,5.48
153,0,1.97,6.02,11.79
154,7,24.33,3.92,17.5
155,0,6.47,2.64,3.8
157,0,0.17,2.38,0.0
158,2,20.48,4.56,14.29
159,3,5.18,6.59,13.53
161,5,21.36,2.58,10.4
162,0,18.0,0.0,1.47
163,0,28.43,2.49,14.27
165,6,27.26,8.83,26.49
166,6,22.78,4.17,16.66
167,6,9.42,2.39,4.25
168,6,10.05,4.31,15.7
169,0,18.83,6.92,14.31
170,5,29.77,1.51,10.75
171,2,3.04,1.0,2.96
172,5,30.6,3.97,23.6
173,11,19.86,2.98,2.85
174,6,2.68,1.67,14.81
176,8,38.42,4.56,14.65
177,5,18.04,2.95,8.71
178,1,13.98,0.53,2.24
179,6,23.53,4.86,16.27
180,2,36.82,6.78,29.16
181,4,12.61,8.03,33.59
182,3,9.66,0.0,11.16
183,0,17.0,1.93,10.74
184,1,37.34,5.3,23.54
185,4,12.57,8.91,25.58
186,0,7.94,0.68,0.0
187,1,11.6,5.57,14.78
188,4,16.7,2.31,7.52
189,2,7.78,1.63,2.4
190,3,19.56,5.55,9.35
191,7,17.13,2.27,5.95
192,8,24.53,3.55,12.38
194,9,44.12,11.71,36.56
195,15,41.04,12.5,37.11
196,7,57.94,10.84,31.96
197,11,33.77,6.01,15.23
198,6,55.22,9.79,35.16
199,7,53.86,6.44,19.89
200,10,52.05,5.36,16.09
201,10,59.73,13.4,42.73
202,7,36.45,10.61,45.32
203,13,31.12,3.6,19.52
205,9,50.85,11.94,35.7
206,15,39.06,11.03,32.71
207,9,27.73,8.71,31.88
209,9,22.36,5.68,6.76
211,8,28.0,7.13,14.26
212,7,56.03,7.45,27.87
213,10,49.68,8.19,33.5
214,7,45.96,3.16,18.81
215,10,32.08,7.6,19.0
217,5,44.1,7.83,24.23
218,13,33.21,2.34,21.09
219,12,44.1,12.52,32.54
220,9,21.77,11.75,37.31
221,6,31.85,8.39,27.4
222,9,56.06,8.49,34.48
223,8,44.15,3.54,16.54
224,7,54.47,12.47,37.09
225,0,21.2,2.02,9.63
226,5,37.84,4.24,17.26
227,11,27.17,4.24,14.48
228,6,42.4,5.6,27.65
229,6,14.07,7.56,18.71
230,12,37.77,7.0,24.7
231,9,39.15,7.71,32.08
232,5,20.6,7.61,17.26
233,4,34.41,4.61,13.89
234,5,27.25,4.76,14.88
235,15,25.72,9.18,27.85
237,12,34.57,8.56,34.5
238,10,40.51,12.89,42.48
239,6,42.8,9.95,26.26
240,11,34.64,11.72,40.13
241,8,37.88,4.62,12.14
242,7,24.24,12.09,23.67
243,5,23.82,11.31,33.29
244,11,32.88,10.39,29.78
245,5,11.26,10.25,26.63
246,6,29.14,6.15,22.38
247,12,41.94,11.04,32.61
248,7,24.9,3.33,15.84
249,1,13.72,4.5,18.96
250,8,23.96,4.72,16.53
251,4,27.88,7.88,16.94
252,0,28.46,2.24,16.87
253,1,15.64,6.53,24.07
254,7,36.5,9.34,32.12
255,11,34.9,9.49,34.4
257,5,12.54,4.36,7.28
258,5,29.32,8.88,16.14
259,5,33.8,6.45,16.06
260,5,12.84,5.36,17.9
261,5,9.68,6.16,22.64
262,3,19.68,8.77,23.33
263,6,28.7,7.12,18.39
264,4,34.79,0.0,3.65
265,5,26.08,1.38,5.38
266,1,30.21,2.24,3.4
267,3,9.65,4.15,16.68
268,7,33.32,6.17,24.15
269,7,28.49,3.65,10.7
270,0,20.69,7.05,20.32
271,7,16.68,0.0,3.46
272,8,23.98,6.14,22.66
273,6,38.86,7.21,20.55
274,6,19.89,2.44,5.09
275,13,16.81,8.19,11.57
276,12,31.49,6.81,25.1
278,16,34.77,9.89,38.16
279,8,17.0,3.06,16.3
280,14,21.95,5.18,7.07
281,9,49.37,6.15,14.78
283,9,29.42,10.42,33.02
284,8,50.66,4.36,13.29
285,5,19.81,3.16,16.4
286,8,45.87,4.2,15.98
287,6,17.63,5.17,15.84
289,8,8.47,3.99,11.04
290,2,28.62,9.84,20.01
291,6,15.19,7.3,4.6
292,0,3.99,8.02,16.45
293,4,21.92,5.13,21.1
294,2,7.29,3.92,21.1
296,0,19.24,2.73,8.23
298,8,12.29,2.77,6.84
299,3,25.55,3.07,5.09
300,6,34.33,5.94,19.0
301,4,31.78,0.98,10.49
302,7,28.81,4.64,15.3
303,11,20.08,6.87,12.53
304,3,24.13,6.15,10.87
305,11,35.74,7.72,23.59
306,12,45.48,11.7,26.17
307,11,42.26,4.46,20.43
308,9,53.48,10.49,36.74
309,8,30.16,6.04,16.03
310,6,35.29,12.69,30.7
311,12,38.9,10.43,34.67
312,6,29.33,9.69,32.27
313,9,35.59,10.16,27.08
314,11,34.95,12.32,36.37
315,12,36.97,14.17,35.91
316,12,41.92,10.39,33.97
317,11,57.08,13.75,37.74
318,10,47.04,8.8,31.87
319,14,34.87,12.08,27.02
320,11,28.74,4.62,6.86
322,3,16.64,0.0,5.84
323,9,26.52,3.52,16.75
324,4,14.38,3.83,0.0
325,5,32.84,2.52,16.45
326,0,17.4,4.55,9.26
327,1,13.41,0.7,7.12
328,2,21.45,5.59,15.27
329,3,9.8,6.99,20.13
330,2,9.44,5.25,11.01
331,2,18.64,4.73,7.92
332,8,2.09,1.77,5.18
333,2,6.6,3.09,8.2
334,6,16.95,3.93,18.63
335,0,19.14,5.11,4.0
336,0,39.59,2.64,3.84
338,8,30.63,5.55,4.43
339,7,11.58,4.5,19.3
340,7,28.4,8.49,26.25
342,7,49.91,7.54,23.88
343,5,35.13,4.81,18.66
344,6,36.41,5.83,8.29
345,6,35.44,5.78,13.47
346,6,36.97,5.36,21.23
347,9,39.58,11.78,31.8
348,16,45.39,9.9,24.47
349,6,44.08,7.32,23.73
350,3,34.59,2.51,16.01
351,9,31.83,8.03,28.0
352,10,51.09,6.85,31.44
353,0,9.9,5.75,19.39
354,0,0.0,1.17,13.31
355,6,30.73,5.93,8.4
356,5,20.15,2.94,11.72
357,0,25.78,3.45,6.72
358,0,8.39,2.96,7.18
359,0,7.11,4.83,6.93
360,2,21.98,1.7,7.04
361,5,7.48,6.31,20.41
362,0,12.9,3.98,13.98
363,1,19.19,8.62,19.61
366,8,16.81,7.36,17.15
367,3,15.52,0.65,4.74
368,1,14.92,4.67,17.58
370,3,20.56,10.66,28.24
372,8,31.09,5.18,20.47
373,5,16.01,4.6,16.04
374,4,18.88,3.44,12.32
375,8,18.44,7.08,10.26
376,9,25.24,3.44,14.5
377,8,18.23,13.76,45.71
378,6,18.46,6.99,25.94
379,7,39.82,4.59,26.8
380,15,45.9,7.12,25.49
381,10,55.83,6.96,21.33
382,8,53.94,9.34,32.07
383,8,40.51,3.84,9.48
384,8,33.27,8.0,23.57
385,4,15.12,1.53,20.93
386,9,24.71,3.53,16.68
388,7,21.73,1.44,15.49
389,7,20.85,9.69,27.93
390,7,25.34,7.21,14.32
392,4,11.44,3.67,19.16
393,7,24.56,2.06,7.02
394,2,13.17,1.14,14.3
395,2,4.62,9.39,24.63
396,8,30.9,5.03,18.09
397,8,33.95,9.53,32.27
398,7,36.89,4.2,19.27
399,2,24.04,8.45,15.19
400,9,32.78,7.19,19.46
401,5,20.18,3.85,6.21
402,0,8.27,3.41,8.81
403,2,12.04,2.63,9.28
404,1,6.88,2.84,10.95
406,0,0.05,7.97,17.63
407,5,24.45,6.58,20.14
408,5,14.02,3.5,11.26
409,0,35.57,4.79,19.35
410,7,13.88,5.9,9.75
411,3,8.67,5.61,10.18
412,7,19.2,7.56,22.41
413,8,20.0,9.12,24.99
414,8,29.07,7.42,29.94
415,3,29.15,1.76,11.37
416,10,39.09,6.05,18.21
417,5,30.84,4.41,13.79
418,7,18.23,0.29,6.04
419,1,12.69,0.0,11.71
420,4,19.73,3.31,14.26
421,8,29.34,4.64,23.05
422,6,40.67,8.66,29.99
423,0,23.36,6.32,26.67
424,8,14.56,5.95,12.31
425,3,22.36,6.68,15.25
426,5,31.46,3.97,18.19
427,4,30.6,5.95,14.46
429,8,32.53,9.19,29.62
430,6,24.96,3.77,22.59
431,4,31.11,3.99,11.2
432,2,16.22,4.97,25.87
434,2,19.72,9.03,22.85
435,3,31.43,6.81,18.77
436,9,24.34,5.63,15.96
437,6,41.2,3.07,12.94
438,8,22.67,7.49,13.37
439,2,20.61,5.22,13.2
440,5,18.96,6.21,20.36
441,12,23.99,7.31,18.36
442,6,2.25,3.56,13.93
443,6,22.61,5.66,11.41
444,5,35.31,7.16,18.7
445,3,14.89,5.23,3.87
446,0,13.68,3.97,7.74
447,4,20.25,10.8,31.27
448,5,22.74,0.52,13.19
449,7,29.52,4.42,12.9
450,11,23.78,8.98,23.05
451,6,37.04,5.07,15.64
452,4,28.5,4.15,10.03
453,8,57.48,11.28,29.37
455,8,37.47,4.61,25.94
456,6,36.74,5.4,12.84
457,12,45.1,10.03,28.06
458,4,33.5,10.08,29.77
459,10,25.56,8.87,27.46
460,14,36.55,10.25,23.47
461,4,20.0,12.46,22.97
462,11,34.25,11.63,25.77
463,10,48.66,9.02,27.53
465,7,38.14,11.28,35.48
466,4,42.92,6.94,18.99
467,6,16.41,0.0,11.96
468,6,36.32,5.3,19.71
469,1,32.78,2.36,10.28
470,10,28.27,9.15,34.54
471,10,34.89,4.1,12.93
472,9,30.25,10.4,28.68
473,9,35.46,7.15,26.83
474,6,39.75,3.81,21.61
475,2,15.25,5.41,25.15
476,3,12.86,9.17,24.69
477,4,53.9,8.18,29.47
478,6,23.06,6.22,34.73
479,0,29.25,6.04,17.15
480,7,36.83,9.71,28.67
481,15,62.13,10.23,36.31
482,7,39.91,9.04,25.73
483,10,16.89,6.02,16.41
484,5,39.24,9.29,28.18
485,7,43.95,7.8,26.72
486,9,40.37,5.14,15.74
488,15,58.87,12.88,42.17
489,7,50.48,9.63,36.19
490,14,51.66,10.55,37.15
491,15,45.94,9.68,31.12
492,12,57.99,10.19,25.72
493,12,29.51,8.16,21.62
494,8,63.02,10.18,31.98
495,18,43.09,9.85,26.95
496,11,53.47,9.48,36.73
498,5,50.93,8.84,30.89
499,2,12.98,9.34,28.4
500,10,25.34,3.64,17.37
501,10,16.26,7.39,16.38
502,11,38.12,5.89,18.39
503,9,29.22,4.18,7.84
504,2,22.18,7.02,25.93
505,5,33.45,5.29,31.95
506,4,42.19,4.26,17.42
507,5,17.69,9.6,29.44
509,15,33.98,10.17,44.58
510,12,27.48,9.24,19.67
511,6,29.74,6.93,25.86
512,3,25.25,8.82,24.07
513,9,18.59,1.06,7.41
514,3,33.17,5.21,18.35
515,1,0.0,4.74,16.97
517,0,14.72,3.35,9.71
518,8,35.19,5.05,25.37
519,4,32.12,12.37,35.57
520,0,13.02,0.38,7.83
521,9,18.06,3.93,12.96
522,7,32.87,7.85,34.05
523,7,9.7,6.0,14.06
524,3,10.38,2.44,11.1
525,3,11.05,4.09,13.65
526,2,23.16,6.94,20.42
528,8,24.13,9.86,30.85
529,2,17.23,0.47,5.96
530,2,5.64,1.72,20.87
531,3,6.86,9.14,21.09
532,8,6.52,4.03,18.6
533,0,20.2,4.69,28.25
534,0,5.38,3.28,5.84
536,4,17.73,0.0,5.41
537,10,35.51,6.72,35.82
538,2,25.7,14.45,38.08
539,5,11.82,6.64,22.62
540,10,34.7,8.85,19.23
541,4,8.52,2.72,10.81
542,4,13.46,3.11,18.43
543,7,20.02,2.05,11.93
544,5,29.23,6.12,21.39
545,9,21.07,0.81,10.58
546,4,27.48,5.98,19.8
547,10,54.22,7.81,27.07
548,9,35.01,6.76,22.19
549,11,33.81,4.18,15.24
550,7,38.84,6.05,17.87
551,2,35.86,5.29,22.45
552,6,27.28,6.11,23.05
553,8,27.64,4.36,11.71
554,10,26.06,7.66,21.64
555,9,45.66,7.23,28.3
556,6,40.19,7.76,5.71
557,11,32.42,8.22,28.54
558,6,17.44,11.29,27.81
559,9,38.36,9.37,26.96
561,2,21.48,6.28,18.8
562,3,24.79,5.7,12.6
563,5,14.25,3.42,18.66
564,8,2.38,1.57,12.51
565,2,13.0,3.31,16.69
566,4,23.65,4.11,10.21
567,8,30.41,6.84,20.41
568,3,2.77,4.58,15.78
569,6,37.71,7.25,32.46
571,6,19.61,9.29,34.9
572,6,19.28,8.33,18.51
573,2,37.25,8.3,11.59
574,9,23.41,6.28,26.71
575,10,21.52,3.38,17.41
576,0,27.54,4.93,14.93
577,4,29.28,6.03,27.77
578,10,42.26,7.27,19.25
579,6,20.55,4.19,15.24
580,7,36.66,6.52,19.93
581,8,40.42,11.32,31.86
582,11,23.13,5.75,22.19
583,6,42.11,6.14,14.79
584,11,47.91,6.8,27.13
585,11,29.2,10.69,29.25
586,15,49.05,13.31,41.07
587,13,40.39,10.84,39.02
589,12,47.23,11.13,33.13
590,13,46.63,10.43,26.14
591,4,36.91,4.15,22.65
592,6,38.12,10.47,35.04
593,5,24.04,5.65,12.37
594,8,34.41,7.18,19.26
595,5,40.05,8.4,33.75
597,4,34.2,5.43,13.87
598,7,32.21,7.17,29.71
599,6,29.83,8.27,27.46
600,4,33.58,5.81,12.7
601,11,27.79,4.1,19.06
602,7,26.96,5.93,18.54
603,6,48.13,8.42,31.07
604,6,36.67,10.47,21.47
605,4,27.9,9.8,29.34
606,4,42.33,5.98,26.09
607,9,38.58,5.55,19.16
608,5,34.6,7.82,24.27
609,13,49.93,9.01,39.89
610,10,54.95,8.24,23.69
611,9,44.46,13.5,30.8
612,12,47.97,6.71,19.08
613,8,28.43,9.27,30.41
614,3,36.1,9.15,19.09
615,12,42.07,6.62,27.21
616,8,32.95,9.09,32.0
617,12,37.62,6.24,33.62
618,12,20.08,6.71,15.96
619,8,26.11,4.68,20.94
620,11,41.22,5.0,23.61
621,10,42.16,12.26,34.53
622,10,25.51,7.73,28.67
623,14,61.68,14.87,40.44
624,10,32.54,6.11,34.96
625,12,38.75,13.42,40.11
626,6,21.5,4.61,12.92
627,8,49.69,7.56,30.6
628,10,12.84,3.97,7.31
629,9,35.19,5.79,22.06
630,13,32.16,5.2,15.73
631,9,30.06,8.62,22.42
632,3,20.66,5.43,17.22
633,6,24.24,10.15,24.09
634,13,31.4,7.89,23.09
635,8,36.34,5.92,17.55
636,5,31.47,3.59,12.69
637,5,9.66,3.28,10.51
638,8,22.51,7.86,27.6
639,4,34.96,5.02,14.42
640,5,41.87,5.16,16.51
641,6,29.5,7.66,35.05
642,8,29.47,6.87,20.83
643,12,27.46,9.8,21.61
644,8,37.05,9.73,30.05
645,5,35.34,11.26,35.81
646,14,30.85,14.5,44.72
647,9,33.64,8.0,32.67
648,8,46.52,4.75,26.02
649,8,35.12,6.61,20.83
650,15,46.53,11.13,33.88
651,5,33.69,10.3,32.2
652,10,13.84,8.77,18.82
653,9,50.8,8.75,30.66
654,8,43.99,6.78,28.84
656,4,25.84,4.66,23.89
657,5,27.32,3.74,9.72
658,7,10.47,5.98,21.86
659,5,5.49,4.72,11.73
660,2,28.92,5.53,17.19
661,4,16.5,4.59,18.52
663,7,19.15,2.99,8.86
664,0,0.0,5.72,16.33
665,6,17.5,6.22,15.82
666,0,29.76,3.46,12.47
667,0,19.36,2.05,18.37
668,3,25.04,4.32,23.53
669,6,23.04,8.89,26.47
670,3,3.06,4.78,14.47
671,5,14.63,4.94,18.79
672,3,29.67,3.64,8.05
673,6,24.22,2.7,13.05
674,3,10.0,8.36,22.1
675,8,30.23,4.95,21.57
676,8,34.17,11.21,36.94
677,2,28.53,6.73,22.87
678,5,16.4,7.64,29.67
679,9,37.5,8.34,24.31
680,7,54.59,6.28,27.71
681,6,27.24,3.34,22.64
682,4,28.24,5.72,21.23
683,4,25.23,8.29,27.35
684,8,25.47,8.16,20.13
685,8,30.1,7.31,14.2
686,7,31.29,6.62,21.36
687,2,17.67,0.0,4.22
688,4,39.05,7.36,16.15
689,9,28.35,7.62,28.11
690,11,41.09,8.68,25.09
691,5,46.46,6.37,14.2
692,9,32.96,11.1,34.53
693,12,27.53,10.37,30.65
694,17,33.95,13.8,32.5
696,7,43.09,4.32,27.65
697,14,51.96,9.96,22.6
698,10,44.86,6.71,33.3
699,12,42.93,14.23,39.54
700,9,27.9,14.53,39.31
701,12,56.53,9.23,36.43
702,15,25.36,7.85,30.39
703,18,44.1,10.0,31.68
704,15,37.27,9.77,35.55
705,11,32.67,7.11,26.19
706,8,47.63,7.23,25.5
707,7,45.46,8.17,19.06
708,10,23.01,8.58,20.74
709,11,39.43,6.69,22.78
710,9,22.59,3.81,12.37
711,7,10.01,2.62,10.63
712,12,50.14,5.71,28.76
713,4,15.37,4.45,9.75
714,8,34.41,5.3,27.8
715,6,34.81,5.79,21.79
716,6,29.41,9.57,25.17
717,2,36.71,4.1,17.73
719,12,31.56,6.11,11.85
720,9,53.16,8.3,18.14
721,13,34.97,10.82,25.27
722,12,33.17,5.49,15.51
723,10,48.71,12.05,35.16
724,10,15.9,4.34,19.79
725,7,39.49,4.14,14.62
726,10,17.63,7.67,20.78
727,14,51.62,9.82,30.28
729,8,46.83,7.59,19.5
730,9,38.47,5.27,11.62
731,8,27.42,6.87,19.53
733,9,17.29,2.25,12.57
734,6,17.59,6.5,15.51
735,8,32.57,6.16,20.73
736,8,54.98,10.68,31.54
737,6,37.61,6.31,19.88
738,3,20.35,7.89,23.33
739,9,43.72,9.12,40.54
740,7,45.02,12.17,30.74
741,15,46.54,8.17,28.61
742,9,67.93,12.34,30.86
743,13,35.47,12.43,36.79
744,5,22.05,12.86,39.86
745,10,39.92,11.98,26.16
746,4,47.74,4.59,17.12
747,14,39.52,8.45,26.69
748,6,27.25,7.69,21.33
749,5,31.0,0.49,0.0
750,6,37.61,5.83,16.92
751,12,31.57,8.96,26.09
752,6,21.93,10.18,29.91
753,4,27.7,1.56,17.07
754,0,24.44,6.37,25.26
755,0,33.45,4.54,15.28
756,7,32.18,6.64,24.77
757,1,18.11,11.17,24.14
758,0,32.72,8.87,20.66
759,3,13.66,5.04,10.27
760,6,30.33,5.52,19.18
761,6,28.52,6.5,14.47
762,8,38.46,7.43,13.65
763,5,12.16,3.37,12.61
764,4,11.12,3.18,16.2
765,1,24.14,6.22,13.97
766,1,18.6,4.38,19.11
767,11,11.3,4.43,19.27
769,8,36.77,3.37,16.99
771,0,18.07,3.87,18.13
772,9,46.76,8.94,32.76
773,13,41.9,10.84,32.09
774,9,36.07,6.61,21.95
775,5,45.2,6.07,20.94
776,9,36.6,8.19,33.18
777,9,36.69,8.56,25.88
778,1,44.77,4.51,20.68
779,7,36.82,4.82,16.08
780,15,45.33,12.65,38.27
781,4,46.12,4.69,25.24
783,12,34.07,8.87,29.36
784,14,30.54,5.52,24.03
785,0,3.96,5.61,12.35
786,6,24.16,6.9,21.77
787,0,15.93,0.71,17.01
788,4,21.54,6.04,19.1
789,6,19.83,2.45,6.13
790,4,36.71,6.87,13.06
791,1,27.29,7.05,32.31
792,0,31.07,8.3,13.8
793,6,28.34,7.36,28.88
794,2,14.72,0.13,9.55
795,3,0.0,2.14,8.93
796,5,26.43,9.35,34.66
797,3,35.55,6.89,21.12
798,3,9.36,3.1,1.93
799,7,24.81,6.4,16.52
801,1,2.11,0.0,0.0
803,9,31.63,8.95,25.75
804,0,23.01,2.96,23.0
805,3,38.63,10.3,28.27
806,3,6.73,7.26,24.25
807,2,11.65,3.24,7.44
808,7,26.66,4.71,10.32
809,6,23.52,8.83,26.65
810,9,25.67,7.3,28.04
811,7,24.03,7.12,23.51
812,3,21.46,1.28,4.34
813,4,12.84,5.19,18.41
814,1,19.05,8.76,28.27
815,5,29.91,8.08,24.97
816,1,8.36,4.34,23.12
817,10,36.66,9.47,21.98
818,7,24.75,8.36,26.63
819,10,6.2,9.45,30.06
820,8,31.73,9.33,32.66
821,4,25.17,3.48,9.85
822,3,5.77,6.13,16.65
823,7,16.6,6.73,22.44
824,7,15.58,5.5,13.1
825,8,19.32,6.45,16.32
826,1,35.75,6.13,18.26
827,3,35.05,7.45,24.88
828,10,31.78,7.49,19.09
829,11,28.66,5.98,25.62
830,11,20.9,7.76,18.13
831,8,35.86,8.0,19.95
832,10,42.16,4.35,20.83
833,2,32.97,8.79,26.28
834,12,26.9,9.77,33.8
836,10,44.07,9.7,34.99
837,5,32.98,5.02,17.37
838,8,53.72,12.45,30.63
839,9,38.8,9.91,24.53
840,6,43.27,8.33,34.59
842,1,30.63,9.78,28.95
843,5,30.15,5.24,15.03
844,4,48.61,7.62,20.37
845,9,41.76,9.13,28.82
846,9,41.3,9.8,35.2
848,6,37.35,9.21,28.36
849,2,2.0,1.84,0.0
850,2,7.77,5.13,8.39
851,1,22.39,2.18,11.27
852,0,7.2,3.4,10.17
853,1,10.1,4.12,15.19
854,0,0.0,1.16,0.0
855,3,20.93,2.29,5.03
856,7,11.73,1.6,1.21
857,0,0.0,0.59,14.99
858,7,24.15,4.1,16.81
859,3,14.52,5.39,17.79
860,5,15.11,0.42,5.68
861,6,11.27,3.58,7.85
862,0,8.76,3.59,15.21
863,7,6.38,3.37,0.0
864,0,0.0,3.09,6.46
865,6,33.65,10.57,26.31
866,6,12.15,7.89,22.84
867,5,33.0,9.04,21.52
868,7,29.83,5.39,10.12
869,7,33.8,5.87,20.51
871,6,37.42,5.99,11.78
872,8,30.6,7.0,25.87
873,10,43.53,4.3,17.64
874,5,33.15,6.41,13.82
875,13,57.26,7.98,25.0
876,9,26.01,3.52,14.93
877,10,33.81,10.21,29.19
878,12,43.6,6.62,28.99
879,7,20.65,8.31,19.43
880,10,60.35,6.67,23.17
881,1,15.58,5.39,18.41
882,2,28.9,4.73,10.84
884,6,32.55,7.83,29.12
885,8,33.85,8.07,14.2
886,2,38.36,9.01,23.3
887,4,41.38,4.06,29.61
889,5,29.31,5.24,22.05
890,0,27.06,2.25,8.4
891,7,38.68,9.08,21.48
892,3,44.72,8.33,18.46
893,5,30.0,5.87,13.37
894,8,24.86,5.69,22.83
895,10,44.42,7.25,26.96
896,10,29.72,5.38,17.13
897,5,19.88,0.24,1.61
898,6,23.75,6.93,18.68
899,0,20.15,2.55,13.96
900,2,21.18,8.77,21.32
901,12,30.52,8.01,28.11
903,1,18.46,3.66,14.33
904,4,25.35,4.5,15.33
905,6,38.37,11.14,31.81
906,5,30.86,2.46,7.68
907,0,1.32,3.26,3.83
908,2,29.61,3.93,4.22
909,7,19.97,10.43,30.46
911,2,10.68,0.69,5.75
912,9,9.3,5.9,8.71
913,7,27.6,6.71,22.85
914,7,33.43,10.63,31.39
915,7,40.27,13.2,30.4
916,4,37.42,6.93,26.1
919,2,27.76,4.78,20.12
920,9,46.56,8.87,31.1
921,6,29.77,13.75,35.87
922,6,28.87,9.1,25.28
923,9,42.16,3.59,16.7
924,3,44.58,6.57,16.08
926,7,25.53,11.51,26.47
927,4,43.47,6.47,29.47
928,6,31.76,10.9,34.02
929,6,34.7,6.06,19.6
930,4,33.32,1.29,4.47
931,9,28.94,7.4,23.17
932,9,44.99,7.68,24.8
933,0,11.22,1.94,12.47
934,12,41.09,13.23,34.64
935,4,10.61,4.86,19.35
936,7,26.07,11.35,36.45
937,6,24.49,9.8,23.52
938,5,48.55,8.4,19.38
939,2,24.49,4.87,24.2
940,4,44.44,8.79,25.72
941,9,16.79,4.39,19.85
942,11,18.35,5.66,10.38
