response_id,ai_budget_percentage,ai_investment_per_employee
270,6.86,60288.36
271,7.11,62495.76
272,12.1,106411.9
273,17.41,376061.73
274,8.44,182352.12
275,14.62,315823.27
276,10.56,227996.51
278,12.76,275584.73
279,5.5,118690.79
280,9.34,201688.98
281,13.15,284047.79
283,14.68,317001.41
284,10.77,232615.28
285,14.43,311781.46
286,8.16,176267.69
287,15.11,326463.88
289,3.67,38438.74
290,6.52,68274.49
291,3.47,36396.7
292,7.48,78356.31
293,5.5,57616.32
294,3.62,37923.63
296,10.09,105705.24
298,7.13,74711.34
299,3.02,31588.84
300,8.46,88576.51
301,8.5,88987.38
302,8.45,88518.1
303,11.05,115711.98
304,10.07,105439.84
305,11.45,21587.88
306,17.18,32374.86
307,15.23,28709.99
308,14.88,28046.69
309,12.47,23502.02
310,11.67,21986.07
311,14.91,28108.17
312,11.23,21157.1
313,13.83,26069.76
314,14.01,26406.81
315,12.55,23654.79
316,16.57,31232.4
317,17.47,32918.12
318,15.37,28966.28
319,13.39,25232.02
320,7.0,13198.26
322,4.47,73259.79
323,5.33,87363.53
324,4.21,68966.15
325,7.46,122113.07
326,7.27,119122.65
327,2.44,39960.4
328,8.51,139309.58
329,7.0,114624.38
330,6.14,100509.61
331,7.61,124559.2
332,6.52,106734.5
333,4.24,69412.8
334,10.24,167755.06
335,3.93,64311.54
336,6.41,104901.59
338,10.82,34468.36
339,10.19,32464.49
340,11.95,38043.25
342,10.29,32777.12
343,9.52,30313.98
344,5.85,18631.62
345,7.44,23694.55
346,11.03,35110.62
347,11.68,37208.22
348,15.49,49319.26
349,13.42,42721.13
350,11.81,37620.91
351,11.04,35172.84
352,15.54,49484.73
353,5.44,40109.46
354,0.49,3638.27
355,0.0,0.0
356,11.13,82066.01
357,1.9,13989.87
358,3.11,22904.05
359,2.38,17532.31
360,1.78,13143.83
361,3.6,26552.35
362,3.47,25607.23
363,1.27,9379.57
366,6.11,45047.23
367,1.89,13955.78
368,2.11,15519.2
370,11.49,48066.9
372,10.46,43728.49
373,10.92,45664.93
374,10.24,42817.96
375,9.51,39778.33
376,8.58,35895.08
377,11.01,46024.96
378,14.34,59979.42
379,9.69,40538.81
380,13.46,56300.77
381,9.53,39862.6
382,7.32,30601.18
383,7.23,30216.79
384,12.1,50578.77
385,2.84,16982.64
386,9.05,54172.69
388,3.11,18635.79
389,14.21,85043.33
390,7.14,42729.47
392,6.27,37541.02
393,5.95,35568.22
394,2.37,14205.89
395,9.05,54159.49
396,13.66,81713.42
397,14.45,86462.06
398,14.35,85858.35
399,11.67,69822.7
400,8.18,48917.9
401,9.1,65101.35
402,10.32,73870.18
403,6.97,49895.63
404,10.62,75963.73
406,5.49,39317.34
407,7.61,54474.25
408,5.76,41248.29
409,9.52,68119.59
410,7.93,56723.07
411,7.89,56466.78
412,7.78,55659.51
413,11.3,80895.6
414,8.19,58586.7
415,1.19,8498.88
416,6.78,48515.63
417,12.37,49069.57
418,8.83,35049.09
419,3.02,11999.81
420,7.55,29975.12
421,7.91,31381.37
422,11.91,47257.12
423,6.63,26290.42
424,8.08,32059.06
425,6.9,27389.59
426,9.7,38490.5
427,8.43,33469.76
429,11.06,43873.93
430,10.84,43014.5
431,6.94,27520.72
432,5.38,21339.64
434,1.73,1477.87
435,11.3,9642.77
436,12.35,10539.3
437,11.71,9992.65
438,13.69,11675.96
439,9.43,8046.52
440,9.84,8393.45
441,10.72,9143.41
442,1.66,1413.27
443,8.42,7181.41
444,10.9,9300.7
445,6.39,5455.39
446,10.16,8664.48
447,3.95,3369.48
448,10.81,9219.35
449,9.1,9507.14
450,11.87,12404.85
451,7.84,8191.31
452,12.38,12938.56
453,11.56,12078.95
455,11.63,12146.84
456,11.94,12478.2
457,14.87,15535.82
458,10.92,11409.2
459,12.48,13043.1
460,12.89,13465.9
461,9.33,9751.67
462,14.66,15317.17
463,10.72,11205.78
465,7.76,129776.8
466,7.82,130725.8
467,6.45,107824.82
468,8.3,138861.15
469,6.3,105366.9
470,11.58,193657.97
471,12.14,203057.94
472,11.96,199991.14
473,6.89,115196.6
474,7.59,126988.94
475,9.43,157701.59
476,3.78,63160.67
477,13.58,227106.9
478,7.68,128399.43
479,7.43,124203.31
480,12.93,216230.76
481,13.97,174757.13
482,16.28,203624.54
483,7.74,96801.12
484,16.2,202655.07
485,15.16,189681.85
486,10.17,127274.55
488,17.27,216023.97
489,17.28,216151.37
490,16.23,203019.06
491,16.62,207915.12
492,13.88,173647.86
493,16.68,208588.38
494,15.66,195881.27
495,22.37,279787.72
496,15.86,198338.03
498,9.84,12101.54
499,11.92,14655.75
500,11.8,14505.22
501,10.33,12695.13
502,13.58,16695.63
503,13.35,16415.29
504,10.02,12315.47
505,9.7,11925.97
506,6.97,8571.17
507,9.83,12084.08
509,14.9,18320.13
510,9.57,11763.63
511,6.67,8202.89
512,12.49,15354.4
513,2.19,31313.05
514,5.52,78844.93
515,6.46,92143.15
517,6.71,95786.36
518,7.63,108933.89
519,8.88,126677.47
520,5.01,71526.45
521,2.33,33194.49
522,7.26,103612.02
523,1.73,24675.34
524,6.12,87318.8
525,5.1,72718.36
526,4.04,57631.28
528,9.19,131185.24
529,5.14,8131.8
530,8.42,13319.43
531,10.16,16087.92
532,9.69,15333.7
533,9.91,15684.78
534,7.54,11939.06
536,11.02,17438.09
537,11.49,18182.07
538,16.14,25544.42
539,6.56,10376.46
540,17.14,27127.7
541,10.89,17229.09
542,11.49,18178.08
543,6.63,10492.27
544,10.55,16695.65
545,6.35,210197.45
546,6.9,228219.83
547,13.35,441586.72
548,9.8,324293.26
549,5.47,180836.17
550,8.53,282099.18
551,13.23,437631.15
552,7.34,242674.05
553,14.59,482757.1
554,11.52,381070.17
555,18.09,598322.5
556,12.36,408852.59
557,7.81,258237.18
558,6.15,203540.38
559,13.99,462754.11
561,6.47,11340.51
562,5.05,8857.87
563,10.44,18299.19
564,0.38,659.58
565,10.14,17770.52
566,6.07,10639.29
567,9.0,15773.99
568,5.62,9840.98
569,10.8,18931.98
571,8.45,14810.65
572,10.21,17893.35
573,7.54,13205.48
574,12.8,22424.0
575,13.95,24442.0
576,7.34,12859.99
577,13.57,108797.85
578,16.39,131381.31
579,17.42,139614.91
580,11.96,95865.77
581,15.99,128221.11
582,15.7,125865.24
583,15.42,123597.25
584,16.89,135431.21
585,12.9,103387.74
586,17.6,141084.25
587,15.96,127936.07
589,11.87,95167.23
590,19.22,154044.0
591,12.86,103066.26
592,13.03,104495.71
593,7.95,16414.12
594,11.78,24336.87
595,9.58,19791.19
597,9.95,20543.97
598,8.23,16996.91
599,6.49,13397.09
600,7.78,16068.46
601,12.95,26748.27
602,8.95,18480.95
603,12.31,25429.74
604,6.71,13854.21
605,11.9,24588.18
606,7.23,14925.99
607,10.75,22209.83
608,10.83,22370.52
609,18.01,134965.46
610,13.74,102932.48
611,14.27,106925.67
612,13.47,100934.97
613,10.93,81860.33
614,6.13,45897.9
615,14.42,108003.95
616,15.55,116511.03
617,13.22,99024.17
618,6.25,46831.62
619,12.58,94266.06
620,19.28,144472.19
621,14.74,110468.57
622,13.13,98346.29
623,14.98,112250.18
624,12.76,95568.82
625,14.53,27683.82
626,5.9,11237.03
627,18.27,34796.73
628,10.59,20174.51
629,13.19,25132.28
630,13.7,26103.04
631,10.34,19701.19
632,9.56,18217.26
633,9.04,17219.98
634,11.95,22763.72
635,13.24,25223.85
636,8.49,16180.33
637,10.09,19224.93
638,12.39,23598.33
639,8.66,16497.65
640,12.0,22857.56
641,12.77,90822.37
642,13.65,97073.0
643,8.03,57096.72
644,11.8,83893.74
645,10.83,77029.03
646,12.46,88630.74
647,14.43,102636.89
648,13.36,95050.27
649,12.5,88914.43
650,17.42,123869.75
651,8.61,61262.97
652,11.63,82709.14
653,12.61,89665.67
654,12.9,91777.2
656,4.11,29232.36
657,12.36,308963.61
658,9.8,245108.42
659,1.43,35772.71
660,7.61,190341.29
661,6.6,164915.72
663,5.56,138985.92
664,3.02,75614.08
665,8.44,211019.24
666,5.62,140522.13
667,8.63,215686.78
668,9.39,234869.1
669,9.1,227431.15
670,2.89,72274.13
671,8.17,204313.37
672,12.21,305373.3
673,8.32,138688.43
674,9.31,155247.35
675,15.31,255266.18
676,7.42,123665.72
677,10.98,183068.18
678,7.41,123557.41
679,10.47,174511.69
680,12.32,205418.39
681,4.77,79468.37
682,9.08,151363.18
683,5.89,98111.41
684,13.05,217553.26
685,10.27,171186.42
686,13.13,218899.48
687,3.61,60229.67
688,8.97,149522.26
689,13.01,147288.23
690,10.4,117694.99
691,8.71,98615.72
692,12.75,144339.1
693,13.78,156004.21
694,15.8,178880.8
696,11.8,133563.22
697,16.05,181664.38
698,13.78,156005.13
699,15.63,176878.93
700,13.34,150998.11
701,13.86,156922.54
702,10.13,114598.86
703,20.53,232377.15
704,13.52,153076.12
705,9.7,133595.92
706,11.16,153709.92
707,8.45,116284.96
708,8.39,115507.18
709,18.95,260914.04
710,8.54,117647.72
711,2.41,33249.44
712,12.14,167149.16
713,9.73,134002.72
714,12.87,177196.31
715,10.34,142418.97
716,10.2,140423.95
717,10.33,142254.66
719,11.28,155366.87
720,11.33,155977.21
721,11.64,42322.56
722,11.29,41030.9
723,12.38,44991.49
724,9.2,33427.82
725,18.74,68119.02
726,12.38,45012.46
727,9.48,34474.15
729,13.63,49564.63
730,11.97,43506.68
731,9.05,32882.42
733,9.24,33575.38
734,9.87,35867.82
735,10.83,39365.23
736,16.48,59895.27
737,9.69,158959.13
738,12.55,206018.93
739,14.04,230437.24
740,11.0,180553.88
741,12.09,198403.72
742,13.65,224023.97
743,12.59,206571.7
744,14.34,235409.68
745,14.74,241915.53
746,8.21,134672.53
747,13.61,223433.52
748,8.54,140196.03
749,7.51,123294.42
750,13.34,219022.6
751,13.97,229245.56
752,8.45,138753.12
753,11.19,15007.14
754,4.57,6125.08
755,4.88,6543.42
756,9.77,13099.26
757,7.04,9434.32
758,6.68,8958.21
759,5.46,7322.04
760,2.92,3911.29
761,10.6,14216.1
762,6.33,8492.38
763,7.99,10708.49
764,4.01,5374.87
765,5.9,7905.96
766,7.64,10246.63
767,11.14,14938.11
769,7.64,16666.99
771,8.33,18164.91
772,9.5,20716.15
773,11.21,24463.88
774,14.3,31191.35
775,13.61,29689.6
776,15.3,33385.88
777,16.42,35816.65
778,13.55,29553.65
779,10.41,22715.44
780,14.85,32393.04
781,11.94,26058.22
783,13.4,29231.56
784,12.08,26345.28
785,4.24,1981.28
786,7.77,3635.45
787,2.22,1038.92
788,3.04,1423.71
789,9.41,4399.19
790,2.95,1379.48
791,7.81,3652.48
792,4.78,2235.48
793,10.1,4722.33
794,1.7,794.66
795,4.63,2166.6
796,8.58,4012.07
797,12.9,6032.92
798,5.08,2375.01
799,7.1,3322.77
801,2.03,19953.72
803,12.54,123250.11
804,9.16,90019.26
805,8.83,86799.17
806,10.39,102161.61
807,3.57,35131.67
808,7.26,71320.6
809,8.69,85395.33
810,4.8,47164.39
811,5.83,57278.61
812,5.05,49642.32
813,5.14,50501.46
814,6.02,59207.89
815,8.66,85123.98
816,5.65,55573.65
817,10.83,77590.06
818,16.13,115530.54
819,8.59,61496.29
820,13.91,99583.22
821,8.4,60156.22
822,10.97,78541.35
823,9.63,68962.59
824,8.31,59487.56
825,6.65,47590.98
826,8.96,64188.99
827,8.94,64027.47
828,6.99,50092.0
829,13.86,99234.95
830,9.76,69869.89
831,6.03,43165.38
832,9.34,66923.19
833,7.19,115961.78
834,8.84,142704.34
836,10.54,170041.24
837,8.57,138225.98
838,17.4,280837.24
839,19.69,317651.39
840,13.46,217157.19
842,11.95,192806.68
843,12.29,198346.11
844,4.08,65898.08
845,7.25,117027.87
846,11.59,187085.23
848,15.12,244054.82
849,5.77,36667.82
850,5.99,38071.18
851,3.34,21240.09
852,0.0,0.0
853,5.33,33891.43
854,6.64,42188.53
855,6.66,42325.34
856,0.0,0.0
857,3.77,23971.35
858,1.93,12263.89
859,4.91,31184.47
860,8.91,56587.41
861,4.62,29335.58
862,7.41,47076.72
863,3.56,22623.34
864,6.71,42636.02
865,13.65,176095.02
866,11.38,146798.97
867,12.87,166120.14
868,11.9,153570.79
869,10.45,134868.06
871,15.11,194961.47
872,8.34,107647.9
873,8.65,111589.29
874,8.16,105242.73
875,17.73,228727.17
876,10.79,139197.69
877,10.58,136454.2
878,16.25,209638.15
879,4.96,64034.74
880,15.4,198755.46
881,7.42,77763.07
882,13.54,141960.67
884,13.65,143173.43
885,9.57,100374.64
886,9.87,103509.1
887,6.0,62957.26
889,8.75,91783.9
890,6.76,70833.27
891,11.1,116400.48
892,12.8,134241.02
893,7.75,81287.76
894,10.84,113702.78
895,14.75,154701.46
896,10.2,106936.72
897,0.0,0.0
898,2.13,25285.07
899,6.79,80573.05
900,6.21,73711.94
901,10.89,129215.32
903,8.74,103722.09
904,5.63,66841.48
905,9.94,117897.97
906,9.07,107586.0
907,2.73,32404.34
908,6.94,82310.33
909,4.87,57811.03
911,10.1,119786.66
912,6.28,74485.72
913,13.4,30847.79
914,7.11,16357.15
915,3.96,9117.53
916,12.82,29517.2
919,12.55,28894.79
920,12.51,28791.58
921,9.2,21181.2
922,16.04,36917.49
923,10.14,23328.81
924,13.45,30966.65
926,10.17,23405.65
927,13.84,31844.22
928,9.02,20771.76
929,11.99,14272.79
930,12.22,14551.33
931,10.09,12014.06
932,9.7,11541.58
933,10.9,12979.36
934,14.86,17689.3
935,7.1,8452.42
936,12.34,14689.73
937,4.96,5909.78
938,10.92,12996.33
939,6.65,7913.18
940,13.65,16250.43
941,11.84,14099.16
942,6.05,7204.21
943,12.93,15388.74
944,10.51,12515.82
945,9.0,42948.63
946,12.6,60085.69
947,1.63,7785.92
948,7.29,34779.17
949,9.49,45280.44
950,11.63,55460.29
951,11.32,54013.48
952,5.76,27461.48
953,12.67,60420.33
954,7.93,37826.15
955,7.97,38029.71
956,3.58,17093.7
957,7.25,34592.74
958,11.19,53381.35
959,9.18,43805.97
960,14.39,68651.35
961,12.84,11909.48
962,8.06,7479.75
963,8.38,7769.41
964,8.99,8337.82
965,6.95,6445.42
966,7.99,7406.95
967,4.38,4059.47
968,17.87,16577.83
969,15.47,14352.13
970,11.07,10272.21
971,4.81,4459.67
972,9.54,8847.53
973,8.06,7473.95
974,8.02,7438.65
975,9.3,8625.38
976,16.12,14949.37
977,0.12,743.22
978,5.73,36798.5
979,9.38,60228.86
980,0.35,2233.08
981,3.49,22388.62
982,3.99,25594.18
983,5.96,38281.07
984,5.49,35218.3
985,2.52,16203.61
986,5.02,32218.9
987,4.37,28015.11
988,13.88,89091.06
989,4.66,29899.03
990,13.31,85418.26
991,8.12,52117.5
992,10.44,67000.73
994,12.35,28826.29
995,12.34,28786.72
996,11.95,27875.65
997,8.92,20824.16
998,10.37,24196.41
999,11.86,27673.98
1000,8.51,19856.71
1001,14.13,32980.04
1002,17.2,40130.02
1003,14.47,33765.12
1004,9.5,22167.16
1005,12.4,28944.21
1006,13.8,32196.0
1007,16.14,37665.64
1008,14.39,33577.04
1009,9.84,40200.4
1010,16.02,65399.16
1011,6.66,27213.16
1012,9.04,36904.11
1013,9.16,37394.53
1014,11.56,47194.8
1018,14.22,58078.73
1019,11.82,48274.38
1020,7.42,30314.13
1021,6.88,28084.77
1022,7.71,31494.35
1023,14.62,59689.76
1024,11.3,46163.61
1025,6.19,84668.48
1026,12.56,171818.54
1027,6.44,88005.04
1028,11.85,162082.76
1029,10.39,142103.65
1030,11.38,155597.81
1031,12.25,167558.55
1032,9.83,134370.19
1033,5.16,70602.54
1034,12.11,165597.7
1035,12.26,167588.58
1036,6.7,91653.16
1037,12.4,169573.57
1038,8.39,114684.91
1039,11.85,161995.38
1040,11.41,155979.89
1041,12.78,238792.65
1042,13.53,252643.63
1043,12.0,224174.91
1044,13.98,261036.33
1046,13.0,242765.52
1047,12.22,228344.99
1048,12.75,238225.18
1049,13.25,247511.32
1050,9.14,170809.45
1051,12.48,233130.18
1053,11.52,215263.13
1054,15.31,285900.64
1055,19.01,355081.42
1057,9.87,28857.69
1058,10.33,30190.29
1059,3.39,9925.39
1060,9.5,27782.76
1061,9.84,28786.25
1062,3.57,10441.19
1064,11.08,32407.79
1065,10.17,29723.73
1066,8.21,24020.25
1067,10.75,31442.34
1068,6.98,20412.4
1069,13.75,40200.22
1070,12.87,37643.56
1071,8.31,24295.47
1072,7.81,22844.9
1073,8.64,100111.5
1076,10.42,120722.21
1077,13.24,153434.19
1078,15.65,181401.82
1079,10.2,118160.26
1080,11.09,128485.39
1081,7.68,88967.04
1082,11.07,128239.04
1083,10.83,125478.1
1084,8.77,101687.11
1085,5.79,67104.38
1086,15.77,182789.19
1087,10.01,115974.49
1088,9.55,110714.56
1089,1.32,3199.3
1090,0.0,0.0
1091,1.51,3671.67
1092,2.28,5545.12
1093,0.0,0.0
1094,6.1,14813.99
1095,7.52,18274.1
1097,4.83,11726.56
1098,3.44,8347.21
1099,8.68,21084.76
1100,0.69,1675.91
1101,11.8,28661.76
1102,8.39,20376.48
1104,3.77,9148.42
1105,10.16,92040.47
1106,9.34,84624.37
1107,4.72,42749.88
1108,10.49,95028.36
1109,5.98,54194.08
1110,7.64,69199.96
1111,5.56,50315.99
1112,12.68,114834.46
1113,4.83,43783.96
1114,11.17,101183.88
1115,10.65,96445.72
1117,14.6,132244.44
1118,11.61,105155.05
1119,7.7,69737.25
1120,7.15,64720.55
1121,11.73,18627.5
1122,7.57,12021.3
1123,6.98,11090.83
1124,3.65,5788.71
1125,3.83,6084.97
1126,8.56,13590.11
1127,17.88,28397.79
1128,19.94,31668.96
1129,15.71,24943.0
1130,13.18,20931.49
1131,9.05,14373.75
1132,14.01,22248.16
1134,10.89,17299.6
1135,14.38,22840.64
1136,7.61,12091.93
1137,7.03,15460.55
1138,5.22,11461.96
1139,8.59,18888.77
1140,9.05,19898.04
1141,8.52,18725.96
1142,7.34,16128.9
1143,7.67,16852.25
1144,9.88,21709.73
1145,7.31,16069.19
1146,10.33,22711.49
1147,10.04,22060.19
1148,8.22,18074.74
1149,3.56,7820.74
1150,5.57,12230.42
1151,12.56,27591.84
1152,12.61,27715.57
1153,12.34,72703.31
1154,6.38,37601.55
1155,7.7,45360.58
1156,15.02,88511.44
1157,7.56,44530.98
1158,9.12,53746.2
1159,18.76,110520.92
1160,10.5,61842.78
1161,13.28,78217.68
1162,9.75,57428.69
1163,15.39,90689.67
1164,12.88,75871.83
1165,12.8,75397.78
1166,10.5,61832.4
1167,4.03,23763.3
1168,10.43,61430.21
1170,14.74,53360.97
1171,14.07,50945.32
1172,15.72,56914.14
1173,12.94,46851.8
1174,8.63,31254.54
1175,15.07,54555.34
1176,17.76,64318.33
1177,8.53,30894.25
1179,8.41,30439.04
1180,12.33,44626.98
1181,10.4,37667.26
1182,12.37,44796.17
1183,15.17,54931.35
1184,14.77,53481.26
1186,8.82,36501.73
1187,4.94,20443.44
1188,0.0,0.0
1189,4.97,20551.11
1190,4.43,18316.25
1191,2.74,11348.05
1192,5.25,21709.47
1193,6.81,28176.67
1194,7.32,30302.6
1195,5.73,23693.08
1196,2.53,10458.71
1197,4.48,18525.38
1198,13.32,55103.86
1199,11.56,47804.79
1200,1.69,6994.78
1201,11.02,33251.34
1202,8.72,26309.44
1203,5.99,18089.82
1204,4.94,14913.92
1205,10.15,30621.74
1206,3.25,9802.54
1207,10.68,32244.7
1208,9.15,27614.1
1209,5.9,17798.24
1210,6.76,20400.33
1211,9.04,27283.41
1212,8.63,26052.95
1214,6.36,19185.89
1216,9.73,29359.18
1217,6.07,37939.62
1218,9.29,58114.47
1219,6.47,40430.08
1220,5.79,36191.45
1221,7.05,44107.3
1222,3.94,24614.31
1223,5.78,36155.29
1224,10.54,65911.92
1225,10.0,62544.71
1226,3.12,19524.02
1227,4.77,29811.79
1228,4.15,25936.92
1229,11.77,73598.45
1230,11.74,73401.07
1231,8.62,53904.76
1232,10.72,67024.39
1233,10.83,72845.51
1234,9.11,61273.98
1235,11.03,74210.23
1236,14.31,96271.88
1237,4.63,31144.01
1238,15.02,101016.83
1239,6.02,40493.63
1240,10.98,73873.98
1241,14.85,99888.84
1242,18.1,121719.44
1243,12.3,82733.33
1244,8.85,59501.95
1245,11.37,76455.3
1247,20.52,138031.29
1248,6.88,46274.91
1249,11.44,169856.51
1250,1.24,18471.75
1251,6.81,101094.01
1252,1.46,21613.46
1254,6.02,89357.03
1255,7.37,109418.39
1256,8.13,120688.96
1257,3.6,53508.37
1258,9.35,138810.46
1259,7.01,104038.56
1260,6.29,93445.63
1261,9.76,144930.44
1262,10.48,155619.66
1263,11.42,169566.2
1264,5.6,83093.08
1265,15.15,335160.83
1266,12.95,286510.77
1267,8.38,185444.44
1268,15.77,348986.97
1269,17.28,382470.89
1270,16.57,366706.22
1271,13.0,287749.94
1272,9.55,211220.57
1273,11.55,255539.85
1274,16.91,374175.75
1275,18.98,419973.23
1276,17.58,389109.12
1277,12.55,277748.61
1278,12.46,275771.08
1279,11.86,262473.37
1280,7.15,158192.76
1281,0.19,988.83
1282,1.17,6145.81
1283,3.65,19243.95
1285,9.72,51242.92
1286,4.78,25172.36
1287,1.95,10293.17
1288,2.03,10705.38
1289,8.25,43509.07
1290,1.03,5452.75
1291,6.79,35797.47
1292,10.88,57332.62
1293,5.19,27381.93
1294,7.86,41429.09
1295,2.21,11634.29
1296,0.0,0.0
1297,10.06,33023.55
1298,9.23,30311.2
1299,10.44,34267.48
1300,11.68,38350.34
1301,4.77,15652.13
1303,8.77,28803.48
1304,5.27,17314.38
1305,7.33,24080.44
1306,10.49,34443.44
1308,11.95,39239.06
1309,10.29,33784.07
1310,8.42,27659.11
1311,5.55,18210.31
1312,5.43,17830.33
1314,6.88,142819.83
1315,2.08,43119.79
1316,1.68,34902.37
1317,2.8,58124.48
1318,3.79,78705.36
1319,6.52,135358.08
1320,4.26,88435.33
1321,6.74,139904.92
1322,12.3,255067.81
1323,8.44,175085.31
1324,4.74,98329.94
1325,5.43,112619.49
1326,2.26,46787.24
1327,6.61,137102.6
1328,8.09,167864.68
1329,9.22,62341.0
1330,6.51,44035.1
1331,9.09,61469.19
1332,14.19,95973.71
1333,7.71,52164.61
1334,13.63,92154.77
1335,7.75,52440.69
1336,12.94,87493.1
1337,12.81,86664.43
