company_id,industry,company_size,num_employees,annual_revenue_usd_millions,company_founding_year,company_age,company_age_group,country,region
COMP-00018,Agriculture,Enterprise,3975,8585.8,1992,32,30+ years,Egypt,Africa
COMP-00018,Agriculture,Enterprise,3975,8585.8,1992,33,30+ years,Egypt,Africa
COMP-00018,Agriculture,Enterprise,3975,8585.8,1992,34,30+ years,Egypt,Africa
COMP-00019,Finance,Startup,27,28.28,2020,3,0-5 years,Italy,Europe
COMP-00019,Finance,Startup,27,28.28,2020,4,0-5 years,Italy,Europe
COMP-00019,Finance,Startup,27,28.28,2020,5,0-5 years,Italy,Europe
COMP-00019,Finance,Startup,27,28.28,2020,6,6-15 years,Italy,Europe
COMP-00020,Retail,Enterprise,17538,3305.26,2015,8,6-15 years,Netherlands,Europe
COMP-00020,Retail,Enterprise,17538,3305.26,2015,9,6-15 years,Netherlands,Europe
COMP-00020,Retail,Enterprise,17538,3305.26,2015,10,6-15 years,Netherlands,Europe
COMP-00020,Retail,Enterprise,17538,3305.26,2015,11,6-15 years,Netherlands,Europe
COMP-00021,Healthcare,Startup,26,42.58,1998,25,16-30 years,Italy,Europe
COMP-00021,Healthcare,Startup,26,42.58,1998,26,16-30 years,Italy,Europe
COMP-00021,Healthcare,Startup,26,42.58,1998,27,16-30 years,Italy,Europe
COMP-00021,Healthcare,Startup,26,42.58,1998,28,16-30 years,Italy,Europe
COMP-00022,Education,SME,576,183.43,2015,8,6-15 years,Germany,Europe
COMP-00022,Education,SME,576,183.43,2015,9,6-15 years,Germany,Europe
COMP-00022,Education,SME,576,183.43,2015,10,6-15 years,Germany,Europe
COMP-00022,Education,SME,576,183.43,2015,11,6-15 years,Germany,Europe
COMP-00023,Manufacturing,Startup,59,43.49,2002,21,16-30 years,Colombia,South America
COMP-00023,Manufacturing,Startup,59,43.49,2002,22,16-30 years,Colombia,South America
COMP-00023,Manufacturing,Startup,59,43.49,2002,23,16-30 years,Colombia,South America
COMP-00023,Manufacturing,Startup,59,43.49,2002,24,16-30 years,Colombia,South America
COMP-00024,Finance,SME,875,365.89,2005,18,16-30 years,Italy,Europe
COMP-00024,Finance,SME,875,365.89,2005,19,16-30 years,Italy,Europe
COMP-00024,Finance,SME,875,365.89,2005,20,16-30 years,Italy,Europe
COMP-00024,Finance,SME,875,365.89,2005,21,16-30 years,Italy,Europe
COMP-00025,Consulting,SME,753,450.5,2012,11,6-15 years,Thailand,Asia
COMP-00025,Consulting,SME,753,450.5,2012,12,6-15 years,Thailand,Asia
COMP-00025,Consulting,SME,753,450.5,2012,13,6-15 years,Thailand,Asia
COMP-00025,Consulting,SME,753,450.5,2012,14,6-15 years,Thailand,Asia
COMP-00026,Finance,Startup,41,29.34,2011,12,6-15 years,South Africa,Africa
COMP-00026,Finance,Startup,41,29.34,2011,13,6-15 years,South Africa,Africa
COMP-00026,Finance,Startup,41,29.34,2011,14,6-15 years,South Africa,Africa
COMP-00026,Finance,Startup,41,29.34,2011,15,6-15 years,South Africa,Africa
COMP-00027,Agriculture,Startup,60,23.81,2011,12,6-15 years,Canada,North America
COMP-00027,Agriculture,Startup,60,23.81,2011,13,6-15 years,Canada,North America
COMP-00027,Agriculture,Startup,60,23.81,2011,14,6-15 years,Canada,North America
COMP-00027,Agriculture,Startup,60,23.81,2011,15,6-15 years,Canada,North America
COMP-00028,Agriculture,SME,791,67.48,2004,19,16-30 years,Germany,Europe
COMP-00028,Agriculture,SME,791,67.48,2004,20,16-30 years,Germany,Europe
COMP-00028,Agriculture,SME,791,67.48,2004,21,16-30 years,Germany,Europe
COMP-00028,Agriculture,SME,791,67.48,2004,22,16-30 years,Germany,Europe
COMP-00029,Finance,Enterprise,16338,1707.07,2022,1,0-5 years,Australia,Oceania
COMP-00029,Finance,Enterprise,16338,1707.07,2022,2,0-5 years,Australia,Oceania
COMP-00029,Finance,Enterprise,16338,1707.07,2022,3,0-5 years,Australia,Oceania
COMP-00029,Finance,Enterprise,16338,1707.07,2022,4,0-5 years,Australia,Oceania
COMP-00030,Education,Startup,14,23.41,1995,28,16-30 years,Indonesia,Asia
COMP-00030,Education,Startup,14,23.41,1995,29,16-30 years,Indonesia,Asia
COMP-00030,Education,Startup,14,23.41,1995,30,16-30 years,Indonesia,Asia
COMP-00030,Education,Startup,14,23.41,1995,31,30+ years,Indonesia,Asia
COMP-00031,Healthcare,Enterprise,1876,2346.61,2019,4,0-5 years,Singapore,Asia
COMP-00031,Healthcare,Enterprise,1876,2346.61,2019,5,0-5 years,Singapore,Asia
COMP-00031,Healthcare,Enterprise,1876,2346.61,2019,6,6-15 years,Singapore,Asia
COMP-00031,Healthcare,Enterprise,1876,2346.61,2019,7,6-15 years,Singapore,Asia
COMP-00032,Finance,Startup,61,7.5,2019,4,0-5 years,Colombia,South America
COMP-00032,Finance,Startup,61,7.5,2019,5,0-5 years,Colombia,South America
COMP-00032,Finance,Startup,61,7.5,2019,6,6-15 years,Colombia,South America
COMP-00032,Finance,Startup,61,7.5,2019,7,6-15 years,Colombia,South America
COMP-00033,Manufacturing,Startup,28,39.96,2008,15,6-15 years,Philippines,Asia
COMP-00033,Manufacturing,Startup,28,39.96,2008,16,16-30 years,Philippines,Asia
COMP-00033,Manufacturing,Startup,28,39.96,2008,17,16-30 years,Philippines,Asia
COMP-00033,Manufacturing,Startup,28,39.96,2008,18,16-30 years,Philippines,Asia
COMP-00034,Retail,SME,840,132.95,2012,11,6-15 years,China,Asia
COMP-00034,Retail,SME,840,132.95,2012,12,6-15 years,China,Asia
COMP-00034,Retail,SME,840,132.95,2012,13,6-15 years,China,Asia
COMP-00034,Retail,SME,840,132.95,2012,14,6-15 years,China,Asia
COMP-00035,Finance,Enterprise,2150,7111.75,1990,33,30+ years,Vietnam,Asia
COMP-00035,Finance,Enterprise,2150,7111.75,1990,34,30+ years,Vietnam,Asia
COMP-00035,Finance,Enterprise,2150,7111.75,1990,35,30+ years,Vietnam,Asia
COMP-00035,Finance,Enterprise,2150,7111.75,1990,36,30+ years,Vietnam,Asia
COMP-00036,Retail,SME,901,157.9,2014,9,6-15 years,Egypt,Africa
COMP-00036,Retail,SME,901,157.9,2014,10,6-15 years,Egypt,Africa
COMP-00036,Retail,SME,901,157.9,2014,11,6-15 years,Egypt,Africa
COMP-00036,Retail,SME,901,157.9,2014,12,6-15 years,Egypt,Africa
COMP-00037,Technology,SME,587,470.58,1990,33,30+ years,Nigeria,Africa
COMP-00037,Technology,SME,587,470.58,1990,34,30+ years,Nigeria,Africa
COMP-00037,Technology,SME,587,470.58,1990,35,30+ years,Nigeria,Africa
COMP-00037,Technology,SME,587,470.58,1990,36,30+ years,Nigeria,Africa
COMP-00038,Education,SME,346,71.47,2015,8,6-15 years,Japan,Asia
COMP-00038,Education,SME,346,71.47,2015,9,6-15 years,Japan,Asia
COMP-00038,Education,SME,346,71.47,2015,10,6-15 years,Japan,Asia
COMP-00038,Education,SME,346,71.47,2015,11,6-15 years,Japan,Asia
COMP-00039,Healthcare,Enterprise,2679,2007.14,2011,12,6-15 years,Vietnam,Asia
COMP-00039,Healthcare,Enterprise,2679,2007.14,2011,13,6-15 years,Vietnam,Asia
COMP-00039,Healthcare,Enterprise,2679,2007.14,2011,14,6-15 years,Vietnam,Asia
COMP-00039,Healthcare,Enterprise,2679,2007.14,2011,15,6-15 years,Vietnam,Asia
COMP-00040,Finance,SME,303,57.72,2015,8,6-15 years,USA,North America
COMP-00040,Finance,SME,303,57.72,2015,9,6-15 years,USA,North America
COMP-00040,Finance,SME,303,57.72,2015,10,6-15 years,USA,North America
COMP-00040,Finance,SME,303,57.72,2015,11,6-15 years,USA,North America
COMP-00041,Education,Startup,57,40.54,2022,1,0-5 years,Australia,Oceania
COMP-00041,Education,Startup,57,40.54,2022,2,0-5 years,Australia,Oceania
COMP-00041,Education,Startup,57,40.54,2022,3,0-5 years,Australia,Oceania
COMP-00041,Education,Startup,57,40.54,2022,4,0-5 years,Australia,Oceania
COMP-00042,Manufacturing,Startup,19,47.51,2020,3,0-5 years,Brazil,South America
COMP-00042,Manufacturing,Startup,19,47.51,2020,4,0-5 years,Brazil,South America
COMP-00042,Manufacturing,Startup,19,47.51,2020,5,0-5 years,Brazil,South America
COMP-00042,Manufacturing,Startup,19,47.51,2020,6,6-15 years,Brazil,South America
COMP-00043,Healthcare,Startup,19,31.67,2021,2,0-5 years,Netherlands,Europe
COMP-00043,Healthcare,Startup,19,31.67,2021,3,0-5 years,Netherlands,Europe
COMP-00043,Healthcare,Startup,19,31.67,2021,4,0-5 years,Netherlands,Europe
COMP-00043,Healthcare,Startup,19,31.67,2021,5,0-5 years,Netherlands,Europe
COMP-00044,Retail,Enterprise,5611,6350.59,2005,18,16-30 years,Australia,Oceania
COMP-00044,Retail,Enterprise,5611,6350.59,2005,19,16-30 years,Australia,Oceania
COMP-00044,Retail,Enterprise,5611,6350.59,2005,20,16-30 years,Australia,Oceania
COMP-00044,Retail,Enterprise,5611,6350.59,2005,21,16-30 years,Australia,Oceania
COMP-00045,Education,Enterprise,6878,9470.39,2017,6,6-15 years,South Africa,Africa
COMP-00045,Education,Enterprise,6878,9470.39,2017,7,6-15 years,South Africa,Africa
COMP-00045,Education,Enterprise,6878,9470.39,2017,8,6-15 years,South Africa,Africa
COMP-00045,Education,Enterprise,6878,9470.39,2017,9,6-15 years,South Africa,Africa
COMP-00046,Finance,Enterprise,19071,6933.1,2022,1,0-5 years,Egypt,Africa
COMP-00046,Finance,Enterprise,19071,6933.1,2022,2,0-5 years,Egypt,Africa
COMP-00046,Finance,Enterprise,19071,6933.1,2022,3,0-5 years,Egypt,Africa
COMP-00046,Finance,Enterprise,19071,6933.1,2022,4,0-5 years,Egypt,Africa
COMP-00047,Education,Enterprise,5000,8206.44,2001,22,16-30 years,Vietnam,Asia
COMP-00047,Education,Enterprise,5000,8206.44,2001,23,16-30 years,Vietnam,Asia
COMP-00047,Education,Enterprise,5000,8206.44,2001,24,16-30 years,Vietnam,Asia
COMP-00047,Education,Enterprise,5000,8206.44,2001,25,16-30 years,Vietnam,Asia
COMP-00048,Manufacturing,Startup,83,11.13,2018,5,0-5 years,South Africa,Africa
COMP-00048,Manufacturing,Startup,83,11.13,2018,6,6-15 years,South Africa,Africa
COMP-00048,Manufacturing,Startup,83,11.13,2018,7,6-15 years,South Africa,Africa
COMP-00048,Manufacturing,Startup,83,11.13,2018,8,6-15 years,South Africa,Africa
COMP-00049,Finance,Enterprise,11636,2538.6,1991,32,30+ years,New Zealand,Oceania
COMP-00049,Finance,Enterprise,11636,2538.6,1991,33,30+ years,New Zealand,Oceania
COMP-00049,Finance,Enterprise,11636,2538.6,1991,34,30+ years,New Zealand,Oceania
COMP-00049,Finance,Enterprise,11636,2538.6,1991,35,30+ years,New Zealand,Oceania
COMP-00050,Manufacturing,Startup,96,4.49,1997,26,16-30 years,India,Asia
COMP-00050,Manufacturing,Startup,96,4.49,1997,27,16-30 years,India,Asia
COMP-00050,Manufacturing,Startup,96,4.49,1997,28,16-30 years,India,Asia
COMP-00050,Manufacturing,Startup,96,4.49,1997,29,16-30 years,India,Asia
COMP-00051,Retail,Startup,35,34.4,1996,27,16-30 years,China,Asia
COMP-00051,Retail,Startup,35,34.4,1996,28,16-30 years,China,Asia
COMP-00051,Retail,Startup,35,34.4,1996,29,16-30 years,China,Asia
COMP-00051,Retail,Startup,35,34.4,1996,30,16-30 years,China,Asia
COMP-00052,Logistics,Enterprise,12338,8835.98,2014,9,6-15 years,Poland,Europe
COMP-00052,Logistics,Enterprise,12338,8835.98,2014,10,6-15 years,Poland,Europe
COMP-00052,Logistics,Enterprise,12338,8835.98,2014,11,6-15 years,Poland,Europe
COMP-00052,Logistics,Enterprise,12338,8835.98,2014,12,6-15 years,Poland,Europe
COMP-00053,Finance,Startup,30,48.41,1999,24,16-30 years,Philippines,Asia
COMP-00053,Finance,Startup,30,48.41,1999,25,16-30 years,Philippines,Asia
COMP-00053,Finance,Startup,30,48.41,1999,26,16-30 years,Philippines,Asia
COMP-00053,Finance,Startup,30,48.41,1999,27,16-30 years,Philippines,Asia
COMP-00054,Consulting,Startup,58,36.85,2007,16,16-30 years,Indonesia,Asia
COMP-00054,Consulting,Startup,58,36.85,2007,17,16-30 years,Indonesia,Asia
COMP-00054,Consulting,Startup,58,36.85,2007,18,16-30 years,Indonesia,Asia
COMP-00054,Consulting,Startup,58,36.85,2007,19,16-30 years,Indonesia,Asia
COMP-00055,Agriculture,Enterprise,6104,7875.92,2013,10,6-15 years,Thailand,Asia
COMP-00055,Agriculture,Enterprise,6104,7875.92,2013,11,6-15 years,Thailand,Asia
COMP-00055,Agriculture,Enterprise,6104,7875.92,2013,12,6-15 years,Thailand,Asia
COMP-00055,Agriculture,Enterprise,6104,7875.92,2013,13,6-15 years,Thailand,Asia
COMP-00056,Agriculture,Startup,21,22.02,2002,21,16-30 years,Indonesia,Asia
COMP-00056,Agriculture,Startup,21,22.02,2002,22,16-30 years,Indonesia,Asia
COMP-00056,Agriculture,Startup,21,22.02,2002,23,16-30 years,Indonesia,Asia
COMP-00056,Agriculture,Startup,21,22.02,2002,24,16-30 years,Indonesia,Asia
COMP-00057,Consulting,Startup,32,37.97,2019,4,0-5 years,Vietnam,Asia
COMP-00057,Consulting,Startup,32,37.97,2019,5,0-5 years,Vietnam,Asia
COMP-00057,Consulting,Startup,32,37.97,2019,6,6-15 years,Vietnam,Asia
COMP-00057,Consulting,Startup,32,37.97,2019,7,6-15 years,Vietnam,Asia
COMP-00058,Logistics,SME,979,225.33,2002,21,16-30 years,Sweden,Europe
COMP-00058,Logistics,SME,979,225.33,2002,22,16-30 years,Sweden,Europe
COMP-00058,Logistics,SME,979,225.33,2002,23,16-30 years,Sweden,Europe
COMP-00058,Logistics,SME,979,225.33,2002,24,16-30 years,Sweden,Europe
COMP-00059,Consulting,SME,798,94.99,2001,22,16-30 years,Chile,South America
COMP-00059,Consulting,SME,798,94.99,2001,23,16-30 years,Chile,South America
COMP-00059,Consulting,SME,798,94.99,2001,24,16-30 years,Chile,South America
COMP-00059,Consulting,SME,798,94.99,2001,25,16-30 years,Chile,South America
COMP-00060,Finance,Startup,61,29.1,2005,18,16-30 years,Argentina,South America
COMP-00060,Finance,Startup,61,29.1,2005,19,16-30 years,Argentina,South America
COMP-00060,Finance,Startup,61,29.1,2005,20,16-30 years,Argentina,South America
COMP-00060,Finance,Startup,61,29.1,2005,21,16-30 years,Argentina,South America
COMP-00061,Education,SME,984,91.27,2001,22,16-30 years,Vietnam,Asia
COMP-00061,Education,SME,984,91.27,2001,23,16-30 years,Vietnam,Asia
COMP-00061,Education,SME,984,91.27,2001,24,16-30 years,Vietnam,Asia
COMP-00061,Education,SME,984,91.27,2001,25,16-30 years,Vietnam,Asia
COMP-00062,Retail,Startup,62,39.79,2003,20,16-30 years,Germany,Europe
COMP-00062,Retail,Startup,62,39.79,2003,21,16-30 years,Germany,Europe
COMP-00062,Retail,Startup,62,39.79,2003,22,16-30 years,Germany,Europe
COMP-00062,Retail,Startup,62,39.79,2003,23,16-30 years,Germany,Europe
COMP-00063,Healthcare,SME,322,75.14,2012,11,6-15 years,Spain,Europe
COMP-00063,Healthcare,SME,322,75.14,2012,12,6-15 years,Spain,Europe
COMP-00063,Healthcare,SME,322,75.14,2012,13,6-15 years,Spain,Europe
COMP-00063,Healthcare,SME,322,75.14,2012,14,6-15 years,Spain,Europe
COMP-00064,Manufacturing,Startup,85,34.71,2006,17,16-30 years,Chile,South America
COMP-00064,Manufacturing,Startup,85,34.71,2006,18,16-30 years,Chile,South America
COMP-00064,Manufacturing,Startup,85,34.71,2006,19,16-30 years,Chile,South America
COMP-00064,Manufacturing,Startup,85,34.71,2006,20,16-30 years,Chile,South America
COMP-00065,Education,Startup,16,21.88,1998,25,16-30 years,Australia,Oceania
COMP-00065,Education,Startup,16,21.88,1998,26,16-30 years,Australia,Oceania
COMP-00065,Education,Startup,16,21.88,1998,27,16-30 years,Australia,Oceania
COMP-00065,Education,Startup,16,21.88,1998,28,16-30 years,Australia,Oceania
COMP-00066,Technology,Startup,14,26.15,2008,15,6-15 years,Vietnam,Asia
COMP-00066,Technology,Startup,14,26.15,2008,16,16-30 years,Vietnam,Asia
COMP-00066,Technology,Startup,14,26.15,2008,17,16-30 years,Vietnam,Asia
COMP-00066,Technology,Startup,14,26.15,2008,18,16-30 years,Vietnam,Asia
COMP-00067,Finance,SME,747,218.42,1990,33,30+ years,Sweden,Europe
COMP-00067,Finance,SME,747,218.42,1990,34,30+ years,Sweden,Europe
COMP-00067,Finance,SME,747,218.42,1990,35,30+ years,Sweden,Europe
COMP-00067,Finance,SME,747,218.42,1990,36,30+ years,Sweden,Europe
COMP-00068,Manufacturing,SME,426,493.7,1993,30,16-30 years,Australia,Oceania
COMP-00068,Manufacturing,SME,426,493.7,1993,31,30+ years,Australia,Oceania
COMP-00068,Manufacturing,SME,426,493.7,1993,32,30+ years,Australia,Oceania
COMP-00068,Manufacturing,SME,426,493.7,1993,33,30+ years,Australia,Oceania
COMP-00069,Manufacturing,SME,903,219.32,2020,3,0-5 years,Nigeria,Africa
COMP-00069,Manufacturing,SME,903,219.32,2020,4,0-5 years,Nigeria,Africa
COMP-00069,Manufacturing,SME,903,219.32,2020,5,0-5 years,Nigeria,Africa
COMP-00069,Manufacturing,SME,903,219.32,2020,6,6-15 years,Nigeria,Africa
COMP-00070,Retail,SME,266,240.9,2015,8,6-15 years,UK,Europe
COMP-00070,Retail,SME,266,240.9,2015,9,6-15 years,UK,Europe
COMP-00070,Retail,SME,266,240.9,2015,10,6-15 years,UK,Europe
COMP-00070,Retail,SME,266,240.9,2015,11,6-15 years,UK,Europe
COMP-00071,Technology,SME,630,100.04,1992,31,30+ years,South Korea,Asia
COMP-00071,Technology,SME,630,100.04,1992,32,30+ years,South Korea,Asia
COMP-00071,Technology,SME,630,100.04,1992,33,30+ years,South Korea,Asia
COMP-00071,Technology,SME,630,100.04,1992,34,30+ years,South Korea,Asia
COMP-00072,Retail,Enterprise,4709,1034.88,2017,6,6-15 years,Canada,North America
COMP-00072,Retail,Enterprise,4709,1034.88,2017,7,6-15 years,Canada,North America
COMP-00072,Retail,Enterprise,4709,1034.88,2017,8,6-15 years,Canada,North America
COMP-00072,Retail,Enterprise,4709,1034.88,2017,9,6-15 years,Canada,North America
COMP-00073,Education,Enterprise,14116,8316.51,1990,33,30+ years,UK,Europe
COMP-00073,Education,Enterprise,14116,8316.51,1990,34,30+ years,UK,Europe
COMP-00073,Education,Enterprise,14116,8316.51,1990,35,30+ years,UK,Europe
COMP-00073,Education,Enterprise,14116,8316.51,1990,36,30+ years,UK,Europe
COMP-00074,Technology,SME,604,218.69,2014,9,6-15 years,Nigeria,Africa
COMP-00074,Technology,SME,604,218.69,2014,10,6-15 years,Nigeria,Africa
COMP-00074,Technology,SME,604,218.69,2014,11,6-15 years,Nigeria,Africa
COMP-00074,Technology,SME,604,218.69,2014,12,6-15 years,Nigeria,Africa
COMP-00075,Logistics,Startup,65,26.89,1995,28,16-30 years,Sweden,Europe
COMP-00075,Logistics,Startup,65,26.89,1995,29,16-30 years,Sweden,Europe
COMP-00075,Logistics,Startup,65,26.89,1995,30,16-30 years,Sweden,Europe
COMP-00075,Logistics,Startup,65,26.89,1995,31,30+ years,Sweden,Europe
COMP-00076,Manufacturing,Startup,89,26.86,2000,23,16-30 years,Netherlands,Europe
COMP-00076,Manufacturing,Startup,89,26.86,2000,24,16-30 years,Netherlands,Europe
COMP-00076,Manufacturing,Startup,89,26.86,2000,25,16-30 years,Netherlands,Europe
COMP-00076,Manufacturing,Startup,89,26.86,2000,26,16-30 years,Netherlands,Europe
COMP-00077,Healthcare,Startup,45,28.14,2009,14,6-15 years,New Zealand,Oceania
COMP-00077,Healthcare,Startup,45,28.14,2009,15,6-15 years,New Zealand,Oceania
COMP-00077,Healthcare,Startup,45,28.14,2009,16,16-30 years,New Zealand,Oceania
COMP-00077,Healthcare,Startup,45,28.14,2009,17,16-30 years,New Zealand,Oceania
COMP-00078,Technology,Enterprise,10588,7120.79,1992,31,30+ years,Egypt,Africa
COMP-00078,Technology,Enterprise,10588,7120.79,1992,32,30+ years,Egypt,Africa
COMP-00078,Technology,Enterprise,10588,7120.79,1992,33,30+ years,Egypt,Africa
COMP-00078,Technology,Enterprise,10588,7120.79,1992,34,30+ years,Egypt,Africa
COMP-00079,Manufacturing,Startup,25,37.12,2000,23,16-30 years,Thailand,Asia
COMP-00079,Manufacturing,Startup,25,37.12,2000,24,16-30 years,Thailand,Asia
COMP-00079,Manufacturing,Startup,25,37.12,2000,25,16-30 years,Thailand,Asia
COMP-00079,Manufacturing,Startup,25,37.12,2000,26,16-30 years,Thailand,Asia
COMP-00080,Logistics,Enterprise,1667,3688.77,2017,6,6-15 years,New Zealand,Oceania
COMP-00080,Logistics,Enterprise,1667,3688.77,2017,7,6-15 years,New Zealand,Oceania
COMP-00080,Logistics,Enterprise,1667,3688.77,2017,8,6-15 years,New Zealand,Oceania
COMP-00080,Logistics,Enterprise,1667,3688.77,2017,9,6-15 years,New Zealand,Oceania
COMP-00081,Agriculture,Startup,45,23.72,2017,6,6-15 years,South Korea,Asia
COMP-00081,Agriculture,Startup,45,23.72,2017,7,6-15 years,South Korea,Asia
COMP-00081,Agriculture,Startup,45,23.72,2017,8,6-15 years,South Korea,Asia
COMP-00081,Agriculture,Startup,45,23.72,2017,9,6-15 years,South Korea,Asia
COMP-00082,Retail,Startup,93,30.54,2018,5,0-5 years,Japan,Asia
COMP-00082,Retail,Startup,93,30.54,2018,6,6-15 years,Japan,Asia
COMP-00082,Retail,Startup,93,30.54,2018,7,6-15 years,Japan,Asia
COMP-00082,Retail,Startup,93,30.54,2018,8,6-15 years,Japan,Asia
COMP-00083,Logistics,Startup,22,45.64,1995,28,16-30 years,USA,North America
COMP-00083,Logistics,Startup,22,45.64,1995,29,16-30 years,USA,North America
