response_id,company_id,survey_year,quarter,ai_training_hours,ai_maturity_score,ai_failure_rate,ai_risk_management_score
50,COMP-00004,2023,Q2,29.08,0.365,22.68,61
51,COMP-00004,2023,Q3,14.78,0.262,31.08,52
52,COMP-00004,2023,Q4,27.81,0.316,22.35,58
53,COMP-00004,2024,Q1,17.59,0.283,25.81,56
54,COMP-00004,2024,Q2,13.53,0.122,33.41,56
55,COMP-00004,2024,Q3,37.15,0.513,26.21,59
57,COMP-00004,2025,Q1,24.19,0.343,20.88,56
58,COMP-00004,2025,Q2,19.68,0.232,31.62,55
59,COMP-00004,2025,Q3,18.82,0.338,22.41,50
60,COMP-00004,2025,Q4,19.76,0.215,21.69,69
62,COMP-00004,2026,Q2,35.59,0.359,13.01,49
63,COMP-00004,2026,Q3,19.96,0.374,24.0,56
64,COMP-00004,2026,Q4,26.66,0.35,23.6,86
65,COMP-00005,2023,Q1,22.97,0.239,33.45,51
66,COMP-00005,2023,Q2,13.71,0.134,32.81,60
68,COMP-00005,2023,Q4,0.0,0.094,40.0,45
69,COMP-00005,2024,Q1,20.92,0.24,29.36,58
70,COMP-00005,2024,Q2,15.47,0.195,29.52,62
71,COMP-00005,2024,Q3,31.39,0.361,17.51,59
72,COMP-00005,2024,Q4,36.65,0.329,23.87,71
73,COMP-00005,2025,Q1,26.08,0.391,29.5,68
74,COMP-00005,2025,Q2,27.57,0.376,23.87,59
76,COMP-00005,2025,Q4,21.44,0.292,22.48,68
77,COMP-00005,2026,Q1,11.48,0.274,33.73,57
78,COMP-00005,2026,Q2,26.12,0.412,25.34,62
79,COMP-00005,2026,Q3,15.71,0.182,27.59,57
80,COMP-00005,2026,Q4,24.55,0.244,22.97,60
81,COMP-00006,2023,Q1,17.25,0.268,28.96,63
82,COMP-00006,2023,Q2,23.43,0.273,19.88,65
83,COMP-00006,2023,Q3,21.92,0.36,21.28,57
84,COMP-00006,2023,Q4,15.68,0.134,34.67,58
85,COMP-00006,2024,Q1,33.19,0.489,27.28,55
86,COMP-00006,2024,Q2,33.1,0.365,20.47,70
87,COMP-00006,2024,Q3,50.61,0.534,15.85,84
88,COMP-00006,2024,Q4,38.81,0.438,13.38,60
89,COMP-00006,2025,Q1,31.8,0.407,22.09,61
90,COMP-00006,2025,Q2,20.36,0.303,23.69,77
91,COMP-00006,2025,Q3,29.68,0.374,22.82,78
92,COMP-00006,2025,Q4,18.3,0.351,26.02,49
93,COMP-00006,2026,Q1,41.13,0.338,18.32,64
94,COMP-00006,2026,Q2,37.18,0.402,21.61,61
95,COMP-00006,2026,Q3,33.82,0.298,24.77,51
96,COMP-00006,2026,Q4,53.44,0.623,11.06,72
97,COMP-00007,2023,Q1,7.88,0.033,38.21,56
98,COMP-00007,2023,Q2,0.0,0.089,31.46,51
99,COMP-00007,2023,Q3,6.47,0.027,39.61,64
100,COMP-00007,2023,Q4,19.06,0.24,36.9,57
101,COMP-00007,2024,Q1,4.26,0.159,40.0,40
102,COMP-00007,2024,Q2,2.94,0.102,30.38,50
103,COMP-00007,2024,Q3,1.08,0.142,39.04,40
104,COMP-00007,2024,Q4,0.0,0.083,30.51,53
105,COMP-00007,2025,Q1,18.97,0.344,29.32,57
106,COMP-00007,2025,Q2,0.0,0.159,33.92,63
107,COMP-00007,2025,Q3,11.98,0.217,30.37,51
108,COMP-00007,2025,Q4,13.6,0.171,40.0,57
109,COMP-00007,2026,Q1,19.68,0.153,40.0,55
110,COMP-00007,2026,Q2,24.57,0.272,24.3,54
111,COMP-00007,2026,Q3,3.89,0.117,38.12,40
112,COMP-00007,2026,Q4,0.0,0.083,40.0,50
113,COMP-00008,2023,Q1,12.03,0.253,37.5,61
114,COMP-00008,2023,Q2,9.19,0.173,29.15,63
115,COMP-00008,2023,Q3,25.33,0.274,26.6,44
116,COMP-00008,2023,Q4,28.92,0.291,27.96,44
117,COMP-00008,2024,Q1,30.35,0.441,24.19,66
118,COMP-00008,2024,Q2,9.96,0.25,31.88,66
119,COMP-00008,2024,Q3,9.79,0.141,32.31,54
120,COMP-00008,2024,Q4,50.08,0.516,17.31,51
121,COMP-00008,2025,Q1,26.93,0.252,23.51,54
122,COMP-00008,2025,Q2,40.59,0.451,18.92,63
123,COMP-00008,2025,Q3,23.93,0.34,29.44,45
124,COMP-00008,2025,Q4,26.23,0.309,19.91,64
125,COMP-00008,2026,Q1,36.19,0.399,27.02,76
126,COMP-00008,2026,Q2,32.4,0.3,26.54,59
128,COMP-00008,2026,Q4,31.73,0.389,35.8,52
129,COMP-00009,2023,Q1,9.41,0.243,35.37,40
130,COMP-00009,2023,Q2,13.37,0.154,37.27,57
131,COMP-00009,2023,Q3,33.93,0.362,23.64,63
132,COMP-00009,2023,Q4,38.47,0.397,11.28,53
133,COMP-00009,2024,Q1,13.33,0.31,34.6,53
134,COMP-00009,2024,Q2,22.08,0.411,26.17,64
135,COMP-00009,2024,Q3,25.63,0.333,20.95,60
136,COMP-00009,2024,Q4,28.89,0.428,14.79,60
137,COMP-00009,2025,Q1,28.67,0.388,20.71,62
138,COMP-00009,2025,Q2,30.7,0.384,15.8,49
140,COMP-00009,2025,Q4,14.39,0.229,37.67,55
141,COMP-00009,2026,Q1,19.4,0.392,30.27,55
142,COMP-00009,2026,Q2,5.67,0.251,31.82,61
143,COMP-00009,2026,Q3,25.38,0.144,28.87,51
144,COMP-00009,2026,Q4,25.22,0.362,22.08,65
145,COMP-00010,2023,Q1,2.64,0.034,40.0,63
146,COMP-00010,2023,Q2,7.68,0.095,36.51,51
147,COMP-00010,2023,Q3,39.06,0.206,26.1,59
148,COMP-00010,2023,Q4,0.0,0.0,30.88,53
150,COMP-00010,2024,Q2,19.45,0.171,33.78,45
151,COMP-00010,2024,Q3,22.54,0.278,35.28,47
152,COMP-00010,2024,Q4,8.3,0.177,38.25,63
153,COMP-00010,2025,Q1,1.97,0.111,23.67,56
154,COMP-00010,2025,Q2,24.33,0.286,24.1,57
155,COMP-00010,2025,Q3,6.47,0.103,27.27,55
157,COMP-00010,2026,Q1,0.17,0.046,39.74,46
158,COMP-00010,2026,Q2,20.48,0.16,26.29,43
159,COMP-00010,2026,Q3,5.18,0.144,40.0,49
161,COMP-00011,2023,Q1,21.36,0.247,31.27,52
162,COMP-00011,2023,Q2,18.0,0.203,37.28,51
163,COMP-00011,2023,Q3,28.43,0.179,17.28,43
165,COMP-00011,2024,Q1,27.26,0.303,25.4,53
166,COMP-00011,2024,Q2,22.78,0.308,27.67,59
167,COMP-00011,2024,Q3,9.42,0.207,29.5,62
168,COMP-00011,2024,Q4,10.05,0.235,29.41,58
169,COMP-00011,2025,Q1,18.83,0.151,34.81,51
170,COMP-00011,2025,Q2,29.77,0.298,35.07,53
171,COMP-00011,2025,Q3,3.04,0.081,35.96,44
172,COMP-00011,2025,Q4,30.6,0.361,21.78,72
173,COMP-00011,2026,Q1,19.86,0.4,40.0,52
174,COMP-00011,2026,Q2,2.68,0.193,36.93,47
176,COMP-00011,2026,Q4,38.42,0.482,5.69,60
177,COMP-00012,2023,Q1,18.04,0.248,31.84,48
178,COMP-00012,2023,Q2,13.98,0.102,31.57,54
179,COMP-00012,2023,Q3,23.53,0.302,23.12,54
180,COMP-00012,2023,Q4,36.82,0.3,22.45,58
181,COMP-00012,2024,Q1,12.61,0.215,38.54,49
182,COMP-00012,2024,Q2,9.66,0.136,25.68,53
183,COMP-00012,2024,Q3,17.0,0.101,30.07,57
184,COMP-00012,2024,Q4,37.34,0.261,18.77,63
185,COMP-00012,2025,Q1,12.57,0.298,23.12,57
186,COMP-00012,2025,Q2,7.94,0.049,28.79,50
187,COMP-00012,2025,Q3,11.6,0.114,33.99,42
188,COMP-00012,2025,Q4,16.7,0.235,31.83,57
189,COMP-00012,2026,Q1,7.78,0.178,40.0,42
190,COMP-00012,2026,Q2,19.56,0.206,34.79,52
191,COMP-00012,2026,Q3,17.13,0.27,35.26,57
192,COMP-00012,2026,Q4,24.53,0.309,27.15,63
194,COMP-00013,2023,Q2,44.12,0.53,24.56,65
195,COMP-00013,2023,Q3,41.04,0.626,18.13,71
196,COMP-00013,2023,Q4,57.94,0.571,17.36,75
197,COMP-00013,2024,Q1,33.77,0.531,25.64,64
198,COMP-00013,2024,Q2,55.22,0.471,13.84,72
199,COMP-00013,2024,Q3,53.86,0.55,10.75,69
200,COMP-00013,2024,Q4,52.05,0.539,22.64,69
201,COMP-00013,2025,Q1,59.73,0.584,16.12,84
202,COMP-00013,2025,Q2,36.45,0.404,26.53,61
203,COMP-00013,2025,Q3,31.12,0.51,15.55,60
205,COMP-00013,2026,Q1,50.85,0.53,17.0,74
206,COMP-00013,2026,Q2,39.06,0.585,12.1,63
207,COMP-00013,2026,Q3,27.73,0.41,25.65,49
209,COMP-00014,2023,Q1,22.36,0.353,38.76,64
211,COMP-00014,2023,Q3,28.0,0.405,39.34,61
212,COMP-00014,2023,Q4,56.03,0.55,17.18,57
213,COMP-00014,2024,Q1,49.68,0.587,17.85,59
214,COMP-00014,2024,Q2,45.96,0.522,24.4,77
215,COMP-00014,2024,Q3,32.08,0.51,18.21,61
217,COMP-00014,2025,Q1,44.1,0.427,19.55,64
218,COMP-00014,2025,Q2,33.21,0.578,23.49,59
219,COMP-00014,2025,Q3,44.1,0.531,19.41,59
220,COMP-00014,2025,Q4,21.77,0.48,21.66,66
221,COMP-00014,2026,Q1,31.85,0.403,27.19,59
222,COMP-00014,2026,Q2,56.06,0.522,9.96,62
223,COMP-00014,2026,Q3,44.15,0.523,16.27,74
224,COMP-00014,2026,Q4,54.47,0.571,6.59,56
225,COMP-00015,2023,Q1,21.2,0.162,29.6,60
226,COMP-00015,2023,Q2,37.84,0.403,22.93,58
227,COMP-00015,2023,Q3,27.17,0.42,30.07,53
228,COMP-00015,2023,Q4,42.4,0.455,14.51,48
229,COMP-00015,2024,Q1,14.07,0.238,28.78,55
230,COMP-00015,2024,Q2,37.77,0.504,19.71,67
231,COMP-00015,2024,Q3,39.15,0.462,11.38,62
232,COMP-00015,2024,Q4,20.6,0.292,26.25,62
233,COMP-00015,2025,Q1,34.41,0.311,24.86,51
234,COMP-00015,2025,Q2,27.25,0.301,23.34,69
235,COMP-00015,2025,Q3,25.72,0.532,17.05,72
237,COMP-00015,2026,Q1,34.57,0.472,27.57,46
238,COMP-00015,2026,Q2,40.51,0.614,21.34,73
239,COMP-00015,2026,Q3,42.8,0.437,22.44,62
240,COMP-00015,2026,Q4,34.64,0.544,28.18,71
241,COMP-00016,2023,Q1,37.88,0.403,18.81,74
242,COMP-00016,2023,Q2,24.24,0.357,24.72,70
243,COMP-00016,2023,Q3,23.82,0.309,18.98,62
244,COMP-00016,2023,Q4,32.88,0.478,27.99,55
245,COMP-00016,2024,Q1,11.26,0.274,28.99,64
246,COMP-00016,2024,Q2,29.14,0.325,30.15,52
247,COMP-00016,2024,Q3,41.94,0.462,14.27,70
248,COMP-00016,2024,Q4,24.9,0.388,20.64,70
249,COMP-00016,2025,Q1,13.72,0.096,40.0,53
250,COMP-00016,2025,Q2,23.96,0.311,23.93,47
251,COMP-00016,2025,Q3,27.88,0.272,21.24,61
252,COMP-00016,2025,Q4,28.46,0.208,26.46,63
253,COMP-00016,2026,Q1,15.64,0.152,30.87,42
254,COMP-00016,2026,Q2,36.5,0.398,7.88,58
255,COMP-00016,2026,Q3,34.9,0.497,16.04,68
257,COMP-00017,2023,Q1,12.54,0.238,28.43,53
258,COMP-00017,2023,Q2,29.32,0.335,40.0,78
259,COMP-00017,2023,Q3,33.8,0.388,18.01,57
260,COMP-00017,2023,Q4,12.84,0.244,29.85,58
261,COMP-00017,2024,Q1,9.68,0.208,30.7,63
262,COMP-00017,2024,Q2,19.68,0.243,25.21,45
263,COMP-00017,2024,Q3,28.7,0.374,12.89,77
264,COMP-00017,2024,Q4,34.79,0.363,26.09,59
265,COMP-00017,2025,Q1,26.08,0.266,31.76,68
266,COMP-00017,2025,Q2,30.21,0.204,26.18,64
267,COMP-00017,2025,Q3,9.65,0.138,27.19,55
268,COMP-00017,2025,Q4,33.32,0.391,20.49,57
269,COMP-00017,2026,Q1,28.49,0.303,32.82,59
270,COMP-00017,2026,Q2,20.69,0.178,37.02,59
271,COMP-00017,2026,Q3,16.68,0.281,34.5,51
272,COMP-00017,2026,Q4,23.98,0.395,24.36,56
273,COMP-00018,2023,Q1,38.86,0.494,14.17,80
274,COMP-00018,2023,Q2,19.89,0.295,32.18,73
275,COMP-00018,2023,Q3,16.81,0.482,23.95,63
276,COMP-00018,2023,Q4,31.49,0.472,22.05,63
278,COMP-00018,2024,Q2,34.77,0.582,26.16,63
279,COMP-00018,2024,Q3,17.0,0.277,27.17,61
280,COMP-00018,2024,Q4,21.95,0.449,30.38,59
281,COMP-00018,2025,Q1,49.37,0.531,20.0,66
283,COMP-00018,2025,Q3,29.42,0.468,22.73,62
284,COMP-00018,2025,Q4,50.66,0.488,16.92,58
285,COMP-00018,2026,Q1,19.81,0.358,25.33,58
286,COMP-00018,2026,Q2,45.87,0.433,22.68,64
287,COMP-00018,2026,Q3,17.63,0.375,30.5,53
289,COMP-00019,2023,Q1,8.47,0.218,40.0,47
290,COMP-00019,2023,Q2,28.62,0.24,17.47,43
291,COMP-00019,2023,Q3,15.19,0.21,28.93,55
292,COMP-00019,2023,Q4,3.99,0.116,36.71,54
293,COMP-00019,2024,Q1,21.92,0.231,29.51,53
294,COMP-00019,2024,Q2,7.29,0.112,40.0,41
296,COMP-00019,2024,Q4,19.24,0.215,40.0,52
298,COMP-00019,2025,Q2,12.29,0.28,36.69,42
299,COMP-00019,2025,Q3,25.55,0.197,31.35,53
300,COMP-00019,2025,Q4,34.33,0.356,21.1,50
301,COMP-00019,2026,Q1,31.78,0.312,38.0,52
302,COMP-00019,2026,Q2,28.81,0.349,27.05,63
303,COMP-00019,2026,Q3,20.08,0.414,23.56,58
304,COMP-00019,2026,Q4,24.13,0.285,26.78,65
305,COMP-00020,2023,Q1,35.74,0.485,35.33,57
306,COMP-00020,2023,Q2,45.48,0.619,18.16,71
307,COMP-00020,2023,Q3,42.26,0.563,27.55,55
308,COMP-00020,2023,Q4,53.48,0.571,15.98,63
309,COMP-00020,2024,Q1,30.16,0.425,19.92,47
310,COMP-00020,2024,Q2,35.29,0.403,26.23,55
311,COMP-00020,2024,Q3,38.9,0.561,14.18,62
312,COMP-00020,2024,Q4,29.33,0.372,27.22,53
313,COMP-00020,2025,Q1,35.59,0.483,15.33,63
314,COMP-00020,2025,Q2,34.95,0.516,18.29,52
315,COMP-00020,2025,Q3,36.97,0.521,22.53,65
316,COMP-00020,2025,Q4,41.92,0.596,22.31,64
317,COMP-00020,2026,Q1,57.08,0.654,6.27,91
318,COMP-00020,2026,Q2,47.04,0.568,20.13,65
319,COMP-00020,2026,Q3,34.87,0.557,26.99,61
320,COMP-00020,2026,Q4,28.74,0.396,28.73,64
322,COMP-00021,2023,Q2,16.64,0.179,25.3,61
323,COMP-00021,2023,Q3,26.52,0.332,30.18,72
324,COMP-00021,2023,Q4,14.38,0.183,35.07,62
325,COMP-00021,2024,Q1,32.84,0.32,21.52,59
326,COMP-00021,2024,Q2,17.4,0.169,25.48,76
327,COMP-00021,2024,Q3,13.41,0.105,34.51,68
328,COMP-00021,2024,Q4,21.45,0.236,28.92,61
329,COMP-00021,2025,Q1,9.8,0.184,32.51,59
330,COMP-00021,2025,Q2,9.44,0.154,21.21,57
331,COMP-00021,2025,Q3,18.64,0.212,40.0,47
332,COMP-00021,2025,Q4,2.09,0.229,29.85,61
333,COMP-00021,2026,Q1,6.6,0.117,33.93,50
334,COMP-00021,2026,Q2,16.95,0.307,23.88,57
335,COMP-00021,2026,Q3,19.14,0.132,32.88,47
336,COMP-00021,2026,Q4,39.59,0.25,23.29,47
338,COMP-00022,2023,Q2,30.63,0.405,34.06,69
339,COMP-00022,2023,Q3,11.58,0.301,33.02,58
340,COMP-00022,2023,Q4,28.4,0.394,22.76,55
342,COMP-00022,2024,Q2,49.91,0.462,15.21,54
343,COMP-00022,2024,Q3,35.13,0.357,23.47,60
344,COMP-00022,2024,Q4,36.41,0.33,29.01,61
345,COMP-00022,2025,Q1,35.44,0.347,30.49,67
346,COMP-00022,2025,Q2,36.97,0.401,24.22,47
347,COMP-00022,2025,Q3,39.58,0.471,8.15,72
348,COMP-00022,2025,Q4,45.39,0.662,12.88,63
349,COMP-00022,2026,Q1,44.08,0.463,28.88,66
350,COMP-00022,2026,Q2,34.59,0.352,28.06,59
351,COMP-00022,2026,Q3,31.83,0.43,21.65,61
352,COMP-00022,2026,Q4,51.09,0.587,15.64,61
353,COMP-00023,2023,Q1,9.9,0.114,35.8,57
354,COMP-00023,2023,Q2,0.0,0.007,38.36,50
355,COMP-00023,2023,Q3,30.73,0.228,26.06,54
356,COMP-00023,2023,Q4,20.15,0.316,27.74,68
357,COMP-00023,2024,Q1,25.78,0.133,27.52,60
358,COMP-00023,2024,Q2,8.39,0.076,40.0,64
359,COMP-00023,2024,Q3,7.11,0.061,40.0,42
360,COMP-00023,2024,Q4,21.98,0.149,37.01,56
361,COMP-00023,2025,Q1,7.48,0.163,35.85,55
362,COMP-00023,2025,Q2,12.9,0.1,35.74,52
363,COMP-00023,2025,Q3,19.19,0.114,19.71,46
366,COMP-00023,2026,Q2,16.81,0.285,29.37,45
367,COMP-00023,2026,Q3,15.52,0.14,31.67,44
368,COMP-00023,2026,Q4,14.92,0.107,33.66,52
370,COMP-00024,2023,Q2,20.56,0.289,25.22,51
372,COMP-00024,2023,Q4,31.09,0.402,25.59,57
373,COMP-00024,2024,Q1,16.01,0.296,31.25,70
374,COMP-00024,2024,Q2,18.88,0.282,22.3,63
375,COMP-00024,2024,Q3,18.44,0.337,27.44,52
376,COMP-00024,2024,Q4,25.24,0.37,36.9,55
377,COMP-00024,2025,Q1,18.23,0.356,24.84,59
378,COMP-00024,2025,Q2,18.46,0.368,26.94,76
379,COMP-00024,2025,Q3,39.82,0.412,25.48,56
380,COMP-00024,2025,Q4,45.9,0.621,18.55,79
381,COMP-00024,2026,Q1,55.83,0.526,8.48,60
382,COMP-00024,2026,Q2,53.94,0.456,13.16,58
383,COMP-00024,2026,Q3,40.51,0.398,26.53,66
384,COMP-00024,2026,Q4,33.27,0.433,16.18,75
385,COMP-00025,2023,Q1,15.12,0.168,37.12,47
386,COMP-00025,2023,Q2,24.71,0.374,36.5,72
388,COMP-00025,2023,Q4,21.73,0.249,31.13,51
389,COMP-00025,2024,Q1,20.85,0.393,24.76,59
390,COMP-00025,2024,Q2,25.34,0.317,31.31,59
392,COMP-00025,2024,Q4,11.44,0.198,28.34,51
393,COMP-00025,2025,Q1,24.56,0.298,33.22,53
394,COMP-00025,2025,Q2,13.17,0.12,40.0,67
395,COMP-00025,2025,Q3,4.62,0.173,38.69,69
396,COMP-00025,2025,Q4,30.9,0.444,18.09,65
397,COMP-00025,2026,Q1,33.95,0.467,19.96,78
398,COMP-00025,2026,Q2,36.89,0.462,19.4,51
399,COMP-00025,2026,Q3,24.04,0.289,36.5,60
400,COMP-00025,2026,Q4,32.78,0.396,18.92,72
401,COMP-00026,2023,Q1,20.18,0.289,20.72,70
402,COMP-00026,2023,Q2,8.27,0.172,31.94,53
403,COMP-00026,2023,Q3,12.04,0.176,30.19,60
404,COMP-00026,2023,Q4,6.88,0.187,30.03,70
406,COMP-00026,2024,Q2,0.05,0.073,36.78,56
407,COMP-00026,2024,Q3,24.45,0.287,23.52,61
408,COMP-00026,2024,Q4,14.02,0.219,40.0,59
409,COMP-00026,2025,Q1,35.57,0.275,18.24,54
410,COMP-00026,2025,Q2,13.88,0.28,26.68,51
411,COMP-00026,2025,Q3,8.67,0.191,31.82,47
412,COMP-00026,2025,Q4,19.2,0.3,26.44,54
413,COMP-00026,2026,Q1,20.0,0.367,30.5,53
414,COMP-00026,2026,Q2,29.07,0.364,17.75,53
415,COMP-00026,2026,Q3,29.15,0.187,24.74,44
416,COMP-00026,2026,Q4,39.09,0.42,17.83,61
417,COMP-00027,2023,Q1,30.84,0.377,26.68,62
418,COMP-00027,2023,Q2,18.23,0.31,32.33,53
419,COMP-00027,2023,Q3,12.69,0.11,31.88,47
420,COMP-00027,2023,Q4,19.73,0.25,35.38,66
421,COMP-00027,2024,Q1,29.34,0.361,24.81,51
422,COMP-00027,2024,Q2,40.67,0.428,20.34,64
423,COMP-00027,2024,Q3,23.36,0.186,24.21,55
424,COMP-00027,2024,Q4,14.56,0.302,27.09,53
425,COMP-00027,2025,Q1,22.36,0.235,32.89,64
426,COMP-00027,2025,Q2,31.46,0.344,28.66,53
427,COMP-00027,2025,Q3,30.6,0.307,36.01,58
429,COMP-00027,2026,Q1,32.53,0.416,21.92,63
430,COMP-00027,2026,Q2,24.96,0.349,22.54,48
431,COMP-00027,2026,Q3,31.11,0.289,15.53,62
432,COMP-00027,2026,Q4,16.22,0.173,32.75,59
434,COMP-00028,2023,Q2,19.72,0.139,32.84,54
435,COMP-00028,2023,Q3,31.43,0.332,23.27,57
436,COMP-00028,2023,Q4,24.34,0.416,31.03,55
437,COMP-00028,2024,Q1,41.2,0.428,26.68,67
438,COMP-00028,2024,Q2,22.67,0.41,18.7,66
439,COMP-00028,2024,Q3,20.61,0.245,34.26,47
440,COMP-00028,2024,Q4,18.96,0.294,28.88,56
441,COMP-00028,2025,Q1,23.99,0.443,25.63,62
442,COMP-00028,2025,Q2,2.25,0.131,40.0,65
443,COMP-00028,2025,Q3,22.61,0.306,23.23,53
444,COMP-00028,2025,Q4,35.31,0.376,20.18,70
445,COMP-00028,2026,Q1,14.89,0.197,37.36,51
446,COMP-00028,2026,Q2,13.68,0.192,29.49,62
447,COMP-00028,2026,Q3,20.25,0.204,28.28,44
448,COMP-00028,2026,Q4,22.74,0.322,30.83,67
449,COMP-00029,2023,Q1,29.52,0.361,25.06,68
450,COMP-00029,2023,Q2,23.78,0.441,19.76,53
451,COMP-00029,2023,Q3,37.04,0.359,25.45,73
452,COMP-00029,2023,Q4,28.5,0.351,29.77,57
453,COMP-00029,2024,Q1,57.48,0.527,16.93,69
455,COMP-00029,2024,Q3,37.47,0.444,20.87,60
456,COMP-00029,2024,Q4,36.74,0.412,25.19,60
457,COMP-00029,2025,Q1,45.1,0.586,26.04,65
458,COMP-00029,2025,Q2,33.5,0.352,29.34,54
459,COMP-00029,2025,Q3,25.56,0.44,23.91,67
460,COMP-00029,2025,Q4,36.55,0.557,16.58,72
461,COMP-00029,2026,Q1,20.0,0.274,34.0,48
462,COMP-00029,2026,Q2,34.25,0.522,19.36,63
463,COMP-00029,2026,Q3,48.66,0.512,21.73,69
465,COMP-00030,2023,Q1,38.14,0.379,24.09,59
466,COMP-00030,2023,Q2,42.92,0.35,22.21,61
467,COMP-00030,2023,Q3,16.41,0.254,30.28,58
468,COMP-00030,2023,Q4,36.32,0.362,11.38,61
469,COMP-00030,2024,Q1,32.78,0.237,21.29,51
470,COMP-00030,2024,Q2,28.27,0.439,17.11,45
471,COMP-00030,2024,Q3,34.89,0.474,14.08,69
472,COMP-00030,2024,Q4,30.25,0.435,24.31,70
473,COMP-00030,2025,Q1,35.46,0.39,18.45,59
474,COMP-00030,2025,Q2,39.75,0.367,18.9,74
475,COMP-00030,2025,Q3,15.25,0.223,40.0,43
476,COMP-00030,2025,Q4,12.86,0.154,31.25,60
477,COMP-00030,2026,Q1,53.9,0.472,17.27,60
478,COMP-00030,2026,Q2,23.06,0.298,20.81,52
479,COMP-00030,2026,Q3,29.25,0.221,21.57,63
480,COMP-00030,2026,Q4,36.83,0.443,17.03,61
481,COMP-00031,2023,Q1,62.13,0.695,14.16,77
482,COMP-00031,2023,Q2,39.91,0.5,15.86,57
483,COMP-00031,2023,Q3,16.89,0.34,28.2,48
484,COMP-00031,2023,Q4,39.24,0.463,25.77,61
485,COMP-00031,2024,Q1,43.95,0.502,16.65,72
486,COMP-00031,2024,Q2,40.37,0.454,18.46,46
488,COMP-00031,2024,Q4,58.87,0.726,12.71,61
489,COMP-00031,2025,Q1,50.48,0.557,14.47,68
490,COMP-00031,2025,Q2,51.66,0.665,9.76,70
491,COMP-00031,2025,Q3,45.94,0.663,10.14,74
492,COMP-00031,2025,Q4,57.99,0.627,4.73,87
493,COMP-00031,2026,Q1,29.51,0.545,23.49,55
494,COMP-00031,2026,Q2,63.02,0.605,13.21,68
495,COMP-00031,2026,Q3,43.09,0.778,14.19,81
496,COMP-00031,2026,Q4,53.47,0.618,13.48,72
498,COMP-00032,2023,Q2,50.93,0.427,19.69,57
499,COMP-00032,2023,Q3,12.98,0.246,32.59,66
500,COMP-00032,2023,Q4,25.34,0.43,28.06,67
501,COMP-00032,2024,Q1,16.26,0.372,32.73,47
502,COMP-00032,2024,Q2,38.12,0.523,20.45,71
503,COMP-00032,2024,Q3,29.22,0.45,20.05,64
504,COMP-00032,2024,Q4,22.18,0.259,26.77,59
505,COMP-00032,2025,Q1,33.45,0.352,19.88,61
