company_id,country,company_size,num_employees,annual_revenue_usd_millions
COMP-00063,Spain,SME,322,75.14
COMP-00064,Chile,Startup,85,34.71
COMP-00065,Australia,Startup,16,21.88
COMP-00066,Vietnam,Startup,14,26.15
COMP-00067,Sweden,SME,747,218.42
COMP-00068,Australia,SME,426,493.7
COMP-00069,Nigeria,SME,903,219.32
COMP-00070,UK,SME,266,240.9
COMP-00071,South Korea,SME,630,100.04
COMP-00072,Canada,Enterprise,4709,1034.88
COMP-00073,UK,Enterprise,14116,8316.51
COMP-00074,Nigeria,SME,604,218.69
COMP-00075,Sweden,Startup,65,26.89
COMP-00076,Netherlands,Startup,89,26.86
COMP-00077,New Zealand,Startup,45,28.14
COMP-00078,Egypt,Enterprise,10588,7120.79
COMP-00079,Thailand,Startup,25,37.12
COMP-00080,New Zealand,Enterprise,1667,3688.77
COMP-00081,South Korea,Startup,45,23.72
COMP-00082,Japan,Startup,93,30.54
COMP-00083,USA,Startup,22,45.64
COMP-00084,Nigeria,Startup,65,43.96
COMP-00085,Chile,Startup,42,39.1
COMP-00086,Thailand,Enterprise,7970,8500.13
COMP-00087,Sweden,SME,709,66.57
COMP-00088,Philippines,Enterprise,10860,9968.05
COMP-00089,India,Startup,62,47.29
COMP-00090,Vietnam,SME,556,108.12
COMP-00091,Canada,SME,871,152.89
COMP-00092,Netherlands,Startup,63,38.84
COMP-00093,Egypt,Startup,74,28.04
COMP-00094,Australia,Startup,32,38.0
COMP-00095,Canada,SME,677,412.27
COMP-00096,Philippines,SME,546,376.88
COMP-00097,Italy,Startup,97,45.61
COMP-00098,Spain,SME,232,408.41
COMP-00099,Brazil,Startup,65,42.26
COMP-00100,South Africa,Startup,43,31.42
COMP-00101,Malaysia,Startup,86,11.25
COMP-00102,Germany,Enterprise,13647,7116.76
COMP-00103,France,SME,294,443.44
COMP-00104,Australia,Enterprise,12314,888.25
COMP-00105,Singapore,Startup,91,14.65
COMP-00106,Malaysia,SME,645,107.94
COMP-00107,Vietnam,Enterprise,15124,3555.04
COMP-00108,Poland,Enterprise,11478,5360.74
COMP-00109,Australia,Startup,35,43.55
COMP-00110,UK,Startup,88,27.29
COMP-00111,Poland,Startup,23,31.29
COMP-00112,Sweden,SME,765,66.51
COMP-00113,Vietnam,Enterprise,6122,9004.46
COMP-00114,Egypt,Enterprise,4086,1496.26
COMP-00115,Kenya,SME,813,303.78
COMP-00116,South Africa,Startup,53,12.43
COMP-00117,Netherlands,Enterprise,12475,5002.71
COMP-00118,South Korea,SME,210,312.89
COMP-00119,Australia,Startup,43,28.33
COMP-00120,Canada,Startup,61,32.65
COMP-00121,France,SME,840,470.16
COMP-00122,China,Startup,13,42.69
COMP-00123,Egypt,SME,706,75.04
COMP-00124,Argentina,Startup,49,35.15
COMP-00125,South Africa,Startup,15,20.49
COMP-00126,Malaysia,Enterprise,15309,6852.11
COMP-00127,Spain,Enterprise,1846,5582.85
COMP-00128,Nigeria,Enterprise,7469,9695.94
COMP-00129,Netherlands,SME,886,139.78
COMP-00130,New Zealand,Startup,99,38.62
COMP-00131,Colombia,SME,610,266.51
COMP-00132,Nigeria,Startup,19,27.88
COMP-00133,Canada,SME,271,140.78
COMP-00134,Kenya,Startup,44,18.09
COMP-00135,Kenya,Startup,71,37.55
COMP-00136,USA,Startup,10,37.31
COMP-00137,Italy,SME,671,428.82
COMP-00138,Italy,Enterprise,16524,8238.46
COMP-00139,Argentina,SME,509,458.54
COMP-00140,USA,SME,395,253.38
COMP-00141,Netherlands,Enterprise,7943,4895.46
COMP-00142,Canada,Enterprise,3192,9045.96
COMP-00143,Colombia,SME,920,457.91
COMP-00144,Vietnam,SME,653,112.67
COMP-00145,Sweden,Enterprise,6788,5206.52
COMP-00146,USA,SME,649,388.58
COMP-00147,Argentina,Enterprise,18334,1859.72
COMP-00148,Argentina,SME,734,389.59
COMP-00149,Argentina,SME,258,220.47
COMP-00150,Argentina,SME,747,117.46
COMP-00151,Poland,SME,943,397.35
COMP-00152,India,SME,391,372.28
COMP-00153,France,Startup,78,41.51
COMP-00154,Japan,SME,122,257.9
COMP-00155,Malaysia,Enterprise,11457,6069.18
COMP-00156,Kenya,SME,927,316.83
COMP-00157,South Korea,Startup,14,46.2
COMP-00158,India,SME,898,323.02
COMP-00159,Sweden,SME,561,470.47
COMP-00160,Nigeria,SME,519,106.1
COMP-00161,Poland,SME,930,190.15
COMP-00162,India,SME,236,142.51
COMP-00163,Spain,Enterprise,14224,1585.54
COMP-00164,Sweden,Startup,26,29.77
COMP-00165,Indonesia,Startup,34,25.42
COMP-00166,Singapore,SME,765,55.89
COMP-00167,Sweden,SME,148,130.12
COMP-00168,Japan,SME,441,88.41
COMP-00169,USA,SME,868,189.47
COMP-00170,Australia,Enterprise,3079,4948.2
COMP-00171,Netherlands,SME,385,426.45
COMP-00172,Singapore,SME,212,230.34
COMP-00173,Egypt,Startup,10,17.38
COMP-00174,Singapore,Startup,43,21.03
COMP-00175,Malaysia,Enterprise,17438,1983.45
COMP-00176,Singapore,SME,858,164.25
COMP-00177,Vietnam,SME,542,277.48
COMP-00178,Singapore,Enterprise,7722,8930.87
COMP-00179,Indonesia,SME,363,94.75
COMP-00180,Kenya,SME,913,423.6
COMP-00181,Vietnam,SME,599,350.64
COMP-00182,Singapore,Startup,91,1.64
COMP-00183,Italy,Startup,42,11.19
COMP-00184,Germany,Enterprise,11112,8265.71
COMP-00185,Chile,Startup,20,13.71
COMP-00186,South Korea,Startup,29,31.58
COMP-00187,South Korea,SME,325,437.48
COMP-00188,Japan,Enterprise,16517,5130.6
COMP-00189,Chile,SME,227,131.95
COMP-00190,Philippines,Enterprise,9428,4324.23
COMP-00191,China,Startup,31,41.91
COMP-00192,Australia,SME,937,461.43
COMP-00193,Colombia,SME,141,309.43
COMP-00194,Australia,SME,687,142.89
COMP-00195,South Korea,Startup,94,13.92
COMP-00196,Argentina,SME,367,334.89
COMP-00197,Netherlands,SME,784,427.15
COMP-00198,Malaysia,Enterprise,4067,9606.96
COMP-00199,Philippines,Enterprise,12555,7824.37
COMP-00200,Brazil,Startup,45,36.23
COMP-00201,Netherlands,Enterprise,5853,1782.51
COMP-00202,Sweden,Startup,92,30.16
COMP-00203,Australia,Startup,71,47.81
COMP-00204,Kenya,SME,812,208.19
COMP-00205,Indonesia,Enterprise,2240,7196.79
COMP-00206,China,SME,328,51.05
COMP-00207,Brazil,Startup,21,18.69
COMP-00208,Spain,Startup,56,5.25
COMP-00209,France,Startup,97,38.16
COMP-00210,UK,SME,473,336.75
COMP-00211,Chile,Startup,34,45.26
COMP-00212,Malaysia,Startup,32,28.23
COMP-00213,UK,SME,349,190.78
COMP-00214,Poland,Startup,57,6.65
COMP-00215,Poland,Startup,91,37.51
COMP-00216,Japan,Enterprise,10374,3964.62
COMP-00217,Germany,SME,904,288.62
COMP-00218,Spain,Enterprise,7640,5614.81
COMP-00219,Egypt,SME,496,331.65
COMP-00220,Nigeria,Enterprise,12713,731.81
COMP-00221,China,SME,350,443.62
COMP-00222,Germany,SME,990,499.07
COMP-00223,Egypt,Startup,71,5.34
COMP-00224,South Korea,SME,458,285.13
COMP-00225,Kenya,SME,788,99.71
COMP-00226,Netherlands,Startup,27,12.45
COMP-00227,Italy,Enterprise,15286,4563.84
COMP-00228,South Africa,Enterprise,5805,9832.14
COMP-00229,Colombia,SME,110,456.68
COMP-00230,Spain,Startup,81,47.19
COMP-00231,Australia,Startup,66,11.8
COMP-00232,Philippines,SME,153,486.1
COMP-00233,USA,Startup,29,49.75
COMP-00234,Indonesia,Startup,41,23.71
COMP-00235,India,SME,219,386.54
COMP-00236,Australia,SME,709,255.84
COMP-00237,Sweden,Startup,38,44.55
COMP-00238,Indonesia,SME,494,89.14
COMP-00239,Indonesia,Startup,88,1.25
COMP-00240,Nigeria,SME,136,149.08
COMP-00241,Japan,Startup,37,4.73
COMP-00242,Philippines,Startup,76,18.04
COMP-00243,China,SME,848,380.26
COMP-00244,India,SME,452,120.8
COMP-00245,Poland,SME,462,157.41
COMP-00246,Sweden,Startup,54,43.72
COMP-00247,South Africa,SME,634,52.32
COMP-00248,Colombia,Startup,40,1.05
COMP-00249,South Africa,SME,817,390.49
COMP-00250,UK,Startup,26,6.68
COMP-00251,China,Startup,44,7.29
COMP-00252,Thailand,Startup,72,20.22
COMP-00253,Canada,Startup,46,6.02
COMP-00254,France,SME,423,185.43
COMP-00255,UK,SME,623,80.31
COMP-00256,Indonesia,SME,219,70.58
COMP-00257,Canada,Startup,73,34.13
COMP-00258,UK,Enterprise,3428,4144.32
COMP-00259,Germany,SME,132,195.62
COMP-00260,France,SME,637,121.52
COMP-00261,Poland,SME,615,241.78
COMP-00262,Thailand,Startup,38,34.99
COMP-00263,Nigeria,SME,229,397.77
COMP-00264,Japan,SME,948,483.46
COMP-00265,Egypt,SME,120,459.29
COMP-00266,Philippines,SME,486,190.38
COMP-00267,Colombia,SME,261,145.9
COMP-00268,Brazil,SME,591,262.94
COMP-00269,Netherlands,SME,159,133.49
COMP-00270,Netherlands,SME,298,331.8
COMP-00271,Malaysia,SME,927,485.38
COMP-00272,Poland,Startup,87,30.32
COMP-00273,Singapore,SME,839,301.29
COMP-00274,Italy,Startup,97,22.23
COMP-00275,Argentina,SME,820,55.23
COMP-00276,UK,Startup,47,15.29
COMP-00277,New Zealand,SME,900,478.69
COMP-00278,Canada,Startup,50,12.86
COMP-00279,Colombia,Startup,88,25.45
COMP-00280,Singapore,Enterprise,10127,592.82
COMP-00281,Chile,SME,101,290.41
COMP-00282,Thailand,Startup,47,28.81
COMP-00283,Canada,Startup,53,6.12
COMP-00284,Malaysia,SME,322,293.58
COMP-00285,Argentina,Startup,17,47.42
COMP-00286,USA,SME,350,267.98
COMP-00287,Italy,SME,183,298.85
COMP-00288,Netherlands,SME,614,68.34
COMP-00289,New Zealand,SME,111,161.2
COMP-00290,South Korea,Enterprise,5780,2230.12
COMP-00291,Germany,SME,406,122.75
COMP-00292,India,SME,451,294.12
COMP-00293,India,Enterprise,15025,4330.98
COMP-00294,Argentina,SME,431,128.39
COMP-00295,Thailand,Enterprise,17542,4451.12
COMP-00296,Italy,Startup,29,25.74
COMP-00297,Japan,Enterprise,7563,779.25
COMP-00298,USA,Enterprise,13582,3129.86
COMP-00299,South Korea,SME,742,330.33
COMP-00300,Malaysia,SME,619,232.39
COMP-00301,South Africa,SME,698,334.64
COMP-00302,France,Startup,71,5.77
COMP-00303,Chile,SME,603,310.74
COMP-00304,Brazil,Startup,98,48.5
COMP-00305,Netherlands,Startup,44,33.18
COMP-00306,South Korea,Startup,54,12.61
COMP-00307,New Zealand,Enterprise,12970,4699.23
COMP-00308,Brazil,Enterprise,14149,1884.69
COMP-00309,Chile,SME,375,314.55
COMP-00310,South Korea,SME,383,66.5
COMP-00311,Spain,Enterprise,4568,7201.16
COMP-00312,Sweden,Startup,70,2.68
COMP-00313,Australia,SME,741,105.34
COMP-00314,South Africa,Startup,44,23.16
COMP-00315,New Zealand,SME,260,278.26
COMP-00316,USA,Startup,97,34.61
COMP-00317,Philippines,Startup,59,48.68
COMP-00318,Egypt,SME,527,289.51
COMP-00319,China,SME,483,109.72
COMP-00320,Japan,SME,107,486.46
COMP-00321,Sweden,Startup,17,8.65
COMP-00322,Japan,Startup,91,31.27
COMP-00323,Canada,SME,402,306.77
COMP-00324,New Zealand,SME,900,320.27
COMP-00325,Argentina,SME,753,227.24
COMP-00326,France,SME,803,71.7
COMP-00327,Vietnam,Startup,42,20.94
COMP-00328,UK,Startup,84,44.05
COMP-00329,Vietnam,SME,713,247.18
COMP-00330,France,Startup,84,19.41
COMP-00331,France,SME,700,197.77
COMP-00332,Italy,SME,927,296.82
COMP-00333,Brazil,SME,404,295.56
COMP-00334,Argentina,Startup,87,31.36
COMP-00335,India,SME,102,294.06
COMP-00336,Indonesia,Enterprise,2177,1534.72
COMP-00337,Germany,Startup,57,29.43
COMP-00338,Poland,SME,913,373.16
COMP-00339,South Korea,SME,506,243.89
COMP-00340,Chile,SME,892,344.61
COMP-00341,Chile,SME,423,470.5
COMP-00342,India,Startup,77,13.58
COMP-00343,China,Startup,38,40.35
COMP-00344,South Korea,Startup,27,20.6
COMP-00345,Netherlands,SME,743,420.43
COMP-00346,Japan,SME,685,409.9
COMP-00347,New Zealand,Startup,80,15.47
COMP-00348,Brazil,Startup,10,19.3
COMP-00349,USA,Startup,31,41.14
COMP-00350,Poland,SME,882,324.94
COMP-00351,Singapore,Startup,33,18.32
COMP-00352,Poland,Enterprise,7807,8314.84
COMP-00353,Italy,SME,956,92.99
COMP-00354,Japan,Startup,56,12.53
COMP-00355,Japan,Startup,30,5.69
COMP-00356,Chile,SME,622,154.38
COMP-00357,Argentina,Enterprise,18484,6147.53
COMP-00358,Egypt,Startup,48,36.5
COMP-00359,Canada,SME,379,107.78
COMP-00360,Kenya,SME,387,173.37
COMP-00361,Nigeria,Startup,45,10.4
COMP-00362,Spain,Enterprise,18091,4702.89
COMP-00363,Argentina,SME,616,81.47
COMP-00364,Argentina,SME,661,356.06
COMP-00365,Australia,SME,441,351.27
COMP-00366,Nigeria,Startup,44,36.8
COMP-00367,Colombia,SME,215,77.06
COMP-00368,India,Enterprise,1207,4390.04
COMP-00369,France,Startup,64,38.05
COMP-00370,China,Enterprise,8446,4293.5
COMP-00371,Kenya,Enterprise,9555,2814.74
COMP-00372,Indonesia,Enterprise,5895,1713.28
COMP-00373,Egypt,Startup,85,39.32
COMP-00374,Germany,Startup,75,19.66
COMP-00375,Egypt,Enterprise,16096,5761.12
COMP-00376,Japan,SME,765,320.27
COMP-00377,China,Enterprise,18826,7969.62
COMP-00378,Italy,SME,902,353.44
COMP-00379,Argentina,SME,561,412.67
COMP-00380,Japan,Startup,24,20.75
COMP-00381,UK,Enterprise,8373,9768.3
COMP-00382,Malaysia,SME,921,191.18
COMP-00383,New Zealand,SME,881,112.64
COMP-00384,Brazil,SME,998,478.76
COMP-00385,Poland,Enterprise,18432,6829.92
COMP-00386,Canada,Startup,88,48.19
COMP-00387,Indonesia,Startup,41,6.98
COMP-00388,Thailand,Startup,27,14.61
COMP-00389,Argentina,SME,771,147.22
COMP-00390,Thailand,SME,616,401.34
COMP-00391,France,SME,444,76.17
COMP-00392,Kenya,SME,562,492.66
COMP-00393,Italy,SME,198,83.58
COMP-00394,Singapore,Startup,89,34.89
COMP-00395,China,Startup,13,32.03
COMP-00396,Thailand,SME,320,330.75
COMP-00397,Canada,SME,254,236.36
COMP-00398,UK,Startup,14,1.54
COMP-00399,Germany,Enterprise,7548,682.33
COMP-00400,Malaysia,SME,987,290.89
COMP-00401,India,Startup,22,1.59
COMP-00402,Philippines,Startup,69,32.66
COMP-00403,Thailand,Enterprise,19739,3027.18
COMP-00404,Egypt,Startup,61,43.12
COMP-00405,Nigeria,SME,653,451.44
COMP-00406,Egypt,Startup,11,22.44
COMP-00407,Thailand,Enterprise,10312,8488.28
COMP-00408,Argentina,Startup,17,44.86
COMP-00409,China,Startup,58,31.08
COMP-00410,India,Startup,41,49.43
COMP-00411,France,Startup,17,3.04
COMP-00412,Colombia,SME,507,97.42
COMP-00413,China,SME,744,278.86
COMP-00414,Vietnam,Startup,24,47.17
COMP-00415,Colombia,SME,662,128.35
COMP-00416,Vietnam,Enterprise,11759,3017.94
COMP-00417,USA,SME,467,485.54
COMP-00418,Japan,SME,428,221.87
COMP-00419,Chile,Startup,58,13.52
COMP-00420,Germany,Startup,71,44.89
COMP-00421,France,Startup,30,7.14
COMP-00422,Thailand,SME,792,464.13
COMP-00423,Malaysia,SME,387,327.42
COMP-00424,Malaysia,SME,587,244.43
COMP-00425,UK,SME,725,474.38
COMP-00426,South Africa,SME,534,449.12
COMP-00427,South Korea,Enterprise,13258,6878.82
COMP-00428,India,Startup,22,11.83
COMP-00429,Colombia,SME,401,377.82
COMP-00430,Argentina,SME,444,471.82
COMP-00431,Argentina,Enterprise,17140,2065.74
COMP-00432,Kenya,Startup,59,11.46
COMP-00433,Colombia,SME,187,204.07
COMP-00434,Thailand,Enterprise,9706,3326.71
COMP-00435,Thailand,Enterprise,17406,7044.41
COMP-00436,China,Startup,67,1.46
COMP-00437,South Korea,Enterprise,17898,9922.19
COMP-00438,Poland,SME,572,299.79
COMP-00439,Philippines,Startup,36,34.71
COMP-00440,Indonesia,Startup,99,42.16
COMP-00441,Egypt,Startup,90,1.54
COMP-00442,Italy,Startup,79,43.96
COMP-00443,Egypt,Enterprise,10596,6611.97
COMP-00444,Malaysia,SME,904,348.37
COMP-00445,USA,SME,301,328.82
COMP-00446,Chile,SME,372,314.69
COMP-00447,Chile,Startup,23,36.45
COMP-00448,China,Enterprise,4959,6233.13
COMP-00449,Philippines,Enterprise,17977,6220.38
COMP-00450,Colombia,Startup,31,35.08
COMP-00451,Colombia,Startup,39,49.12
COMP-00452,Singapore,Startup,54,8.23
COMP-00453,Colombia,Startup,27,19.2
COMP-00454,Malaysia,Enterprise,13485,6543.68
COMP-00455,Netherlands,Startup,24,21.09
COMP-00456,Germany,Startup,99,29.8
COMP-00457,Indonesia,SME,149,124.38
COMP-00458,Sweden,SME,948,468.33
COMP-00459,South Korea,Startup,51,42.78
COMP-00460,Philippines,SME,173,471.81
COMP-00461,Canada,SME,701,86.27
COMP-00462,Canada,Enterprise,2619,6741.07
COMP-00463,Sweden,Startup,39,14.85
COMP-00464,Poland,SME,947,217.04
COMP-00465,Colombia,Startup,98,39.06
COMP-00466,Thailand,Startup,93,31.37
COMP-00467,Kenya,SME,295,191.84
COMP-00468,Japan,Startup,91,36.89
COMP-00469,USA,Startup,29,7.27
COMP-00470,India,Startup,23,36.81
COMP-00471,Chile,SME,181,115.23
COMP-00472,Japan,Startup,28,16.13
COMP-00473,Nigeria,Startup,21,18.13
COMP-00474,Chile,SME,589,89.98
COMP-00475,Egypt,Startup,42,26.65
COMP-00476,Japan,SME,697,296.98
COMP-00477,Poland,SME,593,256.24
COMP-00478,South Africa,Startup,31,42.65
COMP-00479,UK,SME,941,258.03
COMP-00480,South Africa,Startup,47,40.51
COMP-00481,Kenya,SME,710,73.38
COMP-00482,UK,Startup,77,38.08
COMP-00483,Malaysia,Startup,24,11.04
COMP-00484,Germany,SME,881,157.46
COMP-00485,Indonesia,SME,125,301.09
COMP-00486,Philippines,SME,143,292.42
COMP-00487,Philippines,Enterprise,16795,4791.12
COMP-00488,India,Enterprise,7411,5471.63
COMP-00489,France,SME,607,406.78
COMP-00490,Brazil,SME,337,289.86
COMP-00491,Canada,Startup,79,39.87
COMP-00492,Singapore,Startup,36,14.57
COMP-00493,Kenya,Startup,10,2.64
COMP-00494,Egypt,SME,718,190.92
COMP-00495,Japan,SME,465,87.56
COMP-00496,Nigeria,SME,986,485.21
COMP-00497,New Zealand,Startup,39,32.1
COMP-00498,India,SME,936,301.89
COMP-00499,Canada,SME,295,373.71
COMP-00500,Kenya,Enterprise,16036,3699.98
COMP-00501,Vietnam,SME,471,463.19
COMP-00502,Chile,Startup,20,45.16
COMP-00503,Vietnam,SME,824,164.44
COMP-00504,New Zealand,Startup,99,12.97
COMP-00505,India,SME,859,89.23
COMP-00506,Brazil,Startup,50,37.24
COMP-00507,UK,Startup,67,31.08
COMP-00508,Italy,SME,936,412.79
COMP-00509,New Zealand,SME,882,164.29
COMP-00510,Germany,Startup,75,16.43
COMP-00511,China,Startup,56,9.57
COMP-00512,Argentina,SME,914,187.39
COMP-00513,Germany,SME,326,393.42
COMP-00514,Nigeria,Startup,18,39.63
COMP-00515,Chile,Startup,88,13.75
COMP-00516,Argentina,SME,657,257.16
COMP-00517,Argentina,Startup,71,19.64
COMP-00518,China,Startup,34,21.65
COMP-00519,India,Enterprise,5249,9679.31
COMP-00520,Spain,SME,998,389.28
COMP-00521,Poland,Startup,37,1.88
COMP-00522,South Africa,Startup,28,43.76
COMP-00523,Vietnam,SME,219,366.66
COMP-00524,South Africa,Startup,84,4.64
COMP-00525,France,SME,321,319.46
COMP-00526,South Africa,Enterprise,6374,1250.21
COMP-00527,Colombia,Enterprise,10277,8048.49
COMP-00528,Argentina,SME,593,435.06
COMP-00529,Malaysia,Enterprise,18732,2896.92
COMP-00530,Singapore,SME,300,459.33
COMP-00531,Nigeria,Startup,44,41.64
COMP-00532,Sweden,Enterprise,7581,4628.66
COMP-00533,Singapore,Enterprise,11088,3737.75
COMP-00534,Japan,Startup,60,12.63
COMP-00535,Netherlands,SME,447,96.9
COMP-00536,France,Enterprise,19778,7564.14
COMP-00537,Indonesia,Startup,81,32.07
COMP-00538,UK,SME,382,113.01
COMP-00539,UK,SME,540,199.11
COMP-00540,Italy,SME,923,315.89
COMP-00541,Kenya,SME,654,429.77
COMP-00542,Spain,Enterprise,19352,2575.84
COMP-00543,New Zealand,Enterprise,6463,1327.38
COMP-00544,Vietnam,Startup,48,29.16
COMP-00545,Germany,SME,803,366.02
COMP-00546,New Zealand,Startup,54,20.33
COMP-00547,India,SME,431,447.02
COMP-00548,Poland,Startup,99,47.8
COMP-00549,Kenya,SME,619,438.3
COMP-00550,Singapore,SME,788,321.71
COMP-00551,USA,Enterprise,14969,1587.63
COMP-00552,Thailand,Enterprise,2774,4480.0
COMP-00553,South Korea,SME,212,81.95
COMP-00554,Poland,Startup,38,34.25
COMP-00555,Brazil,Startup,60,30.09
COMP-00556,UK,SME,812,325.66
COMP-00557,Thailand,SME,870,375.79
COMP-00558,Spain,SME,486,290.29
COMP-00559,USA,Startup,90,35.05
COMP-00560,South Korea,Startup,54,20.57
COMP-00561,Vietnam,SME,673,301.39
COMP-00562,Vietnam,Startup,47,42.43
COMP-00563,Vietnam,SME,519,352.83
COMP-00564,Indonesia,SME,287,151.83
COMP-00565,China,SME,550,252.56
COMP-00566,Nigeria,Startup,84,29.53
COMP-00567,Argentina,Startup,33,19.35
COMP-00568,Colombia,SME,667,392.86
COMP-00569,China,Startup,28,2.25
COMP-00570,Netherlands,Enterprise,14790,8021.34
COMP-00571,Chile,SME,916,95.57
COMP-00572,France,Startup,65,49.41
COMP-00573,Singapore,SME,130,359.72
COMP-00574,Nigeria,Startup,35,2.91
COMP-00575,New Zealand,Startup,60,2.14
COMP-00576,Kenya,SME,221,102.26
COMP-00577,South Africa,Startup,15,30.54
COMP-00578,Egypt,Startup,31,27.53
COMP-00579,India,Enterprise,11913,2099.2
COMP-00580,South Korea,SME,515,369.06
COMP-00581,Australia,SME,482,171.61
COMP-00582,Netherlands,Startup,72,7.82
COMP-00583,New Zealand,SME,210,417.54
COMP-00584,Germany,Startup,95,28.9
COMP-00585,Malaysia,Startup,46,36.81
COMP-00586,Poland,Startup,45,45.44
COMP-00587,Argentina,Startup,20,18.32
COMP-00588,Chile,SME,283,174.1
COMP-00589,China,SME,681,116.96
COMP-00590,New Zealand,SME,919,438.6
COMP-00591,Italy,Enterprise,14527,4691.63
COMP-00592,Canada,SME,853,376.57
COMP-00593,China,SME,830,233.41
COMP-00594,Netherlands,SME,610,99.17
COMP-00595,Malaysia,Startup,90,42.5
COMP-00596,France,SME,422,251.74
COMP-00597,China,SME,593,149.34
COMP-00598,Canada,Enterprise,1276,3907.8
COMP-00599,China,SME,780,175.44
COMP-00600,Philippines,SME,746,69.87
COMP-00601,India,Startup,46,37.28
COMP-00602,UK,Startup,82,38.54
COMP-00603,Vietnam,Startup,72,5.34
COMP-00604,Italy,SME,359,233.2
COMP-00605,Sweden,SME,454,297.11
COMP-00606,New Zealand,Startup,49,6.53
COMP-00607,France,Startup,69,8.11
COMP-00608,Australia,SME,607,438.53
COMP-00609,Nigeria,Enterprise,3951,3278.89
COMP-00610,India,Enterprise,3368,5715.31
COMP-00611,Thailand,SME,536,65.15
COMP-00612,Egypt,Enterprise,16061,2284.51
COMP-00613,Chile,SME,643,252.21
COMP-00614,Vietnam,SME,759,357.18
COMP-00615,Nigeria,Enterprise,7555,2729.21
COMP-00616,USA,SME,359,114.29
COMP-00617,Singapore,SME,875,172.13
COMP-00618,Malaysia,SME,453,374.77
COMP-00619,Japan,Startup,58,16.56
COMP-00620,Vietnam,SME,885,174.28
COMP-00621,Philippines,SME,442,312.47
COMP-00622,Brazil,Enterprise,8818,8353.79
COMP-00623,Vietnam,SME,236,429.22
COMP-00624,South Africa,Enterprise,11380,4512.65
COMP-00625,South Africa,SME,723,471.34
COMP-00626,New Zealand,SME,927,334.72
COMP-00627,Vietnam,Enterprise,7318,2086.05
COMP-00628,India,Startup,33,38.29
COMP-00629,Vietnam,Startup,77,35.42
COMP-00630,Italy,Enterprise,6842,6619.42
COMP-00631,Italy,Enterprise,18508,5236.42
COMP-00632,Thailand,Startup,27,32.09
COMP-00633,Philippines,SME,112,237.43
COMP-00634,Argentina,Startup,18,33.21
COMP-00635,India,Enterprise,3005,2549.54
COMP-00636,Kenya,SME,827,468.86
COMP-00637,Brazil,Startup,12,16.47
COMP-00638,Sweden,Startup,74,44.62
COMP-00639,Brazil,SME,412,420.49
