company_id,industry,country,company_size
COMP-00096,Manufacturing,Philippines,SME
COMP-00097,Manufacturing,Italy,Startup
COMP-00098,Finance,Spain,SME
COMP-00099,Finance,Brazil,Startup
COMP-00100,Healthcare,South Africa,Startup
COMP-00101,Consulting,Malaysia,Startup
COMP-00102,Consulting,Germany,Enterprise
COMP-00103,Manufacturing,France,SME
COMP-00104,Consulting,Australia,Enterprise
COMP-00105,Finance,Singapore,Startup
COMP-00106,Logistics,Malaysia,SME
COMP-00107,Consulting,Vietnam,Enterprise
COMP-00108,Technology,Poland,Enterprise
COMP-00109,Consulting,Australia,Startup
COMP-00110,Technology,UK,Startup
COMP-00111,Agriculture,Poland,Startup
COMP-00112,Manufacturing,Sweden,SME
COMP-00113,Education,Vietnam,Enterprise
COMP-00114,Retail,Egypt,Enterprise
COMP-00115,Technology,Kenya,SME
COMP-00116,Healthcare,South Africa,Startup
COMP-00117,Technology,Netherlands,Enterprise
COMP-00118,Agriculture,South Korea,SME
COMP-00119,Manufacturing,Australia,Startup
COMP-00120,Education,Canada,Startup
COMP-00121,Logistics,France,SME
COMP-00122,Retail,China,Startup
COMP-00123,Logistics,Egypt,SME
COMP-00124,Technology,Argentina,Startup
COMP-00125,Finance,South Africa,Startup
COMP-00126,Manufacturing,Malaysia,Enterprise
COMP-00127,Agriculture,Spain,Enterprise
COMP-00128,Logistics,Nigeria,Enterprise
COMP-00129,Finance,Netherlands,SME
COMP-00130,Agriculture,New Zealand,Startup
COMP-00131,Retail,Colombia,SME
COMP-00132,Agriculture,Nigeria,Startup
COMP-00133,Education,Canada,SME
COMP-00134,Logistics,Kenya,Startup
COMP-00135,Consulting,Kenya,Startup
COMP-00136,Agriculture,USA,Startup
COMP-00137,Education,Italy,SME
COMP-00138,Logistics,Italy,Enterprise
COMP-00139,Healthcare,Argentina,SME
COMP-00140,Consulting,USA,SME
COMP-00141,Technology,Netherlands,Enterprise
COMP-00142,Manufacturing,Canada,Enterprise
COMP-00143,Technology,Colombia,SME
COMP-00144,Agriculture,Vietnam,SME
COMP-00145,Technology,Sweden,Enterprise
COMP-00146,Finance,USA,SME
COMP-00147,Manufacturing,Argentina,Enterprise
COMP-00148,Education,Argentina,SME
COMP-00149,Finance,Argentina,SME
COMP-00150,Consulting,Argentina,SME
COMP-00151,Logistics,Poland,SME
COMP-00152,Retail,India,SME
COMP-00153,Retail,France,Startup
COMP-00154,Finance,Japan,SME
COMP-00155,Education,Malaysia,Enterprise
COMP-00156,Manufacturing,Kenya,SME
COMP-00157,Technology,South Korea,Startup
COMP-00158,Agriculture,India,SME
COMP-00159,Retail,Sweden,SME
COMP-00160,Manufacturing,Nigeria,SME
COMP-00161,Agriculture,Poland,SME
COMP-00162,Manufacturing,India,SME
COMP-00163,Technology,Spain,Enterprise
COMP-00164,Education,Sweden,Startup
COMP-00165,Finance,Indonesia,Startup
COMP-00166,Manufacturing,Singapore,SME
COMP-00167,Retail,Sweden,SME
COMP-00168,Education,Japan,SME
COMP-00169,Finance,USA,SME
COMP-00170,Logistics,Australia,Enterprise
COMP-00171,Technology,Netherlands,SME
COMP-00172,Agriculture,Singapore,SME
COMP-00173,Technology,Egypt,Startup
COMP-00174,Technology,Singapore,Startup
COMP-00175,Education,Malaysia,Enterprise
COMP-00176,Healthcare,Singapore,SME
COMP-00177,Manufacturing,Vietnam,SME
COMP-00178,Retail,Singapore,Enterprise
COMP-00179,Logistics,Indonesia,SME
COMP-00180,Retail,Kenya,SME
COMP-00181,Education,Vietnam,SME
COMP-00182,Retail,Singapore,Startup
COMP-00183,Technology,Italy,Startup
COMP-00184,Healthcare,Germany,Enterprise
COMP-00185,Technology,Chile,Startup
COMP-00186,Finance,South Korea,Startup
COMP-00187,Retail,South Korea,SME
COMP-00188,Technology,Japan,Enterprise
COMP-00189,Logistics,Chile,SME
COMP-00190,Technology,Philippines,Enterprise
COMP-00191,Healthcare,China,Startup
COMP-00192,Healthcare,Australia,SME
COMP-00193,Consulting,Colombia,SME
COMP-00194,Agriculture,Australia,SME
COMP-00195,Finance,South Korea,Startup
COMP-00196,Retail,Argentina,SME
COMP-00197,Education,Netherlands,SME
COMP-00198,Logistics,Malaysia,Enterprise
COMP-00199,Manufacturing,Philippines,Enterprise
COMP-00200,Manufacturing,Brazil,Startup
COMP-00201,Retail,Netherlands,Enterprise
COMP-00202,Technology,Sweden,Startup
COMP-00203,Retail,Australia,Startup
COMP-00204,Healthcare,Kenya,SME
COMP-00205,Retail,Indonesia,Enterprise
COMP-00206,Technology,China,SME
COMP-00207,Finance,Brazil,Startup
COMP-00208,Technology,Spain,Startup
COMP-00209,Finance,France,Startup
COMP-00210,Finance,UK,SME
COMP-00211,Manufacturing,Chile,Startup
COMP-00212,Finance,Malaysia,Startup
COMP-00213,Manufacturing,UK,SME
COMP-00214,Agriculture,Poland,Startup
COMP-00215,Technology,Poland,Startup
COMP-00216,Manufacturing,Japan,Enterprise
COMP-00217,Healthcare,Germany,SME
COMP-00218,Manufacturing,Spain,Enterprise
COMP-00219,Technology,Egypt,SME
COMP-00220,Education,Nigeria,Enterprise
COMP-00221,Consulting,China,SME
COMP-00222,Manufacturing,Germany,SME
COMP-00223,Retail,Egypt,Startup
COMP-00224,Retail,South Korea,SME
COMP-00225,Consulting,Kenya,SME
COMP-00226,Retail,Netherlands,Startup
COMP-00227,Agriculture,Italy,Enterprise
COMP-00228,Manufacturing,South Africa,Enterprise
COMP-00229,Retail,Colombia,SME
COMP-00230,Manufacturing,Spain,Startup
COMP-00231,Logistics,Australia,Startup
COMP-00232,Retail,Philippines,SME
COMP-00233,Manufacturing,USA,Startup
COMP-00234,Retail,Indonesia,Startup
COMP-00235,Finance,India,SME
COMP-00236,Healthcare,Australia,SME
COMP-00237,Healthcare,Sweden,Startup
COMP-00238,Technology,Indonesia,SME
COMP-00239,Manufacturing,Indonesia,Startup
COMP-00240,Education,Nigeria,SME
COMP-00241,Technology,Japan,Startup
COMP-00242,Education,Philippines,Startup
COMP-00243,Healthcare,China,SME
COMP-00244,Retail,India,SME
COMP-00245,Healthcare,Poland,SME
COMP-00246,Finance,Sweden,Startup
COMP-00247,Healthcare,South Africa,SME
COMP-00248,Education,Colombia,Startup
COMP-00249,Retail,South Africa,SME
COMP-00250,Manufacturing,UK,Startup
COMP-00251,Logistics,China,Startup
COMP-00252,Finance,Thailand,Startup
COMP-00253,Technology,Canada,Startup
COMP-00254,Manufacturing,France,SME
COMP-00255,Education,UK,SME
COMP-00256,Logistics,Indonesia,SME
COMP-00257,Retail,Canada,Startup
COMP-00258,Finance,UK,Enterprise
COMP-00259,Logistics,Germany,SME
COMP-00260,Manufacturing,France,SME
COMP-00261,Finance,Poland,SME
COMP-00262,Technology,Thailand,Startup
COMP-00263,Agriculture,Nigeria,SME
COMP-00264,Manufacturing,Japan,SME
COMP-00265,Retail,Egypt,SME
COMP-00266,Manufacturing,Philippines,SME
COMP-00267,Education,Colombia,SME
COMP-00268,Technology,Brazil,SME
COMP-00269,Finance,Netherlands,SME
COMP-00270,Finance,Netherlands,SME
COMP-00271,Technology,Malaysia,SME
COMP-00272,Retail,Poland,Startup
COMP-00273,Education,Singapore,SME
COMP-00274,Technology,Italy,Startup
COMP-00275,Agriculture,Argentina,SME
COMP-00276,Agriculture,UK,Startup
COMP-00277,Manufacturing,New Zealand,SME
COMP-00278,Finance,Canada,Startup
COMP-00279,Finance,Colombia,Startup
COMP-00280,Logistics,Singapore,Enterprise
COMP-00281,Technology,Chile,SME
COMP-00282,Retail,Thailand,Startup
COMP-00283,Retail,Canada,Startup
COMP-00284,Logistics,Malaysia,SME
COMP-00285,Finance,Argentina,Startup
COMP-00286,Logistics,USA,SME
COMP-00287,Consulting,Italy,SME
COMP-00288,Manufacturing,Netherlands,SME
COMP-00289,Retail,New Zealand,SME
COMP-00290,Healthcare,South Korea,Enterprise
COMP-00291,Education,Germany,SME
COMP-00292,Retail,India,SME
COMP-00293,Education,India,Enterprise
COMP-00294,Retail,Argentina,SME
COMP-00295,Consulting,Thailand,Enterprise
COMP-00296,Technology,Italy,Startup
COMP-00297,Healthcare,Japan,Enterprise
COMP-00298,Logistics,USA,Enterprise
COMP-00299,Education,South Korea,SME
COMP-00300,Technology,Malaysia,SME
COMP-00301,Agriculture,South Africa,SME
COMP-00302,Technology,France,Startup
COMP-00303,Consulting,Chile,SME
COMP-00304,Retail,Brazil,Startup
COMP-00305,Manufacturing,Netherlands,Startup
COMP-00306,Healthcare,South Korea,Startup
COMP-00307,Technology,New Zealand,Enterprise
COMP-00308,Technology,Brazil,Enterprise
COMP-00309,Logistics,Chile,SME
COMP-00310,Healthcare,South Korea,SME
COMP-00311,Logistics,Spain,Enterprise
COMP-00312,Retail,Sweden,Startup
COMP-00313,Consulting,Australia,SME
COMP-00314,Technology,South Africa,Startup
COMP-00315,Agriculture,New Zealand,SME
COMP-00316,Agriculture,USA,Startup
COMP-00317,Healthcare,Philippines,Startup
COMP-00318,Manufacturing,Egypt,SME
COMP-00319,Finance,China,SME
COMP-00320,Healthcare,Japan,SME
COMP-00321,Retail,Sweden,Startup
COMP-00322,Consulting,Japan,Startup
COMP-00323,Finance,Canada,SME
COMP-00324,Healthcare,New Zealand,SME
COMP-00325,Agriculture,Argentina,SME
COMP-00326,Agriculture,France,SME
COMP-00327,Retail,Vietnam,Startup
COMP-00328,Consulting,UK,Startup
COMP-00329,Logistics,Vietnam,SME
COMP-00330,Consulting,France,Startup
COMP-00331,Retail,France,SME
COMP-00332,Technology,Italy,SME
COMP-00333,Healthcare,Brazil,SME
COMP-00334,Technology,Argentina,Startup
COMP-00335,Logistics,India,SME
COMP-00336,Education,Indonesia,Enterprise
COMP-00337,Logistics,Germany,Startup
COMP-00338,Finance,Poland,SME
COMP-00339,Consulting,South Korea,SME
COMP-00340,Consulting,Chile,SME
COMP-00341,Logistics,Chile,SME
COMP-00342,Healthcare,India,Startup
COMP-00343,Agriculture,China,Startup
COMP-00344,Retail,South Korea,Startup
COMP-00345,Manufacturing,Netherlands,SME
COMP-00346,Finance,Japan,SME
COMP-00347,Manufacturing,New Zealand,Startup
COMP-00348,Manufacturing,Brazil,Startup
COMP-00349,Finance,USA,Startup
COMP-00350,Logistics,Poland,SME
COMP-00351,Education,Singapore,Startup
COMP-00352,Consulting,Poland,Enterprise
COMP-00353,Education,Italy,SME
COMP-00354,Retail,Japan,Startup
COMP-00355,Logistics,Japan,Startup
COMP-00356,Manufacturing,Chile,SME
COMP-00357,Healthcare,Argentina,Enterprise
COMP-00358,Healthcare,Egypt,Startup
COMP-00359,Education,Canada,SME
COMP-00360,Consulting,Kenya,SME
COMP-00361,Logistics,Nigeria,Startup
COMP-00362,Finance,Spain,Enterprise
COMP-00363,Education,Argentina,SME
COMP-00364,Agriculture,Argentina,SME
COMP-00365,Logistics,Australia,SME
COMP-00366,Education,Nigeria,Startup
COMP-00367,Retail,Colombia,SME
COMP-00368,Technology,India,Enterprise
COMP-00369,Agriculture,France,Startup
COMP-00370,Agriculture,China,Enterprise
COMP-00371,Manufacturing,Kenya,Enterprise
COMP-00372,Finance,Indonesia,Enterprise
COMP-00373,Consulting,Egypt,Startup
COMP-00374,Healthcare,Germany,Startup
COMP-00375,Finance,Egypt,Enterprise
COMP-00376,Education,Japan,SME
COMP-00377,Consulting,China,Enterprise
COMP-00378,Technology,Italy,SME
COMP-00379,Manufacturing,Argentina,SME
COMP-00380,Agriculture,Japan,Startup
COMP-00381,Logistics,UK,Enterprise
COMP-00382,Education,Malaysia,SME
COMP-00383,Logistics,New Zealand,SME
COMP-00384,Manufacturing,Brazil,SME
COMP-00385,Logistics,Poland,Enterprise
COMP-00386,Education,Canada,Startup
COMP-00387,Consulting,Indonesia,Startup
COMP-00388,Technology,Thailand,Startup
COMP-00389,Technology,Argentina,SME
COMP-00390,Consulting,Thailand,SME
COMP-00391,Retail,France,SME
COMP-00392,Logistics,Kenya,SME
COMP-00393,Retail,Italy,SME
COMP-00394,Technology,Singapore,Startup
COMP-00395,Retail,China,Startup
COMP-00396,Technology,Thailand,SME
COMP-00397,Logistics,Canada,SME
COMP-00398,Healthcare,UK,Startup
COMP-00399,Consulting,Germany,Enterprise
COMP-00400,Education,Malaysia,SME
COMP-00401,Consulting,India,Startup
COMP-00402,Finance,Philippines,Startup
COMP-00403,Finance,Thailand,Enterprise
COMP-00404,Finance,Egypt,Startup
COMP-00405,Finance,Nigeria,SME
COMP-00406,Logistics,Egypt,Startup
COMP-00407,Consulting,Thailand,Enterprise
COMP-00408,Finance,Argentina,Startup
COMP-00409,Logistics,China,Startup
COMP-00410,Agriculture,India,Startup
COMP-00411,Technology,France,Startup
COMP-00412,Agriculture,Colombia,SME
COMP-00413,Technology,China,SME
COMP-00414,Manufacturing,Vietnam,Startup
COMP-00415,Finance,Colombia,SME
COMP-00416,Agriculture,Vietnam,Enterprise
COMP-00417,Healthcare,USA,SME
COMP-00418,Technology,Japan,SME
COMP-00419,Retail,Chile,Startup
COMP-00420,Logistics,Germany,Startup
COMP-00421,Healthcare,France,Startup
COMP-00422,Healthcare,Thailand,SME
COMP-00423,Education,Malaysia,SME
COMP-00424,Manufacturing,Malaysia,SME
COMP-00425,Retail,UK,SME
COMP-00426,Logistics,South Africa,SME
COMP-00427,Manufacturing,South Korea,Enterprise
COMP-00428,Retail,India,Startup
COMP-00429,Logistics,Colombia,SME
COMP-00430,Technology,Argentina,SME
COMP-00431,Finance,Argentina,Enterprise
COMP-00432,Consulting,Kenya,Startup
COMP-00433,Technology,Colombia,SME
COMP-00434,Agriculture,Thailand,Enterprise
COMP-00435,Technology,Thailand,Enterprise
COMP-00436,Healthcare,China,Startup
COMP-00437,Logistics,South Korea,Enterprise
COMP-00438,Logistics,Poland,SME
COMP-00439,Manufacturing,Philippines,Startup
COMP-00440,Retail,Indonesia,Startup
COMP-00441,Finance,Egypt,Startup
COMP-00442,Manufacturing,Italy,Startup
COMP-00443,Manufacturing,Egypt,Enterprise
COMP-00444,Manufacturing,Malaysia,SME
COMP-00445,Manufacturing,USA,SME
COMP-00446,Manufacturing,Chile,SME
COMP-00447,Finance,Chile,Startup
COMP-00448,Agriculture,China,Enterprise
COMP-00449,Technology,Philippines,Enterprise
COMP-00450,Education,Colombia,Startup
COMP-00451,Education,Colombia,Startup
COMP-00452,Manufacturing,Singapore,Startup
COMP-00453,Healthcare,Colombia,Startup
COMP-00454,Healthcare,Malaysia,Enterprise
COMP-00455,Technology,Netherlands,Startup
COMP-00456,Agriculture,Germany,Startup
COMP-00457,Healthcare,Indonesia,SME
COMP-00458,Manufacturing,Sweden,SME
COMP-00459,Agriculture,South Korea,Startup
COMP-00460,Technology,Philippines,SME
COMP-00461,Retail,Canada,SME
COMP-00462,Finance,Canada,Enterprise
COMP-00463,Technology,Sweden,Startup
COMP-00464,Agriculture,Poland,SME
COMP-00465,Healthcare,Colombia,Startup
COMP-00466,Retail,Thailand,Startup
COMP-00467,Education,Kenya,SME
COMP-00468,Education,Japan,Startup
COMP-00469,Logistics,USA,Startup
COMP-00470,Retail,India,Startup
COMP-00471,Manufacturing,Chile,SME
COMP-00472,Education,Japan,Startup
COMP-00473,Technology,Nigeria,Startup
COMP-00474,Consulting,Chile,SME
COMP-00475,Consulting,Egypt,Startup
COMP-00476,Technology,Japan,SME
COMP-00477,Manufacturing,Poland,SME
COMP-00478,Agriculture,South Africa,Startup
COMP-00479,Finance,UK,SME
COMP-00480,Manufacturing,South Africa,Startup
COMP-00481,Healthcare,Kenya,SME
COMP-00482,Education,UK,Startup
COMP-00483,Finance,Malaysia,Startup
COMP-00484,Finance,Germany,SME
COMP-00485,Finance,Indonesia,SME
COMP-00486,Retail,Philippines,SME
COMP-00487,Retail,Philippines,Enterprise
COMP-00488,Education,India,Enterprise
COMP-00489,Logistics,France,SME
COMP-00490,Retail,Brazil,SME
COMP-00491,Healthcare,Canada,Startup
COMP-00492,Healthcare,Singapore,Startup
COMP-00493,Retail,Kenya,Startup
COMP-00494,Healthcare,Egypt,SME
COMP-00495,Technology,Japan,SME
COMP-00496,Retail,Nigeria,SME
COMP-00497,Agriculture,New Zealand,Startup
COMP-00498,Agriculture,India,SME
COMP-00499,Manufacturing,Canada,SME
COMP-00500,Retail,Kenya,Enterprise
COMP-00501,Healthcare,Vietnam,SME
COMP-00502,Education,Chile,Startup
COMP-00503,Retail,Vietnam,SME
COMP-00504,Manufacturing,New Zealand,Startup
COMP-00505,Healthcare,India,SME
COMP-00506,Education,Brazil,Startup
COMP-00507,Education,UK,Startup
COMP-00508,Manufacturing,Italy,SME
COMP-00509,Agriculture,New Zealand,SME
COMP-00510,Manufacturing,Germany,Startup
COMP-00511,Manufacturing,China,Startup
COMP-00512,Healthcare,Argentina,SME
COMP-00513,Healthcare,Germany,SME
COMP-00514,Healthcare,Nigeria,Startup
COMP-00515,Healthcare,Chile,Startup
COMP-00516,Logistics,Argentina,SME
COMP-00517,Consulting,Argentina,Startup
COMP-00518,Retail,China,Startup
COMP-00519,Healthcare,India,Enterprise
COMP-00520,Consulting,Spain,SME
COMP-00521,Consulting,Poland,Startup
COMP-00522,Logistics,South Africa,Startup
COMP-00523,Manufacturing,Vietnam,SME
COMP-00524,Technology,South Africa,Startup
COMP-00525,Manufacturing,France,SME
COMP-00526,Finance,South Africa,Enterprise
COMP-00527,Education,Colombia,Enterprise
COMP-00528,Retail,Argentina,SME
COMP-00529,Education,Malaysia,Enterprise
COMP-00530,Healthcare,Singapore,SME
COMP-00531,Finance,Nigeria,Startup
COMP-00532,Agriculture,Sweden,Enterprise
COMP-00533,Healthcare,Singapore,Enterprise
COMP-00534,Retail,Japan,Startup
COMP-00535,Retail,Netherlands,SME
COMP-00536,Agriculture,France,Enterprise
COMP-00537,Logistics,Indonesia,Startup
COMP-00538,Logistics,UK,SME
COMP-00539,Education,UK,SME
COMP-00540,Healthcare,Italy,SME
COMP-00541,Retail,Kenya,SME
COMP-00542,Retail,Spain,Enterprise
COMP-00543,Agriculture,New Zealand,Enterprise
COMP-00544,Technology,Vietnam,Startup
COMP-00545,Healthcare,Germany,SME
COMP-00546,Healthcare,New Zealand,Startup
COMP-00547,Technology,India,SME
COMP-00548,Agriculture,Poland,Startup
COMP-00549,Consulting,Kenya,SME
COMP-00550,Technology,Singapore,SME
COMP-00551,Manufacturing,USA,Enterprise
COMP-00552,Finance,Thailand,Enterprise
COMP-00553,Consulting,South Korea,SME
COMP-00554,Technology,Poland,Startup
COMP-00555,Technology,Brazil,Startup
COMP-00556,Agriculture,UK,SME
COMP-00557,Logistics,Thailand,SME
COMP-00558,Technology,Spain,SME
COMP-00559,Education,USA,Startup
COMP-00560,Manufacturing,South Korea,Startup
COMP-00561,Finance,Vietnam,SME
COMP-00562,Consulting,Vietnam,Startup
COMP-00563,Manufacturing,Vietnam,SME
COMP-00564,Manufacturing,Indonesia,SME
COMP-00565,Technology,China,SME
COMP-00566,Finance,Nigeria,Startup
COMP-00567,Technology,Argentina,Startup
COMP-00568,Education,Colombia,SME
COMP-00569,Agriculture,China,Startup
COMP-00570,Manufacturing,Netherlands,Enterprise
COMP-00571,Logistics,Chile,SME
COMP-00572,Retail,France,Startup
COMP-00573,Technology,Singapore,SME
COMP-00574,Technology,Nigeria,Startup
COMP-00575,Finance,New Zealand,Startup
COMP-00576,Healthcare,Kenya,SME
COMP-00577,Manufacturing,South Africa,Startup
COMP-00578,Education,Egypt,Startup
COMP-00579,Agriculture,India,Enterprise
COMP-00580,Healthcare,South Korea,SME
COMP-00581,Logistics,Australia,SME
COMP-00582,Consulting,Netherlands,Startup
COMP-00583,Retail,New Zealand,SME
COMP-00584,Agriculture,Germany,Startup
COMP-00585,Agriculture,Malaysia,Startup
COMP-00586,Consulting,Poland,Startup
COMP-00587,Healthcare,Argentina,Startup
COMP-00588,Healthcare,Chile,SME
COMP-00589,Retail,China,SME
COMP-00590,Retail,New Zealand,SME
COMP-00591,Healthcare,Italy,Enterprise
COMP-00592,Education,Canada,SME
COMP-00593,Technology,China,SME
COMP-00594,Manufacturing,Netherlands,SME
COMP-00595,Consulting,Malaysia,Startup
COMP-00596,Education,France,SME
COMP-00597,Technology,China,SME
COMP-00598,Healthcare,Canada,Enterprise
COMP-00599,Manufacturing,China,SME
COMP-00600,Healthcare,Philippines,SME
COMP-00601,Technology,India,Startup
COMP-00602,Education,UK,Startup
COMP-00603,Technology,Vietnam,Startup
COMP-00604,Healthcare,Italy,SME
COMP-00605,Agriculture,Sweden,SME
COMP-00606,Consulting,New Zealand,Startup
COMP-00607,Consulting,France,Startup
COMP-00608,Logistics,Australia,SME
COMP-00609,Education,Nigeria,Enterprise
COMP-00610,Education,India,Enterprise
COMP-00611,Education,Thailand,SME
COMP-00612,Manufacturing,Egypt,Enterprise
COMP-00613,Finance,Chile,SME
COMP-00614,Education,Vietnam,SME
COMP-00615,Finance,Nigeria,Enterprise
COMP-00616,Technology,USA,SME
COMP-00617,Healthcare,Singapore,SME
COMP-00618,Agriculture,Malaysia,SME
COMP-00619,Logistics,Japan,Startup
COMP-00620,Consulting,Vietnam,SME
COMP-00621,Retail,Philippines,SME
COMP-00622,Technology,Brazil,Enterprise
COMP-00623,Technology,Vietnam,SME
COMP-00624,Healthcare,South Africa,Enterprise
COMP-00625,Manufacturing,South Africa,SME
COMP-00626,Consulting,New Zealand,SME
COMP-00627,Logistics,Vietnam,Enterprise
COMP-00628,Finance,India,Startup
COMP-00629,Consulting,Vietnam,Startup
COMP-00630,Logistics,Italy,Enterprise
COMP-00631,Finance,Italy,Enterprise
COMP-00632,Technology,Thailand,Startup
COMP-00633,Technology,Philippines,SME
COMP-00634,Consulting,Argentina,Startup
COMP-00635,Education,India,Enterprise
COMP-00636,Logistics,Kenya,SME
COMP-00637,Logistics,Brazil,Startup
COMP-00638,Agriculture,Sweden,Startup
COMP-00639,Agriculture,Brazil,SME
COMP-00640,Technology,Thailand,Enterprise
COMP-00641,Healthcare,Indonesia,Enterprise
COMP-00642,Finance,Japan,Enterprise
COMP-00643,Healthcare,Canada,Startup
COMP-00644,Finance,Singapore,SME
COMP-00645,Finance,India,SME
COMP-00646,Logistics,Egypt,Startup
COMP-00647,Healthcare,South Africa,SME
COMP-00648,Healthcare,India,SME
COMP-00649,Finance,Singapore,Startup
COMP-00650,Finance,Poland,Startup
COMP-00651,Consulting,South Korea,Enterprise
COMP-00652,Finance,Netherlands,Enterprise
COMP-00653,Agriculture,Colombia,Enterprise
COMP-00654,Healthcare,Indonesia,SME
COMP-00655,Consulting,Australia,SME
COMP-00656,Healthcare,Japan,Startup
COMP-00657,Retail,Sweden,Enterprise
COMP-00658,Manufacturing,Poland,Startup
COMP-00659,Retail,Brazil,Enterprise
COMP-00660,Education,USA,Startup
COMP-00661,Logistics,Australia,SME
COMP-00662,Finance,Japan,Startup
COMP-00663,Healthcare,Philippines,SME
COMP-00664,Manufacturing,Poland,Startup
COMP-00665,Technology,South Africa,SME
COMP-00666,Manufacturing,Malaysia,Enterprise
COMP-00667,Education,UK,Startup
COMP-00668,Healthcare,India,SME
COMP-00669,Manufacturing,France,Startup
COMP-00670,Finance,Vietnam,SME
COMP-00671,Technology,Chile,Startup
COMP-00672,Healthcare,Singapore,SME
COMP-00673,Finance,France,Enterprise
COMP-00674,Healthcare,Netherlands,SME
COMP-00675,Healthcare,Kenya,SME
COMP-00676,Healthcare,Kenya,Startup
COMP-00677,Retail,Philippines,SME
COMP-00678,Healthcare,China,Enterprise
COMP-00679,Healthcare,South Korea,Startup
COMP-00680,Manufacturing,Colombia,SME
COMP-00681,Logistics,Malaysia,SME
COMP-00682,Retail,Nigeria,Enterprise
COMP-00683,Consulting,Spain,SME
COMP-00684,Agriculture,Netherlands,SME
COMP-00685,Manufacturing,South Africa,SME
COMP-00686,Logistics,Argentina,Startup
