response_id,company_id,survey_year,quarter,productivity_change_percent,revenue_growth_percent,cost_reduction_percent,innovation_score,customer_satisfaction
101,COMP-00007,2024,Q1,0.82,4.74,1.99,40,4.63
102,COMP-00007,2024,Q2,5.65,-0.24,0.0,52,4.84
103,COMP-00007,2024,Q3,1.3,-1.66,1.9,51,4.95
104,COMP-00007,2024,Q4,10.49,7.2,0.0,45,5.45
105,COMP-00007,2025,Q1,9.32,-4.74,4.79,53,4.75
106,COMP-00007,2025,Q2,2.09,-1.03,2.07,42,4.58
107,COMP-00007,2025,Q3,1.74,12.97,0.7,60,4.93
108,COMP-00007,2025,Q4,4.47,0.82,2.68,53,5.06
109,COMP-00007,2026,Q1,5.47,-1.85,5.54,51,6.39
110,COMP-00007,2026,Q2,5.91,-2.35,0.87,49,4.91
111,COMP-00007,2026,Q3,0.0,-5.0,1.25,40,3.13
112,COMP-00007,2026,Q4,0.0,10.06,0.0,40,4.32
113,COMP-00008,2023,Q1,8.57,7.99,6.79,45,5.06
114,COMP-00008,2023,Q2,5.07,10.48,0.65,53,4.37
115,COMP-00008,2023,Q3,7.34,-1.59,1.3,61,6.77
116,COMP-00008,2023,Q4,0.59,-3.88,1.82,59,3.33
117,COMP-00008,2024,Q1,8.19,10.95,5.67,57,4.49
118,COMP-00008,2024,Q2,0.26,-1.18,9.08,49,4.84
119,COMP-00008,2024,Q3,5.66,-2.72,0.0,51,5.25
120,COMP-00008,2024,Q4,21.47,10.24,8.32,60,6.0
121,COMP-00008,2025,Q1,5.19,1.57,3.46,64,4.27
122,COMP-00008,2025,Q2,11.31,-3.92,10.06,49,4.83
123,COMP-00008,2025,Q3,11.62,13.8,3.74,64,4.55
124,COMP-00008,2025,Q4,11.16,-1.14,2.96,47,5.44
125,COMP-00008,2026,Q1,13.1,9.09,0.63,62,4.34
126,COMP-00008,2026,Q2,5.63,4.6,5.9,57,4.01
128,COMP-00008,2026,Q4,5.78,-0.49,0.0,60,4.95
129,COMP-00009,2023,Q1,8.64,7.71,5.12,46,4.74
130,COMP-00009,2023,Q2,0.0,3.18,0.76,46,4.56
131,COMP-00009,2023,Q3,8.95,-0.07,5.69,43,5.74
132,COMP-00009,2023,Q4,19.62,5.49,2.1,49,6.1
133,COMP-00009,2024,Q1,4.83,10.05,5.85,53,4.21
134,COMP-00009,2024,Q2,17.04,4.55,0.0,65,8.17
135,COMP-00009,2024,Q3,6.92,2.6,5.68,56,6.53
136,COMP-00009,2024,Q4,18.56,13.11,2.49,56,7.07
137,COMP-00009,2025,Q1,9.27,-1.46,6.03,68,5.78
138,COMP-00009,2025,Q2,11.39,6.0,2.22,56,6.03
140,COMP-00009,2025,Q4,0.43,-4.22,0.71,47,5.04
141,COMP-00009,2026,Q1,1.46,2.75,3.84,62,4.54
142,COMP-00009,2026,Q2,7.11,-1.79,5.55,55,5.71
143,COMP-00009,2026,Q3,0.0,-2.68,3.65,49,2.99
144,COMP-00009,2026,Q4,11.55,10.61,4.8,59,6.47
145,COMP-00010,2023,Q1,0.39,-5.0,0.95,53,4.75
146,COMP-00010,2023,Q2,4.68,-3.8,0.0,50,4.43
147,COMP-00010,2023,Q3,0.0,5.62,4.18,55,3.93
148,COMP-00010,2023,Q4,2.31,4.23,0.0,43,5.99
150,COMP-00010,2024,Q2,4.04,1.33,2.21,50,4.01
151,COMP-00010,2024,Q3,2.44,-1.14,4.29,57,5.26
152,COMP-00010,2024,Q4,4.62,-1.27,4.7,46,3.83
153,COMP-00010,2025,Q1,5.03,7.96,0.0,57,5.19
154,COMP-00010,2025,Q2,7.22,0.65,0.0,54,8.58
155,COMP-00010,2025,Q3,0.0,5.0,1.39,50,4.63
157,COMP-00010,2026,Q1,0.0,-5.0,3.59,53,5.14
158,COMP-00010,2026,Q2,4.99,-0.29,0.58,50,5.42
159,COMP-00010,2026,Q3,3.26,0.35,0.0,43,3.66
161,COMP-00011,2023,Q1,2.27,-2.75,2.17,51,6.69
162,COMP-00011,2023,Q2,4.81,12.1,0.0,53,4.77
163,COMP-00011,2023,Q3,5.98,6.54,5.51,62,4.49
165,COMP-00011,2024,Q1,11.13,5.12,8.7,57,4.74
166,COMP-00011,2024,Q2,11.28,4.04,2.49,63,5.3
167,COMP-00011,2024,Q3,10.06,2.53,0.0,51,6.54
168,COMP-00011,2024,Q4,4.66,-5.0,2.86,42,5.69
169,COMP-00011,2025,Q1,6.53,-0.71,2.23,68,4.38
170,COMP-00011,2025,Q2,3.36,-5.0,2.15,45,4.33
171,COMP-00011,2025,Q3,2.92,6.89,0.0,50,3.29
172,COMP-00011,2025,Q4,3.94,5.2,4.29,44,5.96
173,COMP-00011,2026,Q1,8.15,5.61,2.74,40,3.76
174,COMP-00011,2026,Q2,5.6,2.72,3.33,54,4.36
176,COMP-00011,2026,Q4,5.61,13.16,8.34,59,4.81
177,COMP-00012,2023,Q1,0.55,-1.53,0.0,45,3.63
178,COMP-00012,2023,Q2,5.43,-3.92,0.0,46,6.02
179,COMP-00012,2023,Q3,8.91,-2.41,5.06,51,4.62
180,COMP-00012,2023,Q4,8.75,3.04,2.42,40,5.63
181,COMP-00012,2024,Q1,4.14,5.66,6.39,51,6.06
182,COMP-00012,2024,Q2,6.88,5.35,5.91,41,5.72
183,COMP-00012,2024,Q3,0.0,-0.66,0.0,55,4.34
184,COMP-00012,2024,Q4,12.38,5.52,2.28,46,7.1
185,COMP-00012,2025,Q1,10.7,11.7,8.92,43,5.82
186,COMP-00012,2025,Q2,5.24,-5.0,0.74,46,4.08
187,COMP-00012,2025,Q3,0.78,-0.44,6.58,45,3.97
188,COMP-00012,2025,Q4,6.24,3.31,4.97,41,5.41
189,COMP-00012,2026,Q1,1.44,7.2,1.43,54,5.12
190,COMP-00012,2026,Q2,0.0,2.84,2.91,40,5.23
191,COMP-00012,2026,Q3,9.41,0.5,5.43,52,5.63
192,COMP-00012,2026,Q4,2.58,3.23,0.0,44,4.97
194,COMP-00013,2023,Q2,18.54,6.44,4.99,66,7.69
195,COMP-00013,2023,Q3,16.82,12.73,0.59,63,6.62
196,COMP-00013,2023,Q4,16.68,9.71,4.97,64,7.06
197,COMP-00013,2024,Q1,9.21,5.32,3.25,69,3.86
198,COMP-00013,2024,Q2,14.61,2.89,8.92,67,7.08
199,COMP-00013,2024,Q3,18.76,16.06,0.63,62,6.82
200,COMP-00013,2024,Q4,14.65,3.24,7.54,63,6.13
201,COMP-00013,2025,Q1,17.82,9.37,14.16,61,5.16
202,COMP-00013,2025,Q2,11.42,3.53,10.82,61,6.64
203,COMP-00013,2025,Q3,11.42,10.02,4.99,74,6.01
205,COMP-00013,2026,Q1,18.85,10.62,8.74,75,6.56
206,COMP-00013,2026,Q2,19.59,-1.28,5.67,72,5.49
207,COMP-00013,2026,Q3,11.88,7.56,8.53,58,4.33
209,COMP-00014,2023,Q1,8.53,-5.0,0.0,53,4.82
211,COMP-00014,2023,Q3,13.07,7.77,5.26,43,6.34
212,COMP-00014,2023,Q4,12.94,11.05,4.98,63,5.6
213,COMP-00014,2024,Q1,15.65,7.8,8.76,65,5.97
214,COMP-00014,2024,Q2,12.29,-1.46,2.03,63,4.64
215,COMP-00014,2024,Q3,19.72,10.07,2.34,65,6.1
217,COMP-00014,2025,Q1,16.56,2.96,7.91,67,6.66
218,COMP-00014,2025,Q2,16.94,5.99,6.21,47,5.08
219,COMP-00014,2025,Q3,15.46,7.74,7.4,65,5.14
220,COMP-00014,2025,Q4,14.74,12.1,11.09,55,6.13
221,COMP-00014,2026,Q1,14.01,0.09,1.65,56,6.0
222,COMP-00014,2026,Q2,15.34,3.08,1.89,58,6.15
223,COMP-00014,2026,Q3,13.86,-0.78,5.65,46,6.63
224,COMP-00014,2026,Q4,17.1,6.69,10.32,61,6.62
225,COMP-00015,2023,Q1,0.0,0.12,2.9,58,3.99
226,COMP-00015,2023,Q2,18.51,20.56,0.0,61,5.35
227,COMP-00015,2023,Q3,8.4,8.91,9.25,61,6.51
228,COMP-00015,2023,Q4,12.29,13.18,8.85,61,5.06
229,COMP-00015,2024,Q1,5.85,7.08,6.34,40,4.92
230,COMP-00015,2024,Q2,15.84,12.95,0.0,64,5.03
231,COMP-00015,2024,Q3,13.84,8.59,8.78,59,6.25
232,COMP-00015,2024,Q4,9.06,-0.06,0.77,54,3.08
233,COMP-00015,2025,Q1,5.61,1.95,2.68,55,5.56
234,COMP-00015,2025,Q2,7.78,2.42,0.0,58,5.84
235,COMP-00015,2025,Q3,11.6,9.96,10.38,67,5.49
237,COMP-00015,2026,Q1,10.0,14.9,6.89,63,6.21
238,COMP-00015,2026,Q2,21.44,8.24,5.13,64,5.1
239,COMP-00015,2026,Q3,8.97,1.24,7.73,44,4.44
240,COMP-00015,2026,Q4,7.31,14.38,12.23,53,4.25
241,COMP-00016,2023,Q1,13.78,-0.5,0.0,65,6.71
242,COMP-00016,2023,Q2,8.29,9.75,4.87,47,5.4
243,COMP-00016,2023,Q3,18.76,2.82,9.63,54,7.54
244,COMP-00016,2023,Q4,8.31,11.57,2.73,61,5.04
245,COMP-00016,2024,Q1,2.91,-2.08,10.03,48,2.92
246,COMP-00016,2024,Q2,6.64,11.65,10.85,55,5.61
247,COMP-00016,2024,Q3,13.86,10.13,13.72,63,6.44
248,COMP-00016,2024,Q4,12.62,6.17,3.41,60,6.11
249,COMP-00016,2025,Q1,0.0,3.91,0.0,52,3.5
250,COMP-00016,2025,Q2,11.09,1.51,2.45,66,4.92
251,COMP-00016,2025,Q3,4.42,3.04,6.12,40,5.11
252,COMP-00016,2025,Q4,8.07,4.96,0.54,53,5.67
253,COMP-00016,2026,Q1,4.59,-5.0,0.0,47,5.05
254,COMP-00016,2026,Q2,12.02,5.22,5.46,56,6.6
255,COMP-00016,2026,Q3,10.57,7.42,10.81,62,5.93
257,COMP-00017,2023,Q1,6.36,11.64,2.09,47,5.56
258,COMP-00017,2023,Q2,5.66,-2.02,3.39,42,4.3
259,COMP-00017,2023,Q3,10.75,-1.77,7.03,56,6.84
260,COMP-00017,2023,Q4,3.2,9.68,7.59,49,3.82
261,COMP-00017,2024,Q1,16.02,6.19,3.5,54,5.08
262,COMP-00017,2024,Q2,0.9,3.82,0.0,60,5.12
263,COMP-00017,2024,Q3,10.84,1.91,5.51,75,6.3
264,COMP-00017,2024,Q4,0.0,-3.44,0.0,54,4.41
265,COMP-00017,2025,Q1,6.97,-0.41,0.0,52,3.85
266,COMP-00017,2025,Q2,7.22,-0.74,2.11,54,7.24
267,COMP-00017,2025,Q3,0.0,0.41,7.39,58,3.93
268,COMP-00017,2025,Q4,8.83,4.36,6.82,45,6.69
269,COMP-00017,2026,Q1,2.42,-0.31,0.0,53,4.55
270,COMP-00017,2026,Q2,12.01,-5.0,0.0,52,4.46
271,COMP-00017,2026,Q3,5.98,-3.84,0.43,67,4.87
272,COMP-00017,2026,Q4,7.21,8.73,9.37,53,6.15
273,COMP-00018,2023,Q1,7.86,5.65,5.05,52,4.44
274,COMP-00018,2023,Q2,0.0,1.73,4.69,57,5.43
275,COMP-00018,2023,Q3,11.82,3.17,1.97,63,6.28
276,COMP-00018,2023,Q4,10.43,1.28,5.71,66,5.78
278,COMP-00018,2024,Q2,13.26,13.97,10.21,64,4.95
279,COMP-00018,2024,Q3,11.02,9.2,3.05,47,5.24
280,COMP-00018,2024,Q4,6.53,3.41,8.0,50,5.86
281,COMP-00018,2025,Q1,11.75,0.06,3.92,57,6.02
283,COMP-00018,2025,Q3,14.01,12.25,0.0,64,6.13
284,COMP-00018,2025,Q4,4.05,-2.18,7.23,54,5.67
285,COMP-00018,2026,Q1,8.74,3.32,6.9,64,5.29
286,COMP-00018,2026,Q2,10.63,2.31,2.85,42,5.72
287,COMP-00018,2026,Q3,2.23,1.93,5.06,50,5.93
289,COMP-00019,2023,Q1,0.0,-0.33,2.8,40,3.05
290,COMP-00019,2023,Q2,6.42,3.0,4.55,68,5.43
291,COMP-00019,2023,Q3,1.81,-4.73,3.98,55,5.25
292,COMP-00019,2023,Q4,0.97,6.34,0.61,49,4.22
293,COMP-00019,2024,Q1,3.1,3.68,9.87,45,4.92
294,COMP-00019,2024,Q2,9.66,8.01,5.62,52,4.49
296,COMP-00019,2024,Q4,2.04,0.38,6.73,47,5.36
298,COMP-00019,2025,Q2,0.0,-2.09,3.15,50,4.01
299,COMP-00019,2025,Q3,3.58,-5.0,6.7,50,5.14
300,COMP-00019,2025,Q4,14.86,4.7,3.31,51,5.08
301,COMP-00019,2026,Q1,3.46,3.42,5.38,62,4.35
302,COMP-00019,2026,Q2,8.46,12.71,7.57,53,5.81
303,COMP-00019,2026,Q3,7.85,-5.0,0.85,68,4.77
304,COMP-00019,2026,Q4,0.0,10.23,2.81,52,4.13
305,COMP-00020,2023,Q1,9.4,6.11,0.28,61,5.63
306,COMP-00020,2023,Q2,19.02,12.76,9.06,54,6.56
307,COMP-00020,2023,Q3,23.31,12.32,8.18,58,5.63
308,COMP-00020,2023,Q4,19.2,6.54,11.04,50,8.12
309,COMP-00020,2024,Q1,13.53,15.38,0.79,66,6.28
310,COMP-00020,2024,Q2,17.24,2.38,6.39,72,7.85
311,COMP-00020,2024,Q3,13.64,6.13,4.52,71,6.74
312,COMP-00020,2024,Q4,9.91,2.94,9.63,54,5.45
313,COMP-00020,2025,Q1,19.56,6.99,11.38,40,6.35
314,COMP-00020,2025,Q2,17.86,5.68,13.28,72,6.37
315,COMP-00020,2025,Q3,20.04,7.53,6.93,66,6.27
316,COMP-00020,2025,Q4,18.43,10.68,6.77,64,3.61
317,COMP-00020,2026,Q1,23.76,9.19,10.59,74,7.07
318,COMP-00020,2026,Q2,16.56,10.09,10.28,73,5.85
319,COMP-00020,2026,Q3,11.22,12.11,5.2,61,4.85
320,COMP-00020,2026,Q4,10.97,5.91,0.0,50,5.78
322,COMP-00021,2023,Q2,6.01,6.57,2.99,68,4.67
323,COMP-00021,2023,Q3,8.28,-4.73,4.41,52,5.28
324,COMP-00021,2023,Q4,1.47,3.2,3.09,40,5.04
325,COMP-00021,2024,Q1,0.0,1.87,11.42,68,5.15
326,COMP-00021,2024,Q2,2.37,-3.19,1.28,47,6.09
327,COMP-00021,2024,Q3,4.76,-3.47,0.2,41,3.88
328,COMP-00021,2024,Q4,3.94,8.76,6.18,48,3.93
329,COMP-00021,2025,Q1,6.52,7.81,9.11,57,4.75
330,COMP-00021,2025,Q2,1.59,2.27,5.92,50,5.76
331,COMP-00021,2025,Q3,3.49,-0.83,5.04,45,4.9
332,COMP-00021,2025,Q4,2.83,2.87,4.93,52,3.33
333,COMP-00021,2026,Q1,2.6,2.88,0.75,45,5.3
334,COMP-00021,2026,Q2,10.24,2.03,2.4,44,5.39
335,COMP-00021,2026,Q3,2.53,-5.0,0.0,48,5.75
336,COMP-00021,2026,Q4,4.14,2.18,3.17,59,6.03
338,COMP-00022,2023,Q2,8.27,3.27,0.54,54,4.83
339,COMP-00022,2023,Q3,5.51,7.27,5.11,57,5.2
340,COMP-00022,2023,Q4,9.79,7.47,8.92,60,6.26
342,COMP-00022,2024,Q2,9.97,2.73,6.34,64,8.15
343,COMP-00022,2024,Q3,15.91,7.5,5.41,42,4.87
344,COMP-00022,2024,Q4,1.87,0.98,1.57,51,5.58
345,COMP-00022,2025,Q1,6.77,-1.24,8.95,57,6.21
346,COMP-00022,2025,Q2,15.1,10.41,5.76,64,5.97
347,COMP-00022,2025,Q3,16.82,11.98,7.22,59,7.52
348,COMP-00022,2025,Q4,13.84,2.72,7.92,62,5.93
349,COMP-00022,2026,Q1,3.93,1.76,11.6,59,3.34
350,COMP-00022,2026,Q2,9.64,6.45,8.75,50,4.4
351,COMP-00022,2026,Q3,8.36,-1.23,8.84,63,5.53
352,COMP-00022,2026,Q4,18.05,6.37,11.33,51,7.72
353,COMP-00023,2023,Q1,1.24,-0.36,8.78,43,5.14
354,COMP-00023,2023,Q2,0.0,2.42,0.0,40,4.73
355,COMP-00023,2023,Q3,2.26,-5.0,1.07,43,5.94
356,COMP-00023,2023,Q4,7.28,-3.78,0.0,57,4.67
357,COMP-00023,2024,Q1,1.8,-4.76,1.67,40,4.05
358,COMP-00023,2024,Q2,0.1,-0.05,0.0,40,3.37
359,COMP-00023,2024,Q3,0.0,-1.12,3.51,45,4.09
360,COMP-00023,2024,Q4,5.73,3.05,5.29,54,4.99
361,COMP-00023,2025,Q1,2.61,1.57,7.0,63,5.6
362,COMP-00023,2025,Q2,3.42,-5.0,9.04,58,4.41
363,COMP-00023,2025,Q3,4.19,0.69,7.42,44,6.51
366,COMP-00023,2026,Q2,9.89,8.12,2.46,40,5.58
367,COMP-00023,2026,Q3,0.0,1.61,1.82,40,4.96
368,COMP-00023,2026,Q4,5.8,3.91,2.0,46,5.61
370,COMP-00024,2023,Q2,6.4,-3.08,15.3,51,5.48
372,COMP-00024,2023,Q4,6.86,8.67,8.08,62,4.06
373,COMP-00024,2024,Q1,14.18,7.32,5.31,65,6.84
374,COMP-00024,2024,Q2,2.24,2.84,0.0,47,4.06
375,COMP-00024,2024,Q3,8.08,-0.68,5.16,48,5.69
376,COMP-00024,2024,Q4,0.03,-2.19,5.32,56,4.96
377,COMP-00024,2025,Q1,17.23,21.27,8.46,54,5.51
378,COMP-00024,2025,Q2,14.53,0.37,7.64,60,4.9
379,COMP-00024,2025,Q3,11.6,0.47,4.76,67,4.53
380,COMP-00024,2025,Q4,15.64,1.73,8.11,57,6.91
381,COMP-00024,2026,Q1,13.22,14.59,0.92,65,5.61
382,COMP-00024,2026,Q2,12.79,-5.0,10.16,52,5.98
383,COMP-00024,2026,Q3,8.49,3.72,9.24,45,6.48
384,COMP-00024,2026,Q4,16.41,1.87,8.8,61,7.08
385,COMP-00025,2023,Q1,1.01,-4.61,6.74,50,4.26
386,COMP-00025,2023,Q2,7.76,8.98,2.24,53,5.98
388,COMP-00025,2023,Q4,5.07,-0.49,9.67,44,5.39
389,COMP-00025,2024,Q1,11.64,14.99,13.94,63,3.71
390,COMP-00025,2024,Q2,7.16,5.73,6.33,67,4.45
392,COMP-00025,2024,Q4,3.34,0.65,6.32,62,4.86
393,COMP-00025,2025,Q1,8.14,-5.0,1.92,56,5.61
394,COMP-00025,2025,Q2,3.72,-2.77,5.82,46,4.98
395,COMP-00025,2025,Q3,7.29,7.17,7.78,58,4.86
396,COMP-00025,2025,Q4,16.94,8.75,8.67,56,6.44
397,COMP-00025,2026,Q1,13.72,11.65,10.01,68,5.41
398,COMP-00025,2026,Q2,13.62,4.75,4.4,65,6.18
399,COMP-00025,2026,Q3,10.52,4.82,7.62,53,5.89
400,COMP-00025,2026,Q4,8.42,10.48,0.48,63,5.18
401,COMP-00026,2023,Q1,12.8,0.44,4.97,56,6.8
402,COMP-00026,2023,Q2,6.57,4.19,2.44,58,5.41
403,COMP-00026,2023,Q3,0.0,-5.0,0.16,54,5.51
404,COMP-00026,2023,Q4,5.97,-5.0,0.0,40,6.06
406,COMP-00026,2024,Q2,0.78,-1.87,0.0,54,4.6
407,COMP-00026,2024,Q3,7.76,6.62,2.98,64,5.02
408,COMP-00026,2024,Q4,0.0,-5.0,6.93,59,5.25
409,COMP-00026,2025,Q1,2.16,10.46,2.16,43,5.19
410,COMP-00026,2025,Q2,2.52,5.02,4.04,41,4.8
411,COMP-00026,2025,Q3,4.72,2.48,3.66,50,5.58
412,COMP-00026,2025,Q4,5.47,9.79,0.0,40,5.4
413,COMP-00026,2026,Q1,6.1,0.97,8.15,62,4.69
414,COMP-00026,2026,Q2,12.74,6.72,4.34,40,4.67
415,COMP-00026,2026,Q3,0.0,-1.76,0.0,59,5.28
416,COMP-00026,2026,Q4,10.52,5.47,4.68,71,5.38
417,COMP-00027,2023,Q1,13.26,5.11,0.0,64,7.06
418,COMP-00027,2023,Q2,8.2,5.81,3.3,58,6.4
419,COMP-00027,2023,Q3,3.69,3.11,6.49,48,4.19
420,COMP-00027,2023,Q4,1.78,-5.0,8.98,55,3.66
421,COMP-00027,2024,Q1,14.72,6.64,5.12,63,5.66
422,COMP-00027,2024,Q2,6.61,-0.48,7.66,70,5.83
423,COMP-00027,2024,Q3,2.33,0.0,7.2,46,5.85
424,COMP-00027,2024,Q4,0.0,3.64,6.42,43,3.53
425,COMP-00027,2025,Q1,12.56,14.72,6.03,61,6.28
426,COMP-00027,2025,Q2,10.19,-0.62,3.42,59,5.55
427,COMP-00027,2025,Q3,10.69,4.26,0.4,68,5.18
429,COMP-00027,2026,Q1,15.08,14.88,10.55,56,5.8
430,COMP-00027,2026,Q2,7.44,-5.0,0.0,51,5.89
431,COMP-00027,2026,Q3,5.15,5.0,4.03,63,6.67
432,COMP-00027,2026,Q4,9.9,8.74,6.64,40,4.63
434,COMP-00028,2023,Q2,9.74,5.76,4.67,40,5.92
435,COMP-00028,2023,Q3,3.12,-5.0,0.0,57,5.0
436,COMP-00028,2023,Q4,9.17,2.74,1.48,59,5.67
437,COMP-00028,2024,Q1,10.02,12.9,12.36,44,5.33
438,COMP-00028,2024,Q2,12.49,6.66,2.47,65,4.89
439,COMP-00028,2024,Q3,0.0,-5.0,6.76,52,4.59
440,COMP-00028,2024,Q4,12.12,10.09,0.53,40,4.73
441,COMP-00028,2025,Q1,6.51,3.31,5.71,60,6.38
442,COMP-00028,2025,Q2,0.0,2.99,1.13,47,4.58
443,COMP-00028,2025,Q3,3.0,4.4,0.0,52,5.15
