response_id,company_id,survey_year,quarter,remote_work_percentage,employee_satisfaction_score,task_automation_rate,time_saved_per_week,jobs_displaced,jobs_created,reskilled_employees
188,COMP-00012,2025,Q4,26.37,5.99,7.52,2.31,0,1,3
189,COMP-00012,2026,Q1,49.38,4.74,2.4,1.63,1,1,2
190,COMP-00012,2026,Q2,52.85,4.61,9.35,5.55,1,1,1
191,COMP-00012,2026,Q3,36.48,4.97,5.95,2.27,0,0,2
192,COMP-00012,2026,Q4,51.34,5.32,12.38,3.55,0,2,3
194,COMP-00013,2023,Q2,42.39,4.49,36.56,11.71,31,23,41
195,COMP-00013,2023,Q3,57.91,5.87,37.11,12.5,28,30,43
196,COMP-00013,2023,Q4,53.14,5.56,31.96,10.84,31,35,49
197,COMP-00013,2024,Q1,49.07,6.9,15.23,6.01,10,26,24
198,COMP-00013,2024,Q2,64.76,6.07,35.16,9.79,37,31,51
199,COMP-00013,2024,Q3,39.8,5.48,19.89,6.44,19,26,49
200,COMP-00013,2024,Q4,28.74,5.52,16.09,5.36,17,29,48
201,COMP-00013,2025,Q1,49.51,5.97,42.73,13.4,35,32,43
202,COMP-00013,2025,Q2,26.51,6.45,45.32,10.61,35,22,32
203,COMP-00013,2025,Q3,37.16,6.59,19.52,3.6,13,25,23
205,COMP-00013,2026,Q1,27.23,4.54,35.7,11.94,24,33,39
206,COMP-00013,2026,Q2,49.04,7.13,32.71,11.03,30,27,37
207,COMP-00013,2026,Q3,37.06,6.28,31.88,8.71,28,19,28
209,COMP-00014,2023,Q1,60.52,5.58,6.76,5.68,144,365,522
211,COMP-00014,2023,Q3,45.56,4.2,14.26,7.13,123,454,232
212,COMP-00014,2023,Q4,65.53,5.67,27.87,7.45,401,734,905
213,COMP-00014,2024,Q1,65.17,4.83,33.5,8.19,893,593,1013
214,COMP-00014,2024,Q2,66.55,5.79,18.81,3.16,318,502,1088
215,COMP-00014,2024,Q3,64.12,6.61,19.0,7.6,369,536,562
217,COMP-00014,2025,Q1,66.49,6.96,24.23,7.83,540,504,524
218,COMP-00014,2025,Q2,64.51,6.71,21.09,2.34,553,541,788
219,COMP-00014,2025,Q3,74.39,6.27,32.54,12.52,809,623,941
220,COMP-00014,2025,Q4,66.09,6.61,37.31,11.75,798,418,392
221,COMP-00014,2026,Q1,51.51,6.62,27.4,8.39,457,494,819
222,COMP-00014,2026,Q2,60.22,5.4,34.48,8.49,584,585,1391
223,COMP-00014,2026,Q3,69.23,5.34,16.54,3.54,197,743,1491
224,COMP-00014,2026,Q4,76.49,5.87,37.09,12.47,774,812,891
225,COMP-00015,2023,Q1,51.03,4.84,9.63,2.02,143,140,248
226,COMP-00015,2023,Q2,39.27,5.48,17.26,4.24,233,204,606
227,COMP-00015,2023,Q3,51.17,6.0,14.48,4.24,174,323,455
228,COMP-00015,2023,Q4,44.1,5.83,27.65,5.6,360,402,531
229,COMP-00015,2024,Q1,32.95,6.59,18.71,7.56,367,137,0
230,COMP-00015,2024,Q2,46.76,6.3,24.7,7.0,290,412,472
231,COMP-00015,2024,Q3,41.14,6.61,32.08,7.71,340,412,622
232,COMP-00015,2024,Q4,40.09,5.82,17.26,7.61,266,264,230
233,COMP-00015,2025,Q1,40.44,5.58,13.89,4.61,120,189,463
234,COMP-00015,2025,Q2,35.7,5.43,14.88,4.76,228,162,290
235,COMP-00015,2025,Q3,44.25,6.79,27.85,9.18,267,217,357
237,COMP-00015,2026,Q1,31.92,6.57,34.5,8.56,276,426,462
238,COMP-00015,2026,Q2,52.11,7.36,42.48,12.89,454,398,577
239,COMP-00015,2026,Q3,30.47,6.89,26.26,9.95,299,412,599
240,COMP-00015,2026,Q4,55.15,6.61,40.13,11.72,519,408,683
241,COMP-00016,2023,Q1,37.08,6.09,12.14,4.62,2,2,5
242,COMP-00016,2023,Q2,24.71,3.86,23.67,12.09,3,2,3
243,COMP-00016,2023,Q3,48.29,6.78,33.29,11.31,4,3,5
244,COMP-00016,2023,Q4,40.69,5.87,29.78,10.39,4,3,3
245,COMP-00016,2024,Q1,39.15,5.98,26.63,10.25,3,2,2
246,COMP-00016,2024,Q2,38.66,4.98,22.38,6.15,3,2,3
247,COMP-00016,2024,Q3,37.72,5.39,32.61,11.04,3,3,4
248,COMP-00016,2024,Q4,45.84,5.03,15.84,3.33,1,3,2
249,COMP-00016,2025,Q1,29.81,5.37,18.96,4.5,2,1,4
250,COMP-00016,2025,Q2,22.19,6.74,16.53,4.72,2,2,3
251,COMP-00016,2025,Q3,22.89,5.72,16.94,7.88,2,2,3
252,COMP-00016,2025,Q4,33.79,4.93,16.87,2.24,2,2,4
253,COMP-00016,2026,Q1,7.22,6.19,24.07,6.53,3,2,0
254,COMP-00016,2026,Q2,35.59,7.49,32.12,9.34,4,2,4
255,COMP-00016,2026,Q3,35.35,6.68,34.4,9.49,5,4,4
257,COMP-00017,2023,Q1,63.13,5.43,7.28,4.36,1,1,3
258,COMP-00017,2023,Q2,71.08,5.06,16.14,8.88,2,2,3
259,COMP-00017,2023,Q3,51.4,5.84,16.06,6.45,1,3,2
260,COMP-00017,2023,Q4,39.07,4.66,17.9,5.36,2,2,2
261,COMP-00017,2024,Q1,29.43,6.86,22.64,6.16,2,2,1
262,COMP-00017,2024,Q2,39.24,4.26,23.33,8.77,3,2,3
263,COMP-00017,2024,Q3,43.33,6.02,18.39,7.12,2,3,4
264,COMP-00017,2024,Q4,50.9,6.75,3.65,0.0,0,3,3
265,COMP-00017,2025,Q1,51.13,5.38,5.38,1.38,0,2,2
266,COMP-00017,2025,Q2,14.87,6.12,3.4,2.24,0,2,4
267,COMP-00017,2025,Q3,49.75,6.1,16.68,4.15,2,2,2
268,COMP-00017,2025,Q4,44.25,6.26,24.15,6.17,3,3,4
269,COMP-00017,2026,Q1,56.13,4.24,10.7,3.65,1,2,3
270,COMP-00017,2026,Q2,55.16,3.45,20.32,7.05,2,1,3
271,COMP-00017,2026,Q3,38.46,4.94,3.46,0.0,0,2,2
272,COMP-00017,2026,Q4,57.43,6.89,22.66,6.14,2,4,5
273,COMP-00018,2023,Q1,26.42,5.53,20.55,7.21,208,221,534
274,COMP-00018,2023,Q2,31.47,6.08,5.09,2.44,91,90,161
275,COMP-00018,2023,Q3,37.93,4.94,11.57,8.19,141,253,232
276,COMP-00018,2023,Q4,52.22,6.3,25.1,6.81,207,170,380
278,COMP-00018,2024,Q2,30.84,6.13,38.16,9.89,385,276,374
279,COMP-00018,2024,Q3,47.79,5.37,16.3,3.06,175,117,114
280,COMP-00018,2024,Q4,30.18,5.83,7.07,5.18,65,142,121
281,COMP-00018,2025,Q1,42.19,5.52,14.78,6.15,115,261,560
283,COMP-00018,2025,Q3,49.87,5.44,33.02,10.42,279,299,294
284,COMP-00018,2025,Q4,34.76,6.43,13.29,4.36,132,232,402
285,COMP-00018,2026,Q1,31.76,5.0,16.4,3.16,150,135,137
286,COMP-00018,2026,Q2,26.96,6.84,15.98,4.2,117,259,505
287,COMP-00018,2026,Q3,50.34,5.89,15.84,5.17,181,83,226
289,COMP-00019,2023,Q1,51.27,4.5,11.04,3.99,1,1,0
290,COMP-00019,2023,Q2,39.61,6.38,20.01,9.84,1,1,2
291,COMP-00019,2023,Q3,52.39,5.73,4.6,7.3,0,0,1
292,COMP-00019,2023,Q4,45.17,3.91,16.45,8.02,1,0,0
293,COMP-00019,2024,Q1,68.42,5.98,21.1,5.13,2,1,2
294,COMP-00019,2024,Q2,22.93,3.98,21.1,3.92,1,0,1
296,COMP-00019,2024,Q4,56.46,3.89,8.23,2.73,0,1,1
298,COMP-00019,2025,Q2,40.45,4.35,6.84,2.77,0,1,1
299,COMP-00019,2025,Q3,31.59,4.41,5.09,3.07,1,1,2
300,COMP-00019,2025,Q4,45.16,5.4,19.0,5.94,1,1,2
301,COMP-00019,2026,Q1,47.61,4.44,10.49,0.98,0,1,2
302,COMP-00019,2026,Q2,51.94,5.48,15.3,4.64,1,1,2
303,COMP-00019,2026,Q3,40.42,5.58,12.53,6.87,1,1,2
304,COMP-00019,2026,Q4,47.62,5.56,10.87,6.15,1,1,2
305,COMP-00020,2023,Q1,47.74,5.08,23.59,7.72,774,952,2268
306,COMP-00020,2023,Q2,45.62,6.55,26.17,11.7,1145,1063,1799
307,COMP-00020,2023,Q3,46.5,6.39,20.43,4.46,716,910,1475
308,COMP-00020,2023,Q4,43.84,5.44,36.74,10.49,1370,973,2321
309,COMP-00020,2024,Q1,47.0,5.93,16.03,6.04,619,885,1733
310,COMP-00020,2024,Q2,48.35,6.6,30.7,12.69,1073,949,2045
311,COMP-00020,2024,Q3,52.12,5.62,34.67,10.43,1538,1379,1690
312,COMP-00020,2024,Q4,47.49,5.82,32.27,9.69,1063,1074,1394
313,COMP-00020,2025,Q1,53.02,6.25,27.08,10.16,1041,1150,1264
314,COMP-00020,2025,Q2,59.03,5.39,36.37,12.32,1426,1014,963
315,COMP-00020,2025,Q3,39.99,7.15,35.91,14.17,1259,1636,1902
316,COMP-00020,2025,Q4,52.17,6.97,33.97,10.39,1238,1168,1780
317,COMP-00020,2026,Q1,53.35,7.24,37.74,13.75,1267,1161,1842
318,COMP-00020,2026,Q2,37.45,6.35,31.87,8.8,1254,1190,2251
319,COMP-00020,2026,Q3,43.79,5.43,27.02,12.08,1205,1200,1567
320,COMP-00020,2026,Q4,43.3,5.72,6.86,4.62,53,570,1378
322,COMP-00021,2023,Q2,41.14,5.17,5.84,0.0,1,1,2
323,COMP-00021,2023,Q3,33.51,5.71,16.75,3.52,1,1,2
324,COMP-00021,2023,Q4,34.17,5.62,0.0,3.83,0,0,0
325,COMP-00021,2024,Q1,22.48,4.55,16.45,2.52,2,1,2
326,COMP-00021,2024,Q2,37.55,5.57,9.26,4.55,0,0,1
327,COMP-00021,2024,Q3,19.86,5.98,7.12,0.7,0,0,1
328,COMP-00021,2024,Q4,46.75,5.68,15.27,5.59,1,1,2
329,COMP-00021,2025,Q1,39.94,5.98,20.13,6.99,1,1,1
330,COMP-00021,2025,Q2,44.45,5.51,11.01,5.25,1,0,1
331,COMP-00021,2025,Q3,15.26,4.77,7.92,4.73,0,0,2
332,COMP-00021,2025,Q4,24.16,5.55,5.18,1.77,0,1,1
333,COMP-00021,2026,Q1,47.07,4.25,8.2,3.09,0,1,0
334,COMP-00021,2026,Q2,27.45,5.44,18.63,3.93,1,1,1
335,COMP-00021,2026,Q3,49.59,4.17,4.0,5.11,0,1,1
336,COMP-00021,2026,Q4,47.21,4.3,3.84,2.64,0,1,2
338,COMP-00022,2023,Q2,51.55,5.23,4.43,5.55,7,26,34
339,COMP-00022,2023,Q3,45.35,5.02,19.3,4.5,22,26,27
340,COMP-00022,2023,Q4,44.01,5.91,26.25,8.49,34,30,40
342,COMP-00022,2024,Q2,51.75,7.23,23.88,7.54,33,43,65
343,COMP-00022,2024,Q3,46.28,4.88,18.66,4.81,18,30,36
344,COMP-00022,2024,Q4,41.46,4.41,8.29,5.83,9,23,43
345,COMP-00022,2025,Q1,41.73,5.03,13.47,5.78,28,25,38
346,COMP-00022,2025,Q2,45.79,7.33,21.23,5.36,30,28,49
347,COMP-00022,2025,Q3,37.04,4.82,31.8,11.78,41,33,40
348,COMP-00022,2025,Q4,60.51,6.62,24.47,9.9,33,45,50
349,COMP-00022,2026,Q1,39.57,6.2,23.73,7.32,28,39,55
350,COMP-00022,2026,Q2,35.17,5.54,16.01,2.51,22,29,46
351,COMP-00022,2026,Q3,54.21,5.66,28.0,8.03,34,37,48
352,COMP-00022,2026,Q4,57.33,5.96,31.44,6.85,35,41,78
353,COMP-00023,2023,Q1,51.11,4.33,19.39,5.75,2,2,2
354,COMP-00023,2023,Q2,0.0,4.06,13.31,1.17,1,1,0
355,COMP-00023,2023,Q3,21.99,4.32,8.4,5.93,1,0,4
356,COMP-00023,2023,Q4,12.97,5.81,11.72,2.94,1,2,5
357,COMP-00023,2024,Q1,35.63,4.33,6.72,3.45,1,1,5
358,COMP-00023,2024,Q2,14.54,4.14,7.18,2.96,1,1,0
359,COMP-00023,2024,Q3,16.72,4.7,6.93,4.83,0,1,3
360,COMP-00023,2024,Q4,5.78,5.32,7.04,1.7,0,1,4
361,COMP-00023,2025,Q1,28.88,5.4,20.41,6.31,2,1,0
362,COMP-00023,2025,Q2,30.74,4.03,13.98,3.98,2,1,3
363,COMP-00023,2025,Q3,6.95,4.35,19.61,8.62,3,1,3
366,COMP-00023,2026,Q2,30.38,6.02,17.15,7.36,1,2,3
367,COMP-00023,2026,Q3,17.48,5.54,4.74,0.65,1,1,4
368,COMP-00023,2026,Q4,38.29,4.05,17.58,4.67,2,1,1
370,COMP-00024,2023,Q2,51.73,4.87,28.24,10.66,58,43,50
372,COMP-00024,2023,Q4,62.56,5.17,20.47,5.18,24,55,110
373,COMP-00024,2024,Q1,70.75,5.84,16.04,4.6,33,32,34
374,COMP-00024,2024,Q2,51.92,5.09,12.32,3.44,22,42,44
375,COMP-00024,2024,Q3,47.2,5.29,10.26,7.08,14,39,83
376,COMP-00024,2024,Q4,34.64,4.96,14.5,3.44,16,37,63
377,COMP-00024,2025,Q1,55.78,5.18,45.71,13.76,84,58,32
378,COMP-00024,2025,Q2,64.34,5.84,25.94,6.99,66,41,54
379,COMP-00024,2025,Q3,53.14,5.65,26.8,4.59,50,63,96
380,COMP-00024,2025,Q4,51.87,6.49,25.49,7.12,47,61,86
381,COMP-00024,2026,Q1,67.44,4.93,21.33,6.96,45,70,105
382,COMP-00024,2026,Q2,61.37,6.73,32.07,9.34,60,38,132
383,COMP-00024,2026,Q3,44.91,5.03,9.48,3.84,32,36,100
384,COMP-00024,2026,Q4,40.39,6.05,23.57,8.0,38,52,62
385,COMP-00025,2023,Q1,38.91,4.6,20.93,1.53,44,27,17
386,COMP-00025,2023,Q2,46.45,4.3,16.68,3.53,33,24,49
388,COMP-00025,2023,Q4,49.08,6.12,15.49,1.44,19,20,53
389,COMP-00025,2024,Q1,53.0,5.57,27.93,9.69,57,44,23
390,COMP-00025,2024,Q2,48.11,7.05,14.32,7.21,43,29,91
392,COMP-00025,2024,Q4,35.46,4.77,19.16,3.67,32,24,0
393,COMP-00025,2025,Q1,42.92,5.41,7.02,2.06,0,8,17
394,COMP-00025,2025,Q2,49.92,6.08,14.3,1.14,12,15,24
395,COMP-00025,2025,Q3,41.55,5.07,24.63,9.39,46,28,6
396,COMP-00025,2025,Q4,39.14,6.32,18.09,5.03,21,36,17
397,COMP-00025,2026,Q1,72.61,5.5,32.27,9.53,53,42,62
