response_id,remote_work_percentage,employee_satisfaction_score,reskilled_employees
690,40.11,7.61,673
691,38.07,5.23,614
692,46.55,5.73,372
693,39.56,5.85,397
694,44.41,6.34,255
696,50.2,6.13,448
697,50.61,5.28,684
698,35.39,8.05,510
699,47.73,6.9,510
700,51.22,6.19,101
701,49.47,5.63,858
702,29.77,5.06,280
703,61.35,5.66,504
704,64.54,5.55,378
705,48.16,5.4,603
706,53.7,6.36,750
707,59.29,6.2,702
708,59.96,4.99,684
709,72.27,6.92,759
710,49.47,6.41,479
711,53.79,5.49,209
712,42.22,6.57,836
713,49.39,5.01,375
714,35.63,5.55,534
715,53.53,5.8,739
716,37.07,6.75,422
717,53.67,4.23,369
719,43.39,5.72,220
720,49.16,6.58,725
721,62.75,6.03,1623
722,62.87,5.26,758
723,53.44,6.84,2093
724,32.73,5.36,1151
725,40.75,4.89,952
726,45.49,5.7,848
727,60.53,5.37,2182
729,47.3,6.54,1736
730,65.71,4.38,1411
731,59.96,6.11,1407
733,59.58,4.67,1515
734,45.32,4.48,1306
735,55.07,5.66,1242
736,45.49,6.58,2347
737,29.48,5.88,456
738,43.25,4.02,373
739,63.12,5.82,557
740,47.47,4.92,531
741,58.05,7.27,516
742,45.47,5.57,948
743,54.82,6.6,358
744,56.33,5.08,254
745,65.01,4.96,315
746,39.34,5.05,535
747,45.7,6.08,394
748,50.67,5.29,84
749,42.07,5.41,457
750,50.32,5.45,545
751,59.6,6.68,620
752,29.38,5.82,432
753,50.67,5.42,5
754,40.86,4.78,3
755,27.49,4.77,8
756,36.5,7.09,6
757,33.42,4.75,8
758,33.73,5.32,3
759,23.87,4.91,3
760,42.93,4.26,7
761,46.56,5.57,4
762,32.24,5.14,10
763,20.47,4.77,2
764,40.16,5.74,1
765,26.96,5.95,6
766,32.57,4.22,2
767,36.65,7.04,2
769,53.21,6.06,1273
771,48.39,4.39,450
772,62.85,6.06,1371
773,51.25,6.42,1160
774,46.98,5.85,993
775,52.26,5.84,1200
776,34.5,5.4,751
777,49.76,5.6,896
778,53.54,5.8,1275
779,75.01,6.48,791
780,70.34,6.94,1465
781,65.88,6.5,1177
783,60.61,5.8,578
784,52.36,6.38,979
785,36.18,4.47,3
786,32.38,4.82,8
787,22.88,4.65,3
788,17.11,4.85,5
789,41.59,5.38,4
790,21.79,5.79,9
791,47.0,6.48,4
792,32.57,5.66,5
793,34.86,5.62,3
794,34.42,4.95,1
795,29.1,4.53,2
796,35.89,6.48,6
797,18.16,6.87,10
798,24.97,5.04,2
799,27.35,6.23,7
801,31.3,3.96,0
803,39.3,6.2,3
804,24.57,5.82,1
805,32.02,5.58,3
806,9.73,3.22,0
807,22.34,6.45,0
808,28.08,5.02,2
809,50.96,4.95,2
810,17.72,4.08,2
811,38.45,4.87,1
812,41.89,6.03,2
813,26.69,3.96,1
814,24.1,4.75,2
815,53.25,4.69,1
816,35.34,5.48,2
817,37.99,7.37,520
818,20.41,4.95,472
819,26.95,6.74,442
820,37.01,6.87,1373
821,40.69,5.91,1070
822,28.0,5.44,221
823,40.39,4.95,219
824,17.07,4.77,792
825,19.33,4.06,597
826,38.04,5.59,989
827,30.47,7.17,749
828,36.13,5.42,1050
829,36.82,7.21,1019
830,51.77,5.32,996
831,52.07,4.92,1200
832,38.63,6.52,1197
833,63.33,3.84,2
834,52.71,5.3,2
836,48.22,7.19,3
837,55.19,5.49,3
838,45.82,7.28,4
839,79.99,6.44,4
840,73.12,5.78,3
842,39.59,6.41,1
843,51.05,5.57,2
844,54.81,6.99,3
845,49.45,4.25,2
846,55.67,5.19,3
848,57.65,5.78,3
849,33.02,5.14,2
850,38.18,6.32,1
851,40.88,4.27,4
852,26.07,5.11,2
853,43.71,5.28,2
854,24.44,5.32,2
855,54.65,4.67,2
856,22.14,5.54,2
857,47.46,4.29,1
858,44.76,5.42,3
859,34.55,5.6,2
860,64.28,4.07,1
861,48.49,5.31,2
862,38.03,4.0,1
863,38.84,5.53,1
864,41.27,5.35,2
865,33.63,6.39,694
866,42.89,4.99,371
867,24.05,5.39,545
868,33.67,6.45,482
869,39.9,5.6,600
871,25.08,6.5,461
872,50.05,5.54,316
873,20.9,6.1,761
874,34.4,5.99,552
875,42.7,6.17,832
876,32.58,6.57,148
877,43.76,7.25,397
878,53.21,6.25,459
879,11.94,5.17,389
880,62.95,5.99,698
881,27.27,5.06,1
882,27.66,6.04,2
884,49.6,3.86,1
885,26.28,5.41,2
886,30.45,5.75,2
887,49.66,4.88,2
889,43.41,6.64,1
890,40.24,5.25,1
891,59.3,5.27,2
892,36.44,4.44,2
893,34.39,5.47,3
894,40.52,4.16,1
895,35.01,7.38,2
896,37.11,6.85,1
897,35.4,5.55,1
898,40.56,5.53,2
899,55.18,4.72,0
900,58.16,6.1,3
901,58.4,5.71,2
903,52.07,5.9,2
904,18.02,4.96,2
905,42.71,6.01,3
906,43.1,5.64,3
907,32.33,3.73,0
908,32.25,4.84,3
909,52.21,7.36,1
911,39.17,6.37,0
912,54.04,4.8,1
913,25.49,4.56,93
914,36.21,5.79,51
915,37.47,5.92,96
916,23.91,5.93,74
919,25.98,6.54,63
920,52.07,4.36,110
921,35.17,5.47,53
922,57.29,5.5,92
923,42.9,5.4,79
924,28.04,5.9,101
926,40.37,5.61,55
927,32.11,6.5,86
928,54.79,4.94,102
929,44.87,7.09,68
930,40.18,4.57,90
931,39.89,6.04,65
932,52.54,6.8,65
933,36.54,5.62,62
934,66.96,6.03,82
935,33.64,4.59,62
936,67.82,5.55,36
937,48.53,5.91,38
938,51.42,5.26,88
939,22.71,4.69,26
940,58.88,5.84,93
941,56.78,5.95,30
942,46.81,6.73,14
943,48.33,6.38,12
944,53.56,5.38,68
945,48.78,6.08,3
946,41.71,4.77,0
947,46.61,5.33,6
948,64.3,4.73,0
949,68.77,6.29,4
950,40.73,6.07,5
951,33.18,6.18,4
952,50.57,5.77,3
953,49.5,6.34,6
954,62.14,5.35,4
955,31.24,4.84,4
956,55.78,5.45,1
957,34.55,7.79,5
958,51.89,5.64,4
959,66.2,5.6,3
960,44.79,5.11,2
961,56.68,5.49,94
962,28.67,5.42,42
963,54.66,5.83,141
964,54.6,5.29,104
965,22.99,5.16,36
966,50.81,5.88,63
967,54.06,7.31,95
968,54.1,4.21,64
969,76.09,5.94,104
970,46.76,7.09,107
971,31.5,5.15,99
972,58.53,7.0,113
973,59.64,5.09,115
974,32.32,4.92,50
975,45.98,4.74,108
976,40.98,7.42,102
977,29.61,4.34,0
978,33.34,4.35,3
979,35.91,3.79,2
980,33.02,4.11,2
981,14.56,4.89,3
982,6.38,6.72,2
983,37.22,5.17,5
984,37.83,5.59,4
985,31.98,5.19,3
986,42.3,6.02,5
987,36.32,5.13,1
988,40.09,5.62,5
989,37.72,5.56,2
990,33.4,6.27,2
991,49.69,5.38,3
992,33.7,4.7,4
994,40.23,5.14,31
995,42.64,5.38,30
996,45.4,6.08,29
997,44.68,6.1,25
998,56.86,5.59,21
999,47.53,5.79,24
1000,58.06,6.43,25
1001,64.03,7.02,40
1002,53.09,5.16,30
1003,38.01,7.0,32
1004,35.21,6.72,20
1005,54.54,6.04,31
1006,60.86,5.94,28
1007,44.66,5.98,39
1008,67.39,6.39,37
1009,24.19,5.54,6
1010,42.17,5.84,10
1011,51.99,4.78,6
1012,27.96,7.15,6
1013,29.91,6.79,10
1014,46.09,5.27,0
1018,38.99,5.78,4
1019,19.72,5.76,8
1020,43.07,6.64,4
1021,33.03,5.21,4
1022,30.08,4.09,2
1023,46.85,7.09,9
1024,24.32,4.11,5
1025,39.07,6.49,1
1026,47.23,5.58,2
1027,34.06,5.62,1
1028,80.13,5.82,1
1029,63.76,6.38,2
1030,58.4,5.45,1
1031,41.27,4.88,1
1032,35.44,5.52,1
1033,61.93,4.04,0
1034,49.97,6.7,2
1035,43.52,6.54,2
1036,37.75,5.15,1
1037,74.65,5.94,1
1038,49.21,5.18,2
1039,41.66,5.27,1
1040,59.65,5.04,1
1041,75.24,6.92,1
1042,51.82,5.09,1
1043,46.85,5.19,2
1044,54.19,5.54,1
1046,46.15,6.03,2
1047,67.69,7.0,2
1048,55.12,6.02,1
1049,58.64,5.7,1
1050,45.05,3.77,1
1051,40.16,4.87,2
1053,42.55,5.75,2
1054,59.83,4.88,2
1055,68.89,6.71,1
1057,29.71,5.94,25
1058,54.48,5.42,61
1059,44.62,4.29,17
1060,43.16,5.79,53
1061,52.5,6.94,35
1062,27.13,4.31,28
1064,42.06,5.97,66
1065,40.18,5.02,48
1066,35.95,6.9,77
1067,43.26,5.62,14
1068,45.32,5.87,26
1069,32.05,5.96,34
1070,47.8,5.99,66
1071,55.34,5.3,54
1072,38.58,4.94,87
1073,47.62,6.65,28
1076,36.6,4.61,1
1077,32.23,4.57,50
1078,52.23,5.28,37
1079,26.31,4.76,31
1080,32.63,5.2,29
1081,46.77,6.05,32
1082,21.54,5.01,15
1083,39.52,6.43,40
1084,47.5,5.62,32
1085,50.06,5.37,43
1086,40.89,5.54,44
1087,17.28,5.62,16
1088,28.62,5.14,45
1089,19.23,5.93,34
1090,33.05,3.74,0
1091,22.55,5.52,22
1092,28.94,6.11,41
1093,21.4,5.42,14
1094,0.0,5.26,0
1095,27.68,4.78,9
1097,33.64,5.94,0
1098,15.82,5.03,20
1099,21.62,4.64,54
1100,5.62,4.53,0
1101,8.95,5.85,93
1102,31.08,4.12,31
1104,28.35,5.73,80
1105,34.19,5.88,2
1106,23.78,6.52,20
1107,47.13,5.12,14
1108,43.93,6.47,38
1109,16.32,5.01,13
1110,27.56,4.46,14
1111,35.22,6.25,22
1112,56.33,7.25,20
1113,34.47,3.97,7
1114,33.1,5.23,11
1115,57.58,5.22,9
1117,40.88,6.29,19
1118,43.83,5.08,16
1119,27.15,4.39,8
1120,31.45,4.49,14
1121,44.27,5.61,50
1122,60.75,4.53,4
1123,53.17,6.46,81
1124,60.3,4.29,27
1125,41.61,5.24,31
1126,44.51,6.47,13
1127,58.22,4.38,37
1128,64.38,8.53,48
1129,71.04,5.43,41
1130,57.48,6.38,52
1131,73.19,5.16,65
1132,86.04,4.84,40
1134,64.96,5.71,72
1135,89.46,5.28,78
1136,64.35,5.38,50
1137,47.79,6.13,369
1138,37.06,5.39,329
1139,22.19,6.39,394
1140,24.99,5.86,318
1141,26.71,4.22,187
1142,31.35,4.99,362
1143,13.33,5.77,0
1144,27.35,6.61,311
1145,12.91,3.89,268
1146,28.31,4.87,102
1147,36.34,6.91,310
1148,33.04,6.2,274
1149,20.61,5.0,313
1150,15.97,5.12,170
1151,39.13,3.85,167
1152,37.67,6.2,296
1153,21.16,6.28,1246
1154,46.92,5.32,136
1155,47.42,3.91,817
1156,45.17,6.75,1295
1157,29.81,4.51,1034
1158,41.4,6.01,1734
1159,52.15,5.05,834
1160,58.16,4.89,747
1161,62.1,6.42,1737
1162,70.6,5.26,686
1163,51.14,6.36,936
1164,56.47,5.73,1116
1165,61.86,7.47,1781
1166,52.32,6.61,1648
1167,31.49,5.86,487
1168,54.0,6.75,886
1170,69.29,5.71,28
1171,56.3,7.49,59
1172,58.2,5.44,51
1173,55.34,6.38,51
1174,50.91,4.64,52
1175,56.29,6.33,37
1176,78.14,7.86,59
1177,68.56,6.1,48
1179,44.26,5.96,23
1180,55.78,5.66,37
1181,59.58,6.59,48
1182,64.69,6.53,56
1183,62.81,7.02,32
1184,52.12,6.53,46
1186,23.24,6.38,6
1187,43.7,4.64,0
1188,21.56,4.92,1
1189,23.64,5.01,5
1190,10.84,4.59,1
1191,22.56,5.54,0
1192,29.01,4.55,4
1193,22.28,4.79,2
1194,33.15,5.26,3
1195,45.65,5.02,0
1196,20.2,4.83,0
1197,60.09,5.55,1
1198,39.16,6.48,3
1199,48.29,4.7,5
1200,25.36,5.14,0
1201,49.75,6.46,5
1202,42.66,4.59,7
1203,38.66,4.77,4
1204,26.1,5.18,5
1205,27.91,5.36,4
1206,31.6,6.24,1
1207,26.81,6.74,5
1208,34.95,5.82,11
1209,46.51,6.23,7
1210,49.35,5.76,7
1211,40.59,6.94,2
1212,28.25,6.42,5
1214,29.01,5.62,5
1216,42.96,6.13,4
1217,21.54,5.56,3
1218,33.31,5.32,1
1219,29.43,5.63,2
1220,29.38,6.14,1
1221,35.62,7.29,3
1222,39.31,4.57,4
1223,40.57,4.46,4
1224,31.0,5.08,3
1225,42.75,5.02,3
1226,25.11,4.35,2
1227,37.91,5.98,1
1228,6.47,6.54,2
